cohort,scope,comparison,proxy,gene,n_high,n_low,high_minus_low_mean_z,welch_p,welch_fdr_within_cohort_scope
GSE39582,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,SCD,283,283,0.09658951042238982,0.25092177457955184,0.3345623661060691
GSE39582,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,MBOAT1,283,283,0.3948355483748742,2.1662593171601032e-06,5.776691512426942e-06
GSE39582,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,MBOAT2,283,283,0.2141280194602028,0.010739305169646569,0.021478610339293137
GSE39582,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,GPX4,283,283,0.0452432562430506,0.5908965518374327,0.675310344957066
GSE39582,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,SLC7A11,283,283,0.18519271040996177,0.02748735312087866,0.043979764993405855
GSE39582,all_side_known,proxy_high_minus_low,AA_routing_proxy_expanded,DHODH,283,283,-0.42991385219869216,2.3722137009224956e-07,9.488854803689982e-07
GSE39582,right,proxy_high_minus_low,AA_routing_proxy_expanded,AIFM2,147,77,0.18565760731063463,0.18069947135403652,0.28911915416645845
GSE39582,right,proxy_high_minus_low,AA_routing_proxy_expanded,GCH1,147,77,0.6205209495082915,7.835504162191728e-06,6.268403329753382e-05
GSE39582,right,proxy_high_minus_low,AA_routing_proxy_expanded,SCD,147,77,0.06258628296373142,0.6424182198240453,0.6424182198240453
GSE39582,right,proxy_high_minus_low,AA_routing_proxy_expanded,MBOAT1,147,77,0.40546716974490166,0.0035697475760670364,0.009519326869512098
GSE39582,right,proxy_high_minus_low,AA_routing_proxy_expanded,MBOAT2,147,77,0.4215836989779552,0.00751486269087082,0.01502972538174164
GSE39582,right,proxy_high_minus_low,AA_routing_proxy_expanded,GPX4,147,77,0.11443802141318317,0.45682963900781215,0.5220910160089282
GSE39582,right,proxy_high_minus_low,AA_routing_proxy_expanded,SLC7A11,147,77,0.16289803042346548,0.2534980954718746,0.3379974606291661
