model,term,estimate,std_error,p_value_hc3,n,r_squared
neuronal_score_model,Intercept,-0.021810023851618187,0.0001972241680931635,0.0,545850,0.00030078941939171155
neuronal_score_model,C(tumor_region)[T.connective_tissue],0.0027877893425246876,0.000302965398341528,3.524105351326544e-20,545850,0.00030078941939171155
neuronal_score_model,C(tumor_region)[T.invasive_front_proxy],0.003083955216185827,0.0010853695214587432,0.004491771954281343,545850,0.00030078941939171155
neuronal_score_model,C(tumor_region)[T.muscularis_smooth_muscle],0.0007223431802625425,0.0003644530522771363,0.04748009111062304,545850,0.00030078941939171155
neuronal_score_model,C(tumor_region)[T.outside],-0.0027392570633309487,0.0006140967724925358,8.171995378750158e-06,545850,0.00030078941939171155
neuronal_score_model,C(tumor_region)[T.tumor_core],0.0016397469981096306,0.0002266013025784301,4.612108888270854e-13,545850,0.00030078941939171155
neuronal_score_model,C(tumor_region)[T.vascular],-0.0019768458908139192,0.00035913587300881266,3.703199966300452e-08,545850,0.00030078941939171155
neuronal_score_model,pufa_aa_pressure_score,0.002186073358481779,0.0003680209302987572,2.848849525710865e-09,545850,0.00030078941939171155
ferroptosis_stress_interaction_model,Intercept,-0.061524027404854395,0.0009470162755570993,0.0,545850,0.3289145892036809
ferroptosis_stress_interaction_model,C(tumor_region)[T.connective_tissue],-0.024962557638023943,0.0010631364794720227,6.513864392449368e-122,545850,0.3289145892036809
ferroptosis_stress_interaction_model,C(tumor_region)[T.invasive_front_proxy],0.03385131954589351,0.004206408707550971,8.446210084373539e-16,545850,0.3289145892036809
ferroptosis_stress_interaction_model,C(tumor_region)[T.muscularis_smooth_muscle],-0.03998860919756143,0.001096254253269426,2.522370612276248e-291,545850,0.3289145892036809
ferroptosis_stress_interaction_model,C(tumor_region)[T.outside],-0.0501170368913311,0.017070719303420502,0.003326372857343989,545850,0.3289145892036809
ferroptosis_stress_interaction_model,C(tumor_region)[T.tumor_core],0.11636270395185704,0.0011013407429475333,0.0,545850,0.3289145892036809
ferroptosis_stress_interaction_model,C(tumor_region)[T.vascular],-0.04369199232155962,0.001444406429919149,5.361678505456302e-201,545850,0.3289145892036809
ferroptosis_stress_interaction_model,pufa_aa_pressure_score,0.5982778767996547,0.0021954246995898098,0.0,545850,0.3289145892036809
ferroptosis_stress_interaction_model,neural_containing,0.06668725408353071,0.0320686483395895,0.03756998664181699,545850,0.3289145892036809
ferroptosis_stress_interaction_model,pufa_aa_pressure_score:neural_containing,0.032300062947483596,0.1404696539018498,0.8181357894287508,545850,0.3289145892036809
ferroptosis_stress_nonoverlap_interaction_model,Intercept,-0.1206344522844519,0.0015724514654729181,0.0,545850,0.08294391980554572
ferroptosis_stress_nonoverlap_interaction_model,C(tumor_region)[T.connective_tissue],-0.060966009580489686,0.001808177795225114,3.277123245058302e-249,545850,0.08294391980554572
ferroptosis_stress_nonoverlap_interaction_model,C(tumor_region)[T.invasive_front_proxy],0.0606846516944797,0.007286244613278024,8.176273757828531e-17,545850,0.08294391980554572
ferroptosis_stress_nonoverlap_interaction_model,C(tumor_region)[T.muscularis_smooth_muscle],-0.08872600581975183,0.0018416989471729507,0.0,545850,0.08294391980554572
ferroptosis_stress_nonoverlap_interaction_model,C(tumor_region)[T.outside],-0.11653044680183403,0.0832015104124528,0.16133943414378815,545850,0.08294391980554572
ferroptosis_stress_nonoverlap_interaction_model,C(tumor_region)[T.tumor_core],0.21780574478277062,0.001890407742950861,0.0,545850,0.08294391980554572
ferroptosis_stress_nonoverlap_interaction_model,C(tumor_region)[T.vascular],-0.10364413564542764,0.0024127458126243983,0.0,545850,0.08294391980554572
ferroptosis_stress_nonoverlap_interaction_model,pufa_aa_pressure_score,0.13802058700940395,0.0028060427546038546,0.0,545850,0.08294391980554572
ferroptosis_stress_nonoverlap_interaction_model,neural_containing,0.07036422766975851,0.050509709431456454,0.16359463259785512,545850,0.08294391980554572
ferroptosis_stress_nonoverlap_interaction_model,pufa_aa_pressure_score:neural_containing,-0.24921695848807573,0.06926156526116464,0.00032042727894107204,545850,0.08294391980554572
