confidence_set,metric,n_right,n_left,right_mean,left_mean,right_minus_left,mannwhitney_p_two_sided,interpretation,fdr_within_confidence_set
high,SLC7A11_gene_effect,12,5,0.10049788928824104,0.14628157355646282,-0.04578368426822178,0.3826761473820297,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.5740142210730446
high,GPX4_gene_effect,12,5,-0.14671562654622078,-0.3187821151977728,0.172066488651552,0.3283775048480931,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.5740142210730446
high,AIFM2_gene_effect,12,5,-0.013124238579833346,-0.03826207609746312,0.025137837517629776,0.8787976729153197,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.8787976729153198
high,GCH1_gene_effect,12,5,-0.08780324588213594,0.010474128786697467,-0.0982773746688334,0.3826761473820297,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.5740142210730446
high,DHODH_gene_effect,12,5,-0.46945437275157603,-0.6283233410241704,0.1588689682725944,0.2343244990303814,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.5740142210730446
high,ferroptosis_defense_dependency_index,12,5,-0.07293615848906605,-0.07566486672710954,0.002728708238043484,0.7989657401422106,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.8787976729153198
high_plus_medium,SLC7A11_gene_effect,13,7,0.10237550461003561,0.13727305894854241,-0.0348975543385068,0.437796697626419,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.6426625386996905
high_plus_medium,GPX4_gene_effect,13,7,-0.14823149665890992,-0.24477294437769714,0.09654144771878723,0.5355521155830754,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.6426625386996905
high_plus_medium,AIFM2_gene_effect,13,7,-0.019329680403905727,-0.0653055081657454,0.04597582776183967,0.6991744066047472,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.6991744066047471
high_plus_medium,GCH1_gene_effect,13,7,-0.08480756700584889,-0.006679430085382121,-0.07812813692046677,0.437796697626419,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.6426625386996905
high_plus_medium,DHODH_gene_effect,13,7,-0.47512852597309835,-0.8141563672540667,0.33902784128096836,0.06749226006191951,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.4049535603715171
high_plus_medium,ferroptosis_defense_dependency_index,13,7,-0.06842499779567629,0.04236246943468331,-0.1107874672303596,0.5355521155830754,"For individual Chronos effects, negative Right-minus-Left = stronger right-sided dependency. For composite index, positive Right-minus-Left = stronger right-sided dependency.",0.6426625386996905
