module,collection,n_trajectories,n_positive,n_negative,consistency_fraction,direction,median_nes,mean_nes,min_abs_nes,n_fdr_qval_025,universal_consistent_5of6,universal_consistent_4of6
COESSENTIALITY::979::,COESSENTIALITY,6,6,0,1.0,positive,1.3670928428860325,1.2278262697715823,0.633908985002568,0,True,True
"COESSENTIALITY::1787::molecular function:transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding",COESSENTIALITY,6,6,0,1.0,positive,1.3203610259303764,1.179414803363055,0.43154044569380456,1,True,True
COESSENTIALITY::1218::biological process:intra-Golgi vesicle-mediated transport,COESSENTIALITY,6,6,0,1.0,positive,1.2747314141913941,1.1992974339994544,0.7571171881268748,0,True,True
REACTOME::REACTOME_KINESINS,REACTOME,6,6,0,1.0,positive,1.172561065476982,1.067720095479033,0.7002886613450177,0,True,True
COESSENTIALITY::1625::biological process:COPII vesicle coating,COESSENTIALITY,6,6,0,1.0,positive,1.148064481745927,1.1580884773291922,0.6513124303727302,1,True,True
COESSENTIALITY::1224::biological process:inorganic anion transport,COESSENTIALITY,6,6,0,1.0,positive,1.141602086689874,1.1625897782488346,0.8567307208006755,1,True,True
COESSENTIALITY::1400::biological process:endocytic recycling,COESSENTIALITY,6,6,0,1.0,positive,1.1288673434405945,1.169333419877665,0.6132292058927512,2,True,True
COESSENTIALITY::906::,COESSENTIALITY,6,6,0,1.0,positive,1.1107671459711432,1.089689365912062,0.7072289190829071,0,True,True
COESSENTIALITY::150::biological process:type I interferon signaling pathway,COESSENTIALITY,6,6,0,1.0,positive,1.0927389440467674,1.0399149946175419,0.7606150435845376,0,True,True
CORUM::6304::DDX11-Ctf18-RFC complex,CORUM,6,6,0,1.0,positive,1.0897703128493768,1.0226580353642627,0.45151332509112063,0,True,True
COESSENTIALITY::1541::,COESSENTIALITY,6,6,0,1.0,positive,1.0895558035797568,1.002718170057852,0.4792491757492953,0,True,True
COESSENTIALITY::1493::biological process:thyroid gland development,COESSENTIALITY,6,6,0,1.0,positive,1.0855733893873567,1.0382750615827983,0.6980012144555736,0,True,True
COESSENTIALITY::1644::biological process:ATP metabolic process,COESSENTIALITY,6,6,0,1.0,positive,1.0600987586370236,1.0824165870619888,0.8734846244119352,0,True,True
REACTOME::REACTOME_FATTY_ACIDS,REACTOME,6,6,0,1.0,positive,1.0422656897070346,1.096721509339186,0.6230299877781428,0,True,True
COESSENTIALITY::190::biological process:ATP metabolic process,COESSENTIALITY,6,6,0,1.0,positive,1.0402039544070347,1.0492114696541983,0.9346484414016534,0,True,True
CORUM::443::BP-SMAD complex,CORUM,6,6,0,1.0,positive,1.0274815045314831,1.000697864312729,0.7353047212623984,0,True,True
COESSENTIALITY::1607::,COESSENTIALITY,6,6,0,1.0,positive,1.0270873215841076,1.0785939438190073,0.7835918561761853,0,True,True
COESSENTIALITY::195::biological process:ATP metabolic process,COESSENTIALITY,6,6,0,1.0,positive,1.0233496718188064,1.011795476709924,0.680734889136063,0,True,True
REACTOME::REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,REACTOME,6,6,0,1.0,positive,1.0229224212928698,1.0273127989255597,0.9506674009570603,0,True,True
COESSENTIALITY::83::biological process:ATP metabolic process,COESSENTIALITY,6,6,0,1.0,positive,1.019480974608038,1.02616855489433,0.8882953127869124,0,True,True
REACTOME::REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS,REACTOME,6,6,0,1.0,positive,1.0144302160965522,1.020906328690674,0.8675910480271577,0,True,True
COESSENTIALITY::419::,COESSENTIALITY,6,6,0,1.0,positive,1.009362828624201,0.997852816210111,0.9273406305140565,0,True,True
REACTOME::REACTOME_INTERLEUKIN_2_SIGNALING,REACTOME,6,6,0,1.0,positive,1.0079584075834815,0.9513377760335205,0.5443118339346924,0,True,True
COESSENTIALITY::205::,COESSENTIALITY,6,6,0,1.0,positive,1.0059876097001728,0.9789735299872192,0.7232753147731491,0,True,True
COESSENTIALITY::733::biological process:cochlea morphogenesis,COESSENTIALITY,6,6,0,1.0,positive,0.9936946870662866,0.9953183333970049,0.7530776713541393,0,True,True
COESSENTIALITY::238::biological process:response to nutrient levels,COESSENTIALITY,6,6,0,1.0,positive,0.9913840890061105,1.0669845813692647,0.6919438187515878,1,True,True
REACTOME::REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES,REACTOME,6,6,0,1.0,positive,0.9891647848831575,1.0513410435717434,0.9025140476024905,0,True,True
COESSENTIALITY::1773::biological process:inorganic anion transport,COESSENTIALITY,6,6,0,1.0,positive,0.9833563609412899,1.1160447154538062,0.7710403682923542,1,True,True
REACTOME::REACTOME_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL,REACTOME,6,6,0,1.0,positive,0.9542468465984237,0.973004391422878,0.608901590587176,0,True,True
REACTOME::REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,REACTOME,6,6,0,1.0,positive,0.9512192185797852,0.924979285977488,0.7427068939782776,0,True,True
REACTOME::REACTOME_CREATINE_METABOLISM,REACTOME,6,6,0,1.0,positive,0.9476354901836037,1.0042561285123823,0.8143478251206967,0,True,True
COESSENTIALITY::1530::biological process:ATP metabolic process,COESSENTIALITY,6,6,0,1.0,positive,0.9446528675630734,0.9502704272046758,0.79637043917549,0,True,True
COESSENTIALITY::1087::biological process:low-density lipoprotein particle clearance,COESSENTIALITY,6,6,0,1.0,positive,0.936357762840632,0.9473464199401335,0.5604123793482056,0,True,True
