contrast,score,tumor_n,normal_n,tumor_median,normal_median,median_delta_tumor_minus_normal,mann_whitney_U,p_value,BH_FDR_within_contrast
TCGA_primary_vs_TCGA_solid_normal,PPAR_nuclear_receptor_score,380,51,0.0031008947627139704,0.6712599642453546,-0.6681590694826406,2774.0,1.2386515877395617e-16,3.7159547632186847e-16
TCGA_primary_vs_TCGA_solid_normal,inflammatory_RELA_STAT3_score,380,51,0.10423048963147075,0.029656298407932102,0.07457419122353864,9798.0,0.8975946178624361,0.8975946178624361
TCGA_primary_vs_TCGA_solid_normal,DINP_axis_9_gene_score,380,51,0.014558872477906052,0.578121121958209,-0.5635622494803029,3515.0,1.4442000379939813e-13,2.166300056990972e-13
TCGA_primary_vs_GTEx_colon_normal,PPAR_nuclear_receptor_score,380,308,0.12317826768461665,-0.03835957889452066,0.1615378465791373,67816.0,0.00033604018625325914,0.0005040602793798888
TCGA_primary_vs_GTEx_colon_normal,inflammatory_RELA_STAT3_score,380,308,-0.0025115239160752485,0.16816261228075907,-0.17067413619683433,41291.0,3.011331566602969e-11,9.033994699808905e-11
TCGA_primary_vs_GTEx_colon_normal,DINP_axis_9_gene_score,380,308,0.09755907523746069,0.062019694212112175,0.03553938102534851,60860.0,0.3668026484541209,0.3668026484541209
