database,signature_size,scoring_method,DRUG_NAME,drug_key,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,median_background_rho,IQR_background_rho,min_background_rho,max_background_rho,leave_HCT116_out_median_rho,primary_discovery_gate,tested_status,rank_within_database_signature,global_empirical_p_value,global_empirical_q_value,global_null_permutations,global_null_unit,n_models_available,n_models_positive_median_rho,n_models_direction_consistent_ge3of4,n_models_top50,n_models_top100,n_models_top200,median_model_rho,median_model_rank,signature_robust_flag,model_combinations,strict_database_gate
CTRPv2,250,weighted,TW 37,TW37,4,2,1,-0.07963988402449838,0.2922108612038388,-0.40829008027251795,0.2595433736775088,-0.16314154916871978,none,tested,300.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,1,0,0,0,0,-0.06113323354053442,307.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Tacrolimus,TACROLIMUS,4,1,1,-0.03394265469851011,0.18740554058948625,-0.4782609049667727,0.11386805365473308,-0.06019152198791662,none,tested,226.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,2,2,0,0,2,-0.00886324961580554,216.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Tamatinib,TAMATINIB,4,3,2,0.07437600548781298,0.16979043000458904,-0.10469265671081318,0.37841515762837064,0.1070516564343417,none,tested,76.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,6,1,5,6,0.08900224924483059,81.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,Tamoxifen,TAMOXIFEN,4,3,2,0.06100265697734296,0.15717158741597612,-0.17916234377388818,0.1670161280519172,0.10808730328369281,none,tested,87.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,5,5,0,3,5,0.0879927563532786,96.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,Tandutinib,TANDUTINIB,4,3,2,0.04347826086956522,0.12507058159232073,-0.1078486730660644,0.20948616600790515,0.07396950875211745,none,tested,108.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,6,3,4,6,0.12648221343873522,55.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
CTRPv2,250,weighted,Tanespimycin,TANESPIMYCIN,4,3,2,0.037264957264957266,0.11527472527472526,-0.27247863247863247,0.11477411477411475,0.04957264957264957,none,tested,114.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,2,0,0,3,0.012478632478632476,197.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Tanespimycin:bortezomib (250:1 mol/mol),TANESPIMYCINBORTEZOMIB2501MOLMOL,4,2,1,-0.02428006775832863,0.21033314511575385,-0.14285714285714288,0.12252964426877472,-0.1202710333145116,none,tested,205.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,1,0,0,0,1,-0.028514963297571996,261.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Tanespimycin:gemcitabine (1:1 mol/mol),TANESPIMYCINGEMCITABINE11MOLMOL,4,1,1,-0.10919540229885058,0.121455938697318,-0.17515051997810618,0.15467980295566497,-0.08319649698960044,none,tested,353.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.056239737274220034,303.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Temozolomide,TEMOZOLOMIDE,4,2,1,0.007138420908009872,0.1170942883168602,-0.1117825782733829,0.10702637790060239,-0.03445627860756605,none,tested,156.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,4,1,3,6,0.08642819463157672,108.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
CTRPv2,250,weighted,Tipifarnib,TIPIFARNIB,4,3,2,0.05162393162393161,0.1339316239316239,-0.3654700854700854,0.07999999999999999,0.03658119658119658,none,tested,97.0,0.0001999600079984003,0.00019996000799840029,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,5,5,0,4,5,0.08809829059829058,87.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,True
