dataset,DRUG_NAME,n_overlap,n_OXA_R_like,n_OXA_S_like,spearman_r,spearman_p,pearson_r,pearson_p,median_LN_IC50_R,median_LN_IC50_S,delta_R_minus_S,mannwhitney_p,collateral_sensitivity_direction,spearman_p_BH,pearson_p_BH,mannwhitney_p_BH
GDSC2,WEHI-539,45,22,23,-0.2733860342555995,0.06919990467402817,-0.2302438980518246,0.1281130491263012,3.3010979999999996,4.487396,-1.1862980000000007,0.07468340219027989,yes,0.08009520881419431,0.13612011469669502,0.12164003230991693
GDSC2,UMI-77,41,20,21,-0.10452961672473869,0.5154321021720487,0.05029566349735137,0.7548219576816045,3.1556534999999997,3.645164,-0.4895105000000002,0.5749587238880454,yes,0.531051256783323,0.763240046428983,0.5991907007568902
GDSC2,Navitoclax,46,23,23,-0.08775824853530681,0.5619511759732714,-0.013514435413396416,0.9289699772747514,1.146913,1.764943,-0.6180299999999999,1.0,yes,0.5746267664087588,0.9289699772747514,1.0
GDSC2,Dasatinib,45,22,23,-0.07865612648221343,0.6075384541762933,-0.1433830945586973,0.3474001918514572,2.767061,2.634299,0.13276200000000005,0.8826682591529863,no,0.6189155787863362,0.3592884113444728,0.8892065425541195
GDSC2,Acetalax,45,23,22,-0.0051383399209486156,0.9732764573412778,0.049040100295947325,0.7490394005928743,3.509098,4.0943305,-0.5852325,0.5625909134281957,yes,0.9732764573412778,0.7602190931390366,0.5885566478941123
GDSC2,Sepantronium bromide,44,22,22,0.008315715292459478,0.9572752730195054,-0.021896661222812627,0.887805608165342,-2.288073,-3.0524364999999998,0.7643635,0.4596715909585638,no,0.9608076541007583,0.8943819460036039,0.4931897501265844
GDSC2,ABT737,44,22,22,0.031007751937984496,0.8416300771499047,0.08168924228324913,0.5980907185126172,1.8749920000000002,1.973262,-0.09826999999999986,0.8602588271965479,yes,0.8478643740176818,0.611581486599368,0.8766016470507922
GDSC2,WIKI4,44,22,22,0.054686398872445384,0.7244111165440946,-0.06595646123887533,0.6705638138971091,4.054622,3.9733470000000004,0.08127499999999976,1.0,no,0.7324900509293448,0.6831211886891898,1.0
GDSC2,XAV939,46,23,23,0.075177304964539,0.6195072418771213,0.0183091625088963,0.9038721437566568,5.054875,5.101282,-0.04640700000000031,0.8777798418617795,yes,0.6287536186215559,0.9072074653203345,0.887569208127896
GDSC2,Dihydrorotenone,45,23,22,0.09591567852437417,0.5308142080162168,0.13391701022695063,0.3804742084459629,0.574877,0.4768435,0.0980335,0.5175576703273834,no,0.5448357153977773,0.39200372991402244,0.5435354684519239
GDSC2,AZD5582,46,23,23,0.13191489361702127,0.38217501347517996,0.19027983135453772,0.20528625253649702,3.934801,2.947614,0.987187,0.281708239251961,no,0.3952532458754713,0.2155901957140046,0.3246806825276838
GDSC2,TAF1_5496,45,23,22,0.1401844532279315,0.35837294487235477,0.17778485493101906,0.24264833690878473,3.972117,3.6121445000000003,0.3599724999999996,0.6911085175231233,no,0.3720513015468721,0.25190972381370014,0.7108071510525167
GDSC2,SB505124,45,22,23,0.16271409749670618,0.28554720906304537,0.25322249535356844,0.0932797317263915,2.8038505,2.304969,0.4988815,0.2910509953456494,no,0.29758176576685186,0.10028492897066596,0.33262970896645644
GDSC2,JNK Inhibitor VIII,45,22,23,0.1681159420289855,0.26963637709076954,0.3686555830364795,0.012706670907882661,5.564157,5.540519,0.023638000000000048,0.6094350323895534,no,0.28317024929995877,0.016696688342725044,0.6302902236120096
GDSC2,AZ6102,43,21,22,0.17079432195711267,0.27349860332389936,0.19547733620496824,0.2090364047798773,2.474755,2.1580665000000003,0.3166884999999997,0.3751750676264969,no,0.2861216157850024,0.21868423884664087,0.41314825260893584
