ModelID,CellLineName,side,side_confidence,curated_primary_site,SLC7A11_gene_effect,PUFA_pressure_score,pressure_complete_genes,AA_routing_score,aa_routing_complete_genes,pressure_group_global_median
ACH-000007,LS513,Right,high,Ileocecal valve,0.1881842446314548,0.19897692737305925,5,0.40339222184629486,4,High
ACH-000009,C2BBe1,Unknown,none,Not explicitly assigned,-0.0349115510392515,-0.044172187792256956,5,0.1312104082869998,4,Low
ACH-000202,COLO-320,Left,high,"Colon, sigmoid",0.3177897978656301,-0.4220887131860375,5,-0.40028401394154456,4,Low
ACH-000249,CL-11,Left,high,Left colon,0.0980988767808251,0.055341750326988716,5,0.9327212986817135,4,High
ACH-000252,LS1034,Right,high,Cecum,0.2924066653015434,-0.11789263162985117,5,0.09383593271694174,4,Low
ACH-000253,COLO 201,Unknown,none,Not explicitly assigned,0.3110761328231799,0.5590983874503228,5,-0.5715185780842251,4,High
ACH-000296,OUMS-23,Unknown,none,Not explicitly assigned,0.410731546396588,0.47311618896651064,5,-0.4905707169412756,4,High
ACH-000350,COLO-678,Unknown,none,Not explicitly assigned,0.2267736412512844,,0,,0,Unavailable
ACH-000381,T84,Unknown,none,Not explicitly assigned,0.0880135287217346,0.5217831558669608,5,-0.42269420079374903,4,High
ACH-000403,NCI-H747,Right,high,Cecum; sampled from common duct-node metastasis,-0.0249022581408537,0.5383870014524765,5,0.7211452313629236,4,High
ACH-000467,HCC-56,Unknown,none,Not explicitly assigned,0.3259375392097374,0.07174753436197275,5,-0.47515382323972644,4,High
ACH-000489,SW1116,Unknown,none,Not explicitly assigned,-0.0872068928118492,-0.5256726338385346,5,0.08964160913142286,4,Low
ACH-000491,NCI-H716,Right,high,Cecum; cells harvested from ascites,0.110512991385765,-0.08863182438568581,5,-0.11634821614240565,4,Low
ACH-000501,LS123,Unknown,none,Not explicitly assigned,0.3784709888692651,-0.0005576357895867746,5,-0.11531019622196473,4,Low
ACH-000552,HT-29,Right,medium,"Colon, segment not explicit in Cellosaurus",0.1249068884715704,0.2270432491569483,5,0.40700457901965714,4,High
ACH-000651,SW 620,Left,medium,Colon primary of paired SW480/SW620 patient; sampled from lymph node,0.1865358734787632,0.022494726400589648,5,-0.5296729763101434,4,High
