gene,background,n_trajectory_values,n_positive_trajectory_values,background_vulnerability_rho,background_p_value,n_resampling_supported_trajectories,background_resampling_supported
A1BG,HCT116,3,2,0.10627705627705628,0.057916885296019516,0,False
A1CF,HCT116,3,1,-0.11962481962481962,0.38434740401952433,0,False
A2M,HCT116,3,0,-0.05476190476190476,0.691297307677074,0,False
A2ML1,HCT116,3,3,0.18297258297258298,0.18118580124707212,0,False
A3GALT2,HCT116,3,3,0.16500721500721502,0.2286313989470201,0,False
A4GALT,HCT116,3,1,-0.014935064935064935,0.8042315073402535,0,False
A4GNT,HCT116,3,3,0.12496392496392496,0.3633284670365007,0,False
AAAS,HCT116,3,0,-0.2605339105339105,0.05471743349137784,0,False
AACS,HCT116,3,0,-0.16464646464646465,0.22966464267958078,0,False
AADAC,HCT116,3,0,-0.25396825396825395,0.06134182824929828,0,False
AADACL2,HCT116,3,2,0.0979076479076479,0.47699989479494226,0,False
AADACL3,HCT116,3,1,-0.22106782106782108,0.10481115465797483,0,False
AADACL4,HCT116,3,2,0.00670995670995671,0.8980751565714196,0,False
AADAT,HCT116,3,3,0.14047619047619048,0.3063296847312661,0,False
AAGAB,HCT116,3,1,-0.07431457431457432,0.589735530243438,0,False
AAK1,HCT116,3,2,0.07835497835497836,0.5696110967164143,0,False
AAMDC,HCT116,3,1,-0.08773448773448773,0.5241629035782608,0,False
AAMP,HCT116,3,1,-0.16017316017316016,0.24274533891478356,0,False
AANAT,HCT116,3,1,-0.11940836940836941,0.23762277495151957,1,True
AAR2,HCT116,3,2,0.045743145743145745,0.7401747436389517,0,False
AARD,HCT116,3,3,0.12597402597402596,0.3594320336983678,0,False
AARS1,HCT116,3,1,-0.007575757575757576,0.288847578202446,0,False
AARS2,HCT116,3,3,0.14422799422799423,0.2934605393890465,0,False
AARSD1,HCT116,3,2,0.2334054834054834,0.0863453779698454,0,False
AASDH,HCT116,3,0,-0.1284992784992785,0.3498030813155303,0,False
AASDHPPT,HCT116,3,0,-0.0531024531024531,0.7002043361125724,0,False
AASS,HCT116,3,1,-0.12438672438672439,0.36556648139867737,0,False
AATF,HCT116,3,0,-0.09588744588744588,0.48618218568403593,0,False
AATK,HCT116,3,3,0.1645021645021645,0.23007884222624908,0,False
ABAT,HCT116,3,1,-0.0006493506493506494,0.9695570459446993,0,False
ABCA1,HCT116,3,0,-0.22294372294372294,0.10182226034515242,0,False
ABCA10,HCT116,3,2,0.15165945165945166,0.2690248294186112,0,False
ABCA12,HCT116,3,1,-0.06327561327561328,0.404582501168337,0,False
ABCA13,HCT116,3,0,-0.18268398268398267,0.18188696519257205,0,False
ABCA2,HCT116,3,2,0.026695526695526696,0.3289230128057482,0,False
ABCA3,HCT116,3,3,0.03051948051948052,0.8249435136594805,0,False
ABCA4,HCT116,3,3,0.11652236652236653,0.39688608370001194,0,False
ABCA5,HCT116,3,0,-0.14242424242424243,0.2996029737292523,0,False
ABCA6,HCT116,3,1,-0.01847041847041847,0.8196521316239245,0,False
ABCA7,HCT116,3,1,-0.14617604617604618,0.2869195581839944,0,False
ABCA8,HCT116,3,2,0.10223665223665224,0.45763813839576023,0,False
ABCA9,HCT116,3,0,-0.17481962481962482,0.2017523778142312,0,False
ABCB1,HCT116,3,3,0.1536075036075036,0.26285070688046824,0,False
ABCB10,HCT116,3,2,0.16183261183261183,0.23783472266351915,0,False
ABCB11,HCT116,3,1,-0.1691919191919192,0.21688035396714814,0,False
ABCB4,HCT116,3,0,-0.08636363636363636,0.5306909276628409,0,False
ABCB5,HCT116,3,2,0.21955266955266955,0.10727428350237717,1,True
ABCB6,HCT116,3,2,0.0004329004329004329,0.9374934727529054,0,False
ABCB7,HCT116,3,1,-0.15454545454545454,0.25991214426062315,0,False
ABCB8,HCT116,3,3,0.26075036075036073,0.054509332643353135,0,False
ABCB9,HCT116,3,3,0.12352092352092352,0.3689391357169287,1,True
ABCC1,HCT116,3,0,-0.17813852813852815,0.1931892828806062,0,False
ABCC10,HCT116,3,2,0.03744588744588745,0.3936559171143259,0,False
ABCC11,HCT116,3,2,0.00808080808080808,0.9341669637573472,0,False
ABCC12,HCT116,3,2,0.022222222222222223,0.4987908357441329,0,False
ABCC2,HCT116,3,2,0.013924963924963925,0.33846046488257553,0,False
ABCC3,HCT116,3,1,-0.18852813852813852,0.16806604894422614,0,False
ABCC4,HCT116,3,3,0.06962481962481963,0.6134849757521164,1,True
ABCC5,HCT116,3,2,0.1111111111111111,0.4193206941601918,0,False
ABCC6,HCT116,3,0,,,0,False
ABCC8,HCT116,3,1,-0.046897546897546896,0.10262040061743855,0,False
ABCC9,HCT116,3,1,-0.0007936507936507937,0.7397793472392218,0,False
ABCD1,HCT116,3,2,0.12481962481962482,0.28285059849528377,0,False
ABCD2,HCT116,3,2,0.13073593073593073,0.2583390264948427,0,False
ABCD3,HCT116,3,1,-0.047330447330447334,0.7314915967387551,0,False
ABCD4,HCT116,3,3,0.17142857142857143,0.21077575762222187,1,True
ABCE1,HCT116,3,1,-0.01471861471861472,0.44371651623510616,0,False
ABCF1,HCT116,3,0,-0.25137085137085136,0.06413430105007578,0,False
ABCF3,HCT116,3,0,-0.11847041847041848,0.3889851982217678,0,False
ABCG1,HCT116,3,2,0.05541125541125541,0.687823134457014,0,False
ABCG2,HCT116,3,2,0.023665223665223667,0.3697852273812074,1,True
ABCG4,HCT116,3,0,-0.08946608946608947,0.515974526676512,0,False
ABCG5,HCT116,3,0,-0.03528138528138528,0.798164383896934,0,False
ABCG8,HCT116,3,1,-0.1427128427128427,0.29861462763446456,0,False
ABHD1,HCT116,3,2,0.029076479076479075,0.4063708308493323,0,False
ABHD10,HCT116,3,0,-0.2106782106782107,0.12260530780782512,0,False
ABHD11,HCT116,3,0,-0.18701298701298702,0.17157336640869428,0,False
ABHD12,HCT116,3,0,-0.17972582972582973,0.189186880299954,0,False
ABHD12B,HCT116,3,0,-0.14567099567099567,0.28860611303051437,0,False
ABHD13,HCT116,3,0,-0.15656565656565657,0.25365820060769895,0,False
ABHD14A,HCT116,3,1,-0.031457431457431455,0.8196521316239245,0,False
ABHD14B,HCT116,3,0,-0.19855699855699857,0.14616009047263268,0,False
ABHD15,HCT116,3,1,-0.0018037518037518038,0.709541504839928,0,False
ABHD16A,HCT116,3,0,-0.22958152958152958,0.0917728678789492,0,False
ABHD16B,HCT116,3,0,-0.1386002886002886,0.31289842030651416,0,False
ABHD17A,HCT116,3,2,0.08362193362193363,0.5438660705246928,0,False
ABHD17B,HCT116,3,2,0.01507936507936508,0.5327607034730549,0,False
ABHD17C,HCT116,3,3,0.25173160173160175,0.06374047017152563,0,False
ABHD18,HCT116,3,3,0.03845598845598846,0.7804369248345783,0,False
ABHD2,HCT116,3,1,-0.012626262626262626,0.6406341527780145,0,False
ABHD3,HCT116,3,0,-0.10245310245310245,0.45668143765547115,0,False
ABHD4,HCT116,3,1,-0.048629148629148626,0.42236571475597184,1,True
ABHD5,HCT116,3,3,0.04487734487734488,0.7449246758311919,0,False
ABHD6,HCT116,3,3,0.05346320346320346,0.6982645657526535,0,False
ABHD8,HCT116,3,1,-0.01984126984126984,0.8404541600603671,0,False
ABI1,HCT116,3,2,0.15721500721500722,0.2516698013501337,0,False
ABI2,HCT116,3,1,-0.1512987012987013,0.13839213645100623,0,False
ABI3,HCT116,3,2,0.1202020202020202,0.38204088340900855,0,False
ABI3BP,HCT116,3,3,0.08477633477633478,0.5382994296185232,0,False
ABITRAM,HCT116,3,0,-0.049927849927849925,0.7173550489860097,0,False
ABL1,HCT116,3,3,0.05476190476190476,0.691297307677074,0,False
ABL2,HCT116,3,1,-0.006926406926406926,0.9237790739340619,0,False
ABLIM1,HCT116,3,2,0.11645021645021646,0.39718050339358546,0,False
ABLIM2,HCT116,3,2,0.06681096681096681,0.2017523778142312,0,False
ABLIM3,HCT116,3,1,-0.03116883116883117,0.7504781839525202,0,False
ABR,HCT116,3,3,0.012842712842712843,0.9258556976458555,0,False
ABRA,HCT116,3,1,-0.05230880230880231,0.7044785082505326,0,False
ABRACL,HCT116,3,3,0.15634920634920635,0.254323354743369,0,False
ABRAXAS1,HCT116,3,2,0.04963924963924964,0.707592709542109,0,False
ABRAXAS2,HCT116,3,2,0.12337662337662338,0.3695030667741103,0,False
ABT1,HCT116,3,1,-0.1696969696969697,0.21549121503111573,0,False
ABTB1,HCT116,3,3,0.18427128427128428,0.17805467589319746,0,False
ABTB2,HCT116,3,1,-0.04163059163059163,0.6500426570408571,0,False
ABTB3,HCT116,3,1,-0.06904761904761905,0.5593162287545178,0,False
ACAA1,HCT116,3,2,0.015512265512265512,0.8576675504429708,0,False
ACAA2,HCT116,3,2,0.0911976911976912,0.5078511075714018,0,False
ACACA,HCT116,3,2,0.015656565656565657,0.6017415934432434,0,False
ACACB,HCT116,3,1,-0.03556998556998557,0.7965484661868928,0,False
ACAD10,HCT116,3,2,0.045526695526695526,0.15944727262912387,0,False
ACAD11,HCT116,3,3,0.06385281385281386,0.6432629662708773,0,False
