dataset,cell_line,sex,gene,parental_mean,oxr_mean,delta_OxR_minus_parental
GSE42387,HCT116,Male,CAD,12.385682256666668,12.12674313,-0.2589391266666681
GSE42387,HCT116,Male,CMPK1,9.669055953333334,9.625335344999998,-0.04372060833333613
GSE42387,HCT116,Male,CTPS1,,,
GSE42387,HCT116,Male,CTPS2,8.316758424,8.033484124,-0.2832743000000004
GSE42387,HCT116,Male,DCTD,11.659791669999999,11.400225673333333,-0.2595659966666659
GSE42387,HCT116,Male,DHFR,10.324270743333335,10.500957956666666,0.17668721333333082
GSE42387,HCT116,Male,DHODH,11.540727786666666,11.767986593333333,0.22725880666666676
GSE42387,HCT116,Male,DUT,13.749417716666665,13.291103953333334,-0.4583137633333312
GSE42387,HCT116,Male,PAICS,14.888841333333334,14.468165130000001,-0.42067620333333267
GSE42387,HCT116,Male,PPAT,11.832099943333333,11.22052602,-0.6115739233333333
GSE42387,HCT116,Male,RRM1,13.315875936666666,13.61279098,0.29691504333333363
GSE42387,HCT116,Male,RRM2,12.542045113333332,12.129318753333331,-0.4127263600000006
GSE42387,HCT116,Male,TK1,17.323707313333333,16.900540336666666,-0.4231669766666677
GSE42387,HCT116,Male,TYMS,15.083461533333335,14.78859826,-0.29486327333333406
GSE42387,HCT116,Male,UCK2,12.509293633333334,12.503922006666665,-0.005371626666669016
GSE42387,HCT116,Male,UMPS,13.134852866666668,13.162487173333334,0.02763430666666622
GSE42387,HT29,Female,CAD,11.44958579,11.953554793333334,0.5039690033333333
GSE42387,HT29,Female,CMPK1,9.954437408666665,9.888895094333334,-0.06554231433333157
GSE42387,HT29,Female,CTPS1,,,
GSE42387,HT29,Female,CTPS2,8.092470468,8.411671867666668,0.3192013996666674
GSE42387,HT29,Female,DCTD,11.06185609,11.13706381,0.07520772000000164
GSE42387,HT29,Female,DHFR,10.098930964333334,10.327119343333331,0.228188378999997
GSE42387,HT29,Female,DHODH,10.950038183333334,11.131157366666665,0.18111918333333143
GSE42387,HT29,Female,DUT,13.530800556666668,14.01233052,0.4815299633333332
GSE42387,HT29,Female,PAICS,14.058017076666667,14.39493881,0.3369217333333321
GSE42387,HT29,Female,PPAT,10.65602152,11.056859690000001,0.4008381700000019
GSE42387,HT29,Female,RRM1,13.751449183333333,13.999907033333335,0.2484578500000012
GSE42387,HT29,Female,RRM2,10.920928123333333,11.548172703333334,0.627244580000001
GSE42387,HT29,Female,TK1,16.521680466666666,16.95524485,0.4335643833333336
GSE42387,HT29,Female,TYMS,13.828957916666667,14.251469543333334,0.4225116266666671
GSE42387,HT29,Female,UCK2,11.577616733333334,12.014387563333335,0.4367708300000004
GSE42387,HT29,Female,UMPS,12.774815506666668,12.391665510000001,-0.38314999666666694
GSE42387,LoVo,Male,CAD,11.773846653333335,12.01802766,0.24418100666666476
GSE42387,LoVo,Male,CMPK1,9.502497555333333,9.825576234333333,0.323078679
GSE42387,LoVo,Male,CTPS1,,,
GSE42387,LoVo,Male,CTPS2,8.528197667999999,8.689476863666668,0.16127919566666904
GSE42387,LoVo,Male,DCTD,11.620309496666666,11.898805403333332,0.27849590666666657
GSE42387,LoVo,Male,DHFR,10.681642466666666,10.723861483333332,0.04221901666666561
GSE42387,LoVo,Male,DHODH,10.343078336666666,10.871035966666668,0.5279576300000013
GSE42387,LoVo,Male,DUT,13.801348316666667,13.768736543333333,-0.032611773333334426
GSE42387,LoVo,Male,PAICS,14.03441143,14.515447016666664,0.481035586666664
GSE42387,LoVo,Male,PPAT,10.85635283,11.142113816666667,0.2857609866666664
GSE42387,LoVo,Male,RRM1,13.051724049999999,13.5877926,0.5360685500000013
GSE42387,LoVo,Male,RRM2,11.289893653333332,11.394369493333334,0.10447584000000276
GSE42387,LoVo,Male,TK1,15.66139364,15.34448387,-0.31690977000000053
GSE42387,LoVo,Male,TYMS,14.316896753333333,14.062741016666669,-0.25415573666666447
GSE42387,LoVo,Male,UCK2,11.990828460000001,12.345113933333332,0.3542854733333307
GSE42387,LoVo,Male,UMPS,12.606550603333334,12.758219123333333,0.15166851999999942
GSE76092,HT29,Female,CAD,12.96,12.839999999999998,-0.12000000000000277
GSE76092,HT29,Female,CMPK1,10.313333333333333,9.806666666666667,-0.5066666666666659
GSE76092,HT29,Female,CTPS1,13.536666666666667,13.6,0.06333333333333258
GSE76092,HT29,Female,CTPS2,9.646666666666667,9.623333333333333,-0.023333333333333428
GSE76092,HT29,Female,DCTD,10.6,10.696666666666667,0.09666666666666757
GSE76092,HT29,Female,DHFR,10.83,11.01,0.17999999999999972
GSE76092,HT29,Female,DHODH,11.82,11.946666666666667,0.12666666666666693
GSE76092,HT29,Female,DUT,13.74,13.883333333333335,0.14333333333333442
GSE76092,HT29,Female,PAICS,14.910000000000002,14.903333333333334,-0.006666666666667709
GSE76092,HT29,Female,PPAT,11.723333333333334,11.763333333333334,0.03999999999999915
GSE76092,HT29,Female,RRM1,14.563333333333333,14.363333333333332,-0.20000000000000107
GSE76092,HT29,Female,RRM2,11.853333333333333,11.876666666666667,0.023333333333333428
GSE76092,HT29,Female,TK1,17.793333333333333,17.849999999999998,0.05666666666666487
GSE76092,HT29,Female,TYMS,14.836666666666668,15.076666666666668,0.2400000000000002
GSE76092,HT29,Female,UCK2,12.963333333333333,12.923333333333332,-0.040000000000000924
GSE76092,HT29,Female,UMPS,14.25,14.209999999999999,-0.040000000000000924
