query,library,term,query_n_mappable,term_n_in_universe,overlap_n,overlap_genes,p_value,library_bh_fdr,global_bh_fdr
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,10,53,7,NR1H2;NR1H3;NR1I2;NR1I3;PPARA;PPARD;PPARG,2.9104170591365956e-17,5.33479446939738e-14,4.3842522578833675e-13
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,24,53,8,ESR1;NR1H2;NR1H3;NR1I2;NR1I3;PPARA;PPARD;PPARG,3.5208872166681857e-16,6.453786268152785e-13,2.6519322515944775e-12
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,32,53,8,ESR1;NR1I2;NR1I3;NR3C1;PPARA;PPARG;RXRA;RXRB,4.965047682433715e-15,9.100932401901e-12,2.4931159429393826e-11
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,86,15,7,AKR1C3;HPGD;PTGES;PTGES2;PTGES3;PTGS1;PTGS2,5.337979060571543e-14,9.784515618027639e-11,2.0102829142112432e-10
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_SUMOYLATION,24,188,9,CDKN2A;DNMT1;ESR1;NCOA1;NR1H2;NR1H3;NR1I2;PPARA;PPARG,1.71736566455492e-13,1.5739656315645843e-10,5.174079274171063e-10
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,86,53,9,ESR1;NR1I2;NR1I3;NR3C1;PGR;PPARA;PPARG;RXRA;RXRB,3.9118398823950667e-13,3.5852012522150786e-10,8.710486773956648e-10
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,24,30,6,ESR1;NR1H2;NR1H3;NR1I2;PPARA;PPARG,4.0476239655932377e-13,2.473098242977468e-10,8.710486773956648e-10
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,10,30,5,NR1H2;NR1H3;NR1I2;PPARA;PPARG,6.986799898153883e-13,6.403402106658033e-10,1.3156144208223762e-09
MBzP_no_cotreatment_genes,Reactome_2026.1,REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,59,53,8,AR;ESR1;ESR2;NR1I2;NR1I3;PPARA;PPARD;PPARG,9.9818910764774e-13,1.8296806343183075e-09,1.6707467464006173e-09
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,32,30,6,ESR1;NR1I2;NR3C1;PPARA;PPARG;RXRA,2.7055027719841267e-12,2.479593290523452e-09,4.0755693757168885e-09
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,86,30,7,ESR1;NR1I2;NR3C1;PGR;PPARA;PPARG;RXRA,1.6134949270339753e-11,9.858454004177588e-09,2.2096079618945275e-08
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,87,53,8,AR;ESR1;ESR2;NR1I2;NR1I3;PPARA;PPARD;PPARG,2.503918468991661e-11,4.589682553661715e-08,3.1432523180741986e-08
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_ARACHIDONATE_METABOLISM,86,58,8,AKR1C3;HPGD;PLA2G4A;PTGES;PTGES2;PTGES3;PTGS1;PTGS2,4.851283768420164e-11,2.2231007868785403e-08,5.6215183605754884e-08
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_SUMOYLATION,10,188,6,NCOA1;NR1H2;NR1H3;NR1I2;PPARA;PPARG,5.949963204039831e-11,3.6354275176683364e-08,6.402160407546858e-08
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_PROSTANOID_LIGAND_RECEPTORS,86,9,5,PTGER1;PTGER2;PTGER3;PTGER4;PTGFR,8.475294008891276e-11,3.107042783659542e-08,8.511455263329212e-08
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,32,908,13,ATF4;ESR1;HSPA1A;HSPA1L;MAP1LC3B;NR3C1;PPARA;RELA;RXRA;SIRT1;SIRT3;SQSTM1;STAT3,1.0090606778241182e-10,6.165360741505362e-08,9.500306281714072e-08
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,87,111,9,BCL2;CCL2;CCND1;IL18;IL6;MMP9;PTGS2;TNF;TP53,4.151835224172579e-10,3.8051569829541686e-07,3.679014459819749e-07
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,10,118,5,NCOA1;NR1H2;NR1H3;PPARA;PPARG,8.440849946836858e-10,3.86801948813799e-07,7.064053533286135e-07
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS,86,15,5,PTGER1;PTGER2;PTGER3;PTGER4;PTGFR,1.98431042478497e-09,5.65752593689517e-07,1.5732448546821469e-06
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_METABOLISM_OF_LIPIDS,86,743,17,AKR1C1;AKR1C3;CGA;CYP11A1;HPGD;HSD3B2;PLA2G4A;PPARA;PPARG;PTGES;PTGES2;PTGES3;PTGS1;PTGS2;RXRA;RXRB;STAR,2.160539092103993e-09,5.65752593689517e-07,1.6273180441727277e-06
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,24,55,5,BAX;BCL2;CASP3;CASP8;CDKN2A,2.791140812901478e-09,1.2790402775121022e-06,2.002178343121327e-06
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_CONTROL_BILE_ACID_HOMEOSTASIS,10,9,3,NCOA1;NR1H2;NR1H3,5.105803843398992e-09,1.8717876889900706e-06,3.496083140771019e-06
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,86,908,18,ATF4;CA9;ESR1;HSPA1A;HSPA1L;IGFBP1;MAP1LC3B;NR3C1;PGR;PPARA;PTGES3;RELA;RPS2;RXRA;SIRT1;SIRT3;SQSTM1;STAT3,6.437357912475741e-09,1.474959631696004e-06,4.129411867946242e-06
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_SUMOYLATION,32,188,7,ESR1;NR1I2;NR3C1;PPARA;PPARG;RELA;RXRA,6.578988637195288e-09,2.998331820990076e-06,4.129411867946242e-06
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,32,194,7,ATF4;MAP1LC3B;PPARA;RELA;RXRA;SQSTM1;STAT3,8.178755649181876e-09,2.998331820990076e-06,4.928191003971031e-06
MBzP_all_human_interacting_genes,Hallmark_2026.1,HALLMARK_APOPTOSIS,87,161,9,BAX;CASP3;CASP8;CCND1;EREG;IL18;IL6;SOD1;TNF,1.123052061033548e-08,5.61526030516774e-07,6.506790864388218e-06
MBzP_no_cotreatment_genes,Reactome_2026.1,REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,59,30,5,AR;ESR1;NR1I2;PPARA;PPARG,1.3271674736324427e-08,9.095247457109515e-06,7.4046114158515246e-06
MBzP_no_cotreatment_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,59,111,7,BCL2;CCL2;CCND1;IL18;PTGS2;TNF;TP53,1.488583871867351e-08,9.095247457109515e-06,8.008581230646348e-06
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_10_SIGNALING,87,45,6,CCL2;CXCL10;IL18;IL6;PTGS2;TNF,1.8797682027505107e-08,9.43127479699733e-06,9.516166481042712e-06
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_FATTY_ACID_METABOLISM,86,173,9,AKR1C3;HPGD;PLA2G4A;PTGES;PTGES2;PTGES3;PTGS1;PTGS2;RXRA,1.8951473342490798e-08,3.859783404087293e-06,9.516166481042712e-06
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_SIGNALING_BY_INTERLEUKINS,87,460,13,BCL2;CASP3;CASP8;CCL2;CCND1;CXCL10;IL18;IL6;MMP9;PTGS2;SOD1;TNF;TP53,2.0581068842329144e-08,9.43127479699733e-06,1.000107164647891e-05
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,24,1352,11,BAX;CAT;CDKN2A;ESR1;NR1H2;NR1H3;NR1I2;NR1I3;PPARA;PPARD;PPARG,3.75367346317831e-08,1.2758138593814055e-05,1.7670417827911893e-05
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,24,194,6,BCL2;CAT;CDKN2A;NCOA1;PPARA;SOD1,4.1761501125414256e-08,1.2758138593814055e-05,1.9063492513734555e-05
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,87,55,6,BAX;BCL2;CASP3;CASP8;CDKN2A;TP53,6.489510845869492e-08,2.379054676095756e-05,2.875235040652295e-05
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_CONTROL_BILE_ACID_HOMEOSTASIS,24,9,3,NCOA1;NR1H2;NR1H3,8.587999173789318e-08,2.2488289265079743e-05,3.696274844398923e-05
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,87,30,5,AR;ESR1;NR1I2;PPARA;PPARG,9.547288239953253e-08,2.9166965573057187e-05,3.995009723518217e-05
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_METABOLISM_OF_STEROIDS,86,153,8,AKR1C1;AKR1C3;CGA;CYP11A1;HSD3B2;PPARA;RXRA;STAR,1.1713992228497101e-07,2.1471747754835188e-05,4.7691778089210895e-05
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,32,33,4,MMP2;MMP9;TIMP1;TIMP2,1.2735613825475134e-07,3.531213904864022e-05,5.0486654386041425e-05
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,24,118,5,NCOA1;NR1H2;NR1H3;PPARA;PPARG,1.3435520823983727e-07,3.078413708795271e-05,5.078552152756429e-05
DINP_parent_no_cotreatment_genes,Reactome_2026.1,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,32,1352,12,DDIT4;ESR1;NR1I2;NR1I3;NR3C1;PPARA;PPARG;RELA;RXRA;RXRB;SIRT1;SIRT3,1.3485268594679844e-07,3.531213904864022e-05,5.078552152756429e-05
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_METABOLISM_OF_LIPIDS,10,743,6,NCOA1;NR1H2;NR1H3;PPARA;PPARD;PPARG,2.212214189247485e-07,5.984142895729767e-05,8.127998669957101e-05
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_BROWN_AND_BEIGE_ADIPOCYTE_DIFFERENTIATION,10,30,3,NCOA1;PPARA;PPARG,2.45588687417716e-07,5.984142895729767e-05,8.808447588715414e-05
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,10,1352,7,NR1H2;NR1H3;NR1I2;NR1I3;PPARA;PPARD;PPARG,2.611737215812228e-07,5.984142895729767e-05,9.149583585812884e-05
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,87,788,15,ACTB;BCL2;CASP3;CASP8;CCL2;CCND1;CXCL10;IFI6;IL18;IL6;MMP9;PTGS2;SOD1;TNF;TP53,2.749651388429084e-07,7.200158564272159e-05,9.413806480749028e-05
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,87,74,6,BCL2;CCND1;EREG;ESR1;ESR2;MMP9,3.9136335156509645e-07,8.967112792735273e-05,0.00013101105617725807
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,24,291,6,BCL2;ESR1;NCOA1;NR1H2;NR1H3;PPARD,4.570804760558389e-07,9.309205695670585e-05,0.00014968391937619907
MiNP_no_cotreatment_genes,Reactome_2026.1,REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX,10,37,3,NCOA1;NR1H2;NR1H3,4.692478713301915e-07,9.557014979424901e-05,0.00015039893475995755
MBzP_no_cotreatment_genes,Reactome_2026.1,REACTOME_SUMOYLATION,59,188,7,AR;CDKN2A;ESR1;NR1I2;PPARA;PPARG;TP53,5.526259967961677e-07,0.00025324086303184386,0.0001734324586611973
DINP_parent_all_human_interacting_genes,Reactome_2026.1,REACTOME_SUMOYLATION,86,188,8,ESR1;NR1I2;NR3C1;PGR;PPARA;PPARG;RELA;RXRA,5.666998913649622e-07,9.443280917017961e-05,0.00017421973803105696
MBzP_all_human_interacting_genes,Reactome_2026.1,REACTOME_SUMOYLATION,87,188,8,AR;CDKN2A;DNMT1;ESR1;NR1I2;PPARA;PPARG;TP53,6.197217459239282e-07,0.00012621666225317337,0.00018670976761196107
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_APOPTOSIS,24,166,5,BAX;BCL2;CASP3;CASP8;CDKN2A,7.340679434766662e-07,0.0001345546540392729,0.00021682351961828432
