dataset_id,group,compartment,n_cells,n_donors,n_cell_types,n_tissues
16023185-de21-4c0d-a9c8-73abdd52d142,normal,epithelial,34429,36,6,1
16023185-de21-4c0d-a9c8-73abdd52d142,tumor,epithelial,15316,62,8,1
