group,state,n_donors,spearman_rho,P,direction,BH_FDR
pooled,EMT,12,0.0979020979020979,0.762121655996299,positive,0.8230913884760029
tumor,EMT,6,0.6,0.20799999999999982,positive,0.8235030275846601
normal,EMT,6,0.5428571428571429,0.26570262390670557,positive,0.4483731778425657
pooled,E2F_targets,12,0.32867132867132864,0.2969041156887641,positive,0.6166470095074332
tumor,E2F_targets,6,0.2571428571428572,0.6227871720116618,positive,0.8407626822157435
normal,E2F_targets,6,0.942857142857143,0.004804664723032055,positive,0.1297259475218655
pooled,G2M_checkpoint,12,0.2867132867132868,0.36625146058358227,positive,0.6814236053921455
tumor,G2M_checkpoint,6,0.3142857142857143,0.5440932944606414,positive,0.8407626822157435
normal,G2M_checkpoint,6,0.7142857142857143,0.1107871720116617,positive,0.33236151603498515
pooled,MYC_targets_V1,12,-0.055944055944055944,0.8628980736949712,negative,0.8960864611447779
tumor,MYC_targets_V1,6,-0.4285714285714286,0.3965014577259474,negative,0.8235030275846601
normal,MYC_targets_V1,6,0.7142857142857143,0.1107871720116617,positive,0.33236151603498515
pooled,MYC_targets_V2,12,-0.1258741258741259,0.6966831093957659,negative,0.7837684980702367
tumor,MYC_targets_V2,6,-0.5428571428571429,0.26570262390670557,negative,0.8235030275846601
normal,MYC_targets_V2,6,0.7142857142857143,0.1107871720116617,positive,0.33236151603498515
pooled,Hypoxia,12,0.4125874125874127,0.18256397857316675,positive,0.6166470095074332
tumor,Hypoxia,6,0.48571428571428577,0.3287230320699709,positive,0.8235030275846601
normal,Hypoxia,6,0.6,0.20799999999999982,positive,0.3743999999999997
pooled,Inflammatory_response,12,0.23076923076923078,0.470531995381542,positive,0.7057979930723131
tumor,Inflammatory_response,6,0.6571428571428573,0.15617492711370237,positive,0.8235030275846601
normal,Inflammatory_response,6,0.7714285714285715,0.07239650145772594,positive,0.33236151603498515
pooled,TNF_NFkB,12,0.18881118881118883,0.5567370561768314,positive,0.715804786513069
tumor,TNF_NFkB,6,0.08571428571428573,0.8717434402332361,positive,0.9052720340883607
normal,TNF_NFkB,6,0.2,0.704,positive,0.76032
pooled,IL6_JAK_STAT3,12,0.1258741258741259,0.6966831093957659,positive,0.7837684980702367
tumor,IL6_JAK_STAT3,6,0.2571428571428572,0.6227871720116618,positive,0.8407626822157435
normal,IL6_JAK_STAT3,6,0.3142857142857143,0.5440932944606414,positive,0.638718215236405
pooled,ROS,12,0.2797202797202798,0.37856866966230307,positive,0.6814236053921455
tumor,ROS,6,0.3714285714285715,0.46847813411078715,positive,0.8407626822157435
normal,ROS,6,0.3714285714285715,0.46847813411078715,positive,0.6023290295710121
pooled,OXPHOS,12,0.5104895104895105,0.08991373630263913,positive,0.6166470095074332
tumor,OXPHOS,6,0.4285714285714286,0.3965014577259474,positive,0.8235030275846601
normal,OXPHOS,6,0.4285714285714286,0.3965014577259474,positive,0.535276967930029
pooled,Fatty_acid_metabolism,12,0.5874125874125874,0.044609296463363105,positive,0.6166470095074332
tumor,Fatty_acid_metabolism,6,0.4285714285714286,0.3965014577259474,positive,0.8235030275846601
normal,Fatty_acid_metabolism,6,0.6571428571428573,0.15617492711370237,positive,0.3743999999999997
pooled,Cholesterol_homeostasis,12,0.1328671328671329,0.6805975082860818,positive,0.7837684980702367
tumor,Cholesterol_homeostasis,6,0.2,0.704,positive,0.864
normal,Cholesterol_homeostasis,6,0.7142857142857143,0.1107871720116617,positive,0.33236151603498515
pooled,Apoptosis,12,0.3426573426573427,0.27556745095678037,positive,0.6166470095074332
tumor,Apoptosis,6,0.3142857142857143,0.5440932944606414,positive,0.8407626822157435
normal,Apoptosis,6,0.7714285714285715,0.07239650145772594,positive,0.33236151603498515
pooled,p53,12,0.3916083916083916,0.2080634636953532,positive,0.6166470095074332
tumor,p53,6,0.3142857142857143,0.5440932944606414,positive,0.8407626822157435
normal,p53,6,0.6,0.20799999999999982,positive,0.3743999999999997
pooled,UPR,12,0.1958041958041958,0.5419358857313175,positive,0.715804786513069
tumor,UPR,6,0.4285714285714286,0.3965014577259474,positive,0.8235030275846601
normal,UPR,6,0.7142857142857143,0.1107871720116617,positive,0.33236151603498515
pooled,Glycolysis,12,0.39860139860139865,0.19933549461780897,positive,0.6166470095074332
tumor,Glycolysis,6,0.5428571428571429,0.26570262390670557,positive,0.8235030275846601
normal,Glycolysis,6,0.7714285714285715,0.07239650145772594,positive,0.33236151603498515
pooled,IFN_alpha,12,0.3356643356643357,0.2861229029149875,positive,0.6166470095074332
tumor,IFN_alpha,6,0.8285714285714287,0.04156268221574334,positive,0.8235030275846601
normal,IFN_alpha,6,0.2571428571428572,0.6227871720116618,positive,0.7006355685131196
pooled,IFN_gamma,12,0.4755244755244756,0.11817595701303213,positive,0.6166470095074332
tumor,IFN_gamma,6,0.6571428571428573,0.15617492711370237,positive,0.8235030275846601
normal,IFN_gamma,6,0.6,0.20799999999999982,positive,0.3743999999999997
pooled,TGF_beta,12,0.3426573426573427,0.27556745095678037,positive,0.6166470095074332
tumor,TGF_beta,6,0.2571428571428572,0.6227871720116618,positive,0.8407626822157435
normal,TGF_beta,6,0.4285714285714286,0.3965014577259474,positive,0.535276967930029
