cohort,n_right,n_left,right_mean_log2_CPM_plus1,left_mean_log2_CPM_plus1,right_minus_left_mean_log2_CPM_plus1,welch_p,mannwhitney_p
GSE200997,8,8,3.8129509121645553,3.9763058280966246,-0.1633549159320693,0.8726386303662462,0.8335142129533152
GSE132465,11,12,4.105322571638209,3.916525207719399,0.18879736391880986,0.34747853120470057,0.18575772936738766
