Model,Population,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message
Model 0,CRC_vs_cancer_free,ok,15374,115,15259,-0.042187359945569616,0.059129800521731016,0.9586901436114993,0.8529932701175359,1.0774842236811482,0.4766416272720315,153,301,148,Newton-IRLS converged
Model 1,CRC_vs_cancer_free,ok,15374,115,15259,0.021425801609370798,0.06306014518765436,1.0216569822211408,0.901986964781053,1.1572040728710251,0.7344974310668664,153,301,148,Newton-IRLS converged
Model 2,CRC_vs_cancer_free,ok,13779,104,13675,-0.04737954022813209,0.08824654015619113,0.953725351751658,0.8011408134537484,1.1353710000774244,0.5921167941534929,153,301,148,Newton-IRLS converged
Model 3,CRC_vs_cancer_free,ok,13766,104,13662,-0.0334542446080871,0.08943171882630004,0.9670991602201748,0.810475082071815,1.1539907967407361,0.7088657937454103,153,301,148,Newton-IRLS converged
Model 0,CRC_vs_all_nonCRC,ok,16745,115,16630,-0.036220706223874,0.059341529216798694,0.9644274148592344,0.857739141486733,1.0843859088905206,0.5425176604753668,153,301,148,Newton-IRLS converged
Model 1,CRC_vs_all_nonCRC,ok,16745,115,16630,0.0325634027393678,0.06333487537213504,1.033099392399052,0.9115941821533815,1.170799875065143,0.6078913974627844,153,301,148,Newton-IRLS converged
Model 2,CRC_vs_all_nonCRC,ok,15007,104,14903,-0.031969720652497216,0.08785067195634605,0.9685359082705418,0.8142183893845422,1.15210098155424,0.7164277531930847,153,301,148,Newton-IRLS converged
Model 3,CRC_vs_all_nonCRC,ok,14993,104,14889,-0.02404953393191171,0.0887478529717973,0.9762373516857284,0.8192393978780271,1.163322185547842,0.7867661107049083,153,301,148,Newton-IRLS converged
