gene,GSE119603|HCT116,GSE42387|HCT116,GSE42387|HT29,GSE42387|LoVo,GSE77932|DLD1,GSE77932|HCT116,rank,primary_tier,median_background_vulnerability_rho,n_positive_backgrounds,meta_q_value
FN1,0.23477633477633478,0.0056998556998557,0.19292929292929292,-0.1670995670995671,0.2227994227994228,0.050432900432900434,1057,Tier2_strong,0.12168109668109668,3,0.7932007612869654
HSP90B1,0.034126984126984124,0.32676767676767676,-0.08614718614718615,-0.20887445887445888,0.3660894660894661,0.341991341991342,1129,none,0.12031024531024531,2,0.30376205767622094
ITGB1,0.03217893217893218,0.07604617604617604,0.18708513708513708,-0.15317460317460319,0.16414141414141414,-0.08008658008658008,1882,none,0.09816017316017317,3,0.8600122202400136
GPX4,0.27474747474747474,0.40829725829725827,-0.03434343434343434,-0.14451659451659452,0.2150793650793651,0.5331890331890332,2237,none,0.09036796536796537,2,0.486273370298092
CPT2,0.1422077922077922,-0.016666666666666666,0.17763347763347764,0.17323232323232324,-0.01341991341991342,-0.009595959595959595,2656,none,0.08181818181818182,2,0.9677646858920119
PSMB5,-0.0582972582972583,-0.18542568542568544,0.37965367965367963,0.2106782106782107,-0.06587301587301587,-0.2953102453102453,3195,none,0.07240259740259741,2,0.49667986383448104
EDEM1,0.006349206349206349,0.2479076479076479,0.0056998556998557,-0.30144300144300146,0.09451659451659451,0.18333333333333332,4608,none,0.05010822510822511,3,0.781527496984418
SLC22A5,-0.08023088023088024,0.17063492063492064,-0.048412698412698414,0.006421356421356422,0.12546897546897548,0.0424963924963925,6714,none,0.024458874458874458,3,1.0
DERL1,-0.08874458874458875,0.274025974025974,-0.18542568542568544,0.11103896103896103,-0.08982683982683982,0.3137085137085137,7886,none,0.010606060606060605,2,0.758864830364514
SLC7A11,0.09134199134199134,0.1634920634920635,-0.1448051948051948,-0.07106782106782107,0.09126984126984126,0.09321789321789321,7931,none,0.010101010101010097,2,0.9867353966370948
VCP,0.005483405483405483,0.14206349206349206,0.06551226551226551,-0.09545454545454546,-0.0893939393939394,0.16464646464646465,10007,none,-0.011940836940836946,2,0.990488677069018
CPT1A,0.014935064935064935,0.233982683982684,-0.06024531024531025,-0.17972582972582973,-0.020202020202020204,0.08051948051948052,12279,none,-0.040223665223665224,1,1.0
DHODH,-0.14256854256854257,-0.15375180375180375,-0.024098124098124098,0.12647907647907647,-0.08658008658008658,-0.2012987012987013,13392,none,-0.05533910533910534,1,0.9831656058131935
RRM2,0.005050505050505051,0.23932178932178932,-0.2054112554112554,-0.3463924963924964,0.05966810966810967,0.37316017316017314,14476,none,-0.07287157287157287,2,0.49915878641105005
