ModelID,COSMIC_key,GDSC_cell_line,MSI,database,expression_source,self_exclusion_trajectories
ACH-000969,905989,KM12,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000501,907792,LS-123,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000985,907794,LS-411N,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000007,907795,LS-513,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000403,908457,NCI-H747,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000491,908458,NCI-H716,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000943,909698,RKO,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000998,910554,CW-2,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000009,910700,C2BBe1,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000722,910905,SNU-C1,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000252,917486,LS-1034,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000935,1240173,MDST8,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000249,1290769,CL-11,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000971,905936,HCT-116,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116
ACH-000997,905937,HCT-15,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000552,905939,HT-29,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,GSE42387|HT29
ACH-000651,905962,SW620,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000926,907287,HT55,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-000986,907289,HT-115,MSS/MSI-L,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
ACH-001345,907291,GP5d,MSI-H,GDSC1,DepMap 23Q4 OmicsExpressionProteinCodingGenesTPMLogp1 / CCLE-linked ModelID,
