n_cases,controls_per_case,total_n,target_or_per_doubling,n_sim,n_converged,convergence_rate,power_two_sided_alpha_0.05,median_estimated_or,q025_estimated_or,q975_estimated_or,median_se_log_or
181,1,362,1.15,1000,1000,1.0,0.622,1.1593913047288242,1.0235497502766993,1.3312077517593621,0.06598806433519824
181,1,362,1.2,1000,1000,1.0,0.854,1.2196634612237447,1.0663160872897008,1.4189132178622277,0.06834300083163344
181,1,362,1.25,1000,1000,1.0,0.932,1.2627718448769176,1.1055503734283092,1.470783993683994,0.07042239052493862
181,1,362,1.3,1000,1000,1.0,0.988,1.3225496061016289,1.1605241209605732,1.572491518084938,0.0734383826009457
181,2,543,1.15,1000,1000,1.0,0.79,1.155325536085642,1.0476870766190605,1.2967313578964816,0.053183267313570155
181,2,543,1.2,1000,1000,1.0,0.938,1.2082794894892164,1.0846885043335641,1.356312548916275,0.05418720079758104
181,2,543,1.25,1000,1000,1.0,0.993,1.2603935463827858,1.1339070183368498,1.4193935258883306,0.0557170672705697
181,2,543,1.3,1000,1000,1.0,1.0,1.3097592062799004,1.1783289592798267,1.4902994491928614,0.05702579589779322
150,1,300,1.15,1000,1000,1.0,0.548,1.164709263156876,1.0088967675257634,1.3719814581168495,0.0733844454930413
150,1,300,1.2,1000,1000,1.0,0.771,1.2235426977251915,1.0538566908139475,1.4491650077234468,0.07644013349561893
150,1,300,1.25,1000,1000,1.0,0.895,1.2746057231020016,1.10035779257824,1.5280082441204723,0.0791654888923993
150,1,300,1.3,1000,1000,1.0,0.962,1.3354584373875205,1.1433338804516184,1.60444325251469,0.08241889565849289
150,2,450,1.15,1000,1000,1.0,0.712,1.1537656452517706,1.0318194750171754,1.2970504590344871,0.05895973247362005
150,2,450,1.2,1000,1000,1.0,0.884,1.2075965026484585,1.0717241947171268,1.384373263263911,0.059868970303491365
150,2,450,1.25,1000,1000,1.0,0.977,1.259280500884734,1.1289448568651332,1.4450581231711328,0.06157763781208893
150,2,450,1.3,1000,1000,1.0,0.994,1.3167467727745468,1.170537720187464,1.5106193594611277,0.06343285885490688
120,1,240,1.15,1000,1000,1.0,0.456,1.168605225393508,0.9929794650101862,1.423080390300262,0.08431630782032756
120,1,240,1.2,1000,1000,1.0,0.664,1.2153184373727508,1.0446546609286516,1.4960722547502472,0.08673538628124147
120,1,240,1.25,1000,1000,1.0,0.829,1.289091902191047,1.081279809109042,1.5996788613361146,0.0908769621905137
120,1,240,1.3,1000,1000,1.0,0.904,1.3470801190243844,1.1231430683518742,1.7075568417338458,0.09427524369167084
120,2,360,1.15,1000,1000,1.0,0.605,1.157001278373439,1.0171768390989655,1.3361565420393255,0.06674824766207231
120,2,360,1.2,1000,1000,1.0,0.812,1.2114591858557455,1.0643996934516216,1.4002455816335708,0.0681076446393432
120,2,360,1.25,1000,1000,1.0,0.948,1.2677579427957588,1.111365766186629,1.465015121811488,0.07010127613453009
120,2,360,1.3,1000,1000,1.0,0.978,1.3166111919949222,1.1466276645819917,1.53364603404379,0.0717243114882113
100,1,200,1.15,1000,1000,1.0,0.405,1.1715926301015862,0.9757221520452846,1.461667207933286,0.09427748232781152
100,1,200,1.2,1000,1000,1.0,0.577,1.231192612265689,1.0081333639292773,1.5570637077710308,0.09758588209821065
100,1,200,1.25,1000,1000,1.0,0.705,1.2856835371412152,1.0449502269121786,1.6528957784485359,0.10138656850085703
100,1,200,1.3,1000,1000,1.0,0.859,1.3477022787751136,1.1040566443364153,1.7579239541140903,0.10636088272413859
100,2,300,1.15,1000,1000,1.0,0.542,1.1623907502031272,1.010545853935522,1.3677674640793562,0.074067567821851
100,2,300,1.2,1000,1000,1.0,0.737,1.212199746387082,1.0473725874207886,1.404038253379477,0.07543959074060798
100,2,300,1.25,1000,1000,1.0,0.897,1.2725263208529884,1.0940368236656308,1.5061384024574695,0.07735945753002497
100,2,300,1.3,1000,1000,1.0,0.962,1.3264164833936625,1.1362406760869321,1.566043495687315,0.07971737189915909
80,1,160,1.15,1000,1000,1.0,0.313,1.180163499766791,0.9374772789538182,1.515744990233788,0.1100418977472965
80,1,160,1.2,1000,1000,1.0,0.51,1.2488637157967375,1.0077123305047928,1.6377565134086667,0.11315228258950011
80,1,160,1.25,1000,1000,1.0,0.649,1.3124956345508187,1.0442323292853941,1.7753449319407288,0.1189443159751524
80,1,160,1.3,1000,1000,1.0,0.737,1.3509657429284587,1.0745307432450684,1.8685909778919123,0.12287682959640352
80,2,240,1.15,1000,1000,1.0,0.446,1.1636402553862426,0.9737920599126126,1.3988450996787813,0.08407584471659364
80,2,240,1.2,1000,1000,1.0,0.639,1.2205449131625334,1.0264027680660268,1.4606764173539637,0.08540228132105117
80,2,240,1.25,1000,1000,1.0,0.805,1.2734454683995802,1.0739103789605438,1.5378469187741852,0.08814028032806351
80,2,240,1.3,1000,1000,1.0,0.91,1.3370846106618874,1.1233313781347238,1.6499074821279809,0.09120084821623087
