soma_joinid,citation,collection_id,collection_name,collection_doi,collection_doi_label,dataset_id,dataset_version_id,dataset_title,dataset_h5ad_path,dataset_total_cell_count
0,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/66699060-0389-4fbd-b3a5-196b3b4e32d6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,4eb29386-de81-452f-b3c0-e00844e8c7fd,66699060-0389-4fbd-b3a5-196b3b4e32d6,Spatial transcriptomics in mouse: Puck_191112_05,4eb29386-de81-452f-b3c0-e00844e8c7fd.h5ad,10888
1,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/f64950a2-a3c8-490a-8431-7121eeb4f5f4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,78d59e4a-82eb-4a61-a1dc-da974d7ea54b,f64950a2-a3c8-490a-8431-7121eeb4f5f4,Spatial transcriptomics in mouse: Puck_191112_08,78d59e4a-82eb-4a61-a1dc-da974d7ea54b.h5ad,10250
2,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/781a724a-b0f5-46c4-9a13-e6293ef4364f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,add5eb84-5fc9-4f01-982e-a346dd42ee82,781a724a-b0f5-46c4-9a13-e6293ef4364f,Spatial transcriptomics in mouse: Puck_191109_20,add5eb84-5fc9-4f01-982e-a346dd42ee82.h5ad,12906
3,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/96a79598-297b-4ade-a6c1-a431ab243548.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,b020294c-ab82-4547-b5a7-63d8ffa575ed,96a79598-297b-4ade-a6c1-a431ab243548,Spatial transcriptomics in mouse: Puck_191112_13,b020294c-ab82-4547-b5a7-63d8ffa575ed.h5ad,15161
4,Publication: https://doi.org/10.1038/s41591-024-03215-z Dataset Version: https://datasets.cellxgene.cziscience.com/ac9fe945-6784-48fa-a2d5-a8646196d37e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a96133de-e951-4e2d-ace6-59db8b3bfb1d,a96133de-e951-4e2d-ace6-59db8b3bfb1d,HTAN/HTAPP Broad - Spatio-molecular dissection of the breast cancer metastatic microenvironment,10.1038/s41591-024-03215-z,Klughammer et al. (2024) Nat Med,d7476ae2-e320-4703-8304-da5c42627e71,ac9fe945-6784-48fa-a2d5-a8646196d37e,HTAPP-330-SMP-1082 scRNA-seq,d7476ae2-e320-4703-8304-da5c42627e71.h5ad,565
5,Publication: https://doi.org/10.1002/hep4.1854 Dataset Version: https://datasets.cellxgene.cziscience.com/85954cff-a901-4de2-bd7f-a23b0077812b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294,44531dd9-1388-4416-a117-af0a99de2294,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",10.1002/hep4.1854,Andrews et al. (2022) Hepatol Commun,0895c838-e550-48a3-a777-dbcd35d30272,85954cff-a901-4de2-bd7f-a23b0077812b,Healthy human liver: B cells,0895c838-e550-48a3-a777-dbcd35d30272.h5ad,146
6,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/3b0f15f6-abcc-4889-8daa-2f75c106099a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,530c9bff-c552-45b9-be77-0de605e6858b,3b0f15f6-abcc-4889-8daa-2f75c106099a,Spatial transcriptomics in mouse: Puck_191109_14,530c9bff-c552-45b9-be77-0de605e6858b.h5ad,12351
7,Publication: https://doi.org/10.1038/s41586-024-07944-6 Dataset Version: https://datasets.cellxgene.cziscience.com/6c49bd07-0978-4b24-9358-f9a11746276a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fc19ae6c-d7c1-4dce-b703-62c5d52061b4,fc19ae6c-d7c1-4dce-b703-62c5d52061b4,A spatial human thymus cell atlas mapped to a continuous tissue axis,10.1038/s41586-024-07944-6,Yayon et al. (2024) Nature,fbd69faa-b0c5-45ba-89c9-da938a7f5a14,6c49bd07-0978-4b24-9358-f9a11746276a,thymus scRNA-seq atlas - myeloid p2 subset,fbd69faa-b0c5-45ba-89c9-da938a7f5a14.h5ad,843
8,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/d7149896-5be5-4b37-ad54-249a7825fe3e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,fb83600a-7823-426e-b06b-1fcd666a3cd8,d7149896-5be5-4b37-ad54-249a7825fe3e,Spatial transcriptomics in mouse: Puck_191109_18,fb83600a-7823-426e-b06b-1fcd666a3cd8.h5ad,19156
9,Publication: https://doi.org/10.1126/sciimmunol.abe6291 Dataset Version: https://datasets.cellxgene.cziscience.com/09d1124d-68e5-4ca7-9452-e3012b2858d6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/3a2af25b-2338-4266-aad3-aa8d07473f50,3a2af25b-2338-4266-aad3-aa8d07473f50,Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,10.1126/sciimmunol.abe6291,King et al. (2021) Sci. Immunol.,00ff600e-6e2e-4d76-846f-0eec4f0ae417,09d1124d-68e5-4ca7-9452-e3012b2858d6,Human tonsil nonlymphoid cells scRNA,00ff600e-6e2e-4d76-846f-0eec4f0ae417.h5ad,363
10,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/9396b087-fb6c-4180-aa32-27fad712d305.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,70fa6bd9-cc35-4779-9a05-fa8918c0ff8b,9396b087-fb6c-4180-aa32-27fad712d305,Spatial transcriptomics in mouse: Puck_191109_19,70fa6bd9-cc35-4779-9a05-fa8918c0ff8b.h5ad,22659
11,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/4ca924bb-5012-4bb9-b74e-fef159a112fc.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,1c224f30-a9c4-48c6-951d-8d86c0a2886e,4ca924bb-5012-4bb9-b74e-fef159a112fc,Spatial transcriptomics in mouse: Puck_191223_13,1c224f30-a9c4-48c6-951d-8d86c0a2886e.h5ad,16787
12,Publication: https://doi.org/10.1038/s41588-023-01435-6 Dataset Version: https://datasets.cellxgene.cziscience.com/89c9fcbd-4935-4a13-818e-b0d436ae3864.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d74b6979-efba-47cd-990a-9d80ccf29055,d74b6979-efba-47cd-990a-9d80ccf29055,Spatial transcriptomic maps of whole mouse embryos reveal principles of neural tube patterning,10.1038/s41588-023-01435-6,Sampath Kumar et al. (2023) Nat Genet,c233842b-9430-41b8-8ec6-4342428e43f3,89c9fcbd-4935-4a13-818e-b0d436ae3864,mouse_trunkTbx6WT_KO,c233842b-9430-41b8-8ec6-4342428e43f3.h5ad,499
13,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/094c4311-ed15-47f1-936d-13e405efe52a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,3483835a-fdd2-4589-8de3-530e2a13ad14,094c4311-ed15-47f1-936d-13e405efe52a,Spatial transcriptomics in mouse: Puck_191204_18,3483835a-fdd2-4589-8de3-530e2a13ad14.h5ad,27814
14,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/53f89023-3ea8-484a-982b-0a2f1ae304d4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,ce19be17-f066-452f-922e-b1f232ce8af5,53f89023-3ea8-484a-982b-0a2f1ae304d4,Spatial transcriptomics in mouse: Puck_191109_10,ce19be17-f066-452f-922e-b1f232ce8af5.h5ad,15592
15,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/1db2b7c9-5566-410d-a061-4812034610f0.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,c5ac9bb9-9597-4c0e-a985-1c3947288785,1db2b7c9-5566-410d-a061-4812034610f0,Spatial transcriptomics in mouse: Puck_191112_07,c5ac9bb9-9597-4c0e-a985-1c3947288785.h5ad,21181
16,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/6fa10d74-637c-4c2b-9c5b-20b02f887e09.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,72ed5f5b-e685-474d-b436-3bcc8c597e8e,6fa10d74-637c-4c2b-9c5b-20b02f887e09,Spatial transcriptomics in mouse: Puck_191112_04,72ed5f5b-e685-474d-b436-3bcc8c597e8e.h5ad,13822
17,Publication: https://doi.org/10.1016/j.labinv.2023.100258 Dataset Version: https://datasets.cellxgene.cziscience.com/f4040a55-2315-4b01-8e8e-e841e4782918.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bfd55632-15e2-4dde-a1b9-02ade511fc4d,bfd55632-15e2-4dde-a1b9-02ade511fc4d,Spatial Transcriptomics Reveal Pitfalls and Opportunities for the Detection of Rare High-Plasticity Breast Cancer Subtypes,10.1016/j.labinv.2023.100258,Coutant et al. (2023) Laboratory Investigation,60d5175f-f477-48b2-8396-ad76be2c3310,f4040a55-2315-4b01-8e8e-e841e4782918,GSM6592057_M10,60d5175f-f477-48b2-8396-ad76be2c3310.h5ad,4992
18,Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/dda14efc-dea6-4d1c-ac42-c87797de8c30.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,Leng et al. (2021) Nat Neurosci,bdacc907-7c26-419f-8808-969eab3ca2e8,dda14efc-dea6-4d1c-ac42-c87797de8c30,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG microglia,bdacc907-7c26-419f-8808-969eab3ca2e8.h5ad,3799
19,Publication: https://doi.org/10.1038/s41588-023-01435-6 Dataset Version: https://datasets.cellxgene.cziscience.com/5e9d9d03-4972-4dfb-b02d-248a3b16e064.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d74b6979-efba-47cd-990a-9d80ccf29055,d74b6979-efba-47cd-990a-9d80ccf29055,Spatial transcriptomic maps of whole mouse embryos reveal principles of neural tube patterning,10.1038/s41588-023-01435-6,Sampath Kumar et al. (2023) Nat Genet,6c0f2e18-3793-4d90-88b5-12d9d6f0f4e2,5e9d9d03-4972-4dfb-b02d-248a3b16e064,E9.0: Puck_220718_02,6c0f2e18-3793-4d90-88b5-12d9d6f0f4e2.h5ad,703
20,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/cecd8b2e-d19e-4e00-b624-781ba8edef60.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,b24705ee-87c0-45f2-adfb-2819fdc16225,cecd8b2e-d19e-4e00-b624-781ba8edef60,Spatial transcriptomics in mouse: Puck_200104_04,b24705ee-87c0-45f2-adfb-2819fdc16225.h5ad,25817
21,Publication: https://doi.org/10.1038/s41467-022-29450-x Dataset Version: https://datasets.cellxgene.cziscience.com/963e004b-77ac-451d-a73c-bd9e1e14c232.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bf325905-5e8e-42e3-933d-9a9053e9af80,bf325905-5e8e-42e3-933d-9a9053e9af80,Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses,10.1038/s41467-022-29450-x,Rodríguez-Ubreva et al. (2022) Nat Commun,a5d95a42-0137-496f-8a60-101e17f263c8,963e004b-77ac-451d-a73c-bd9e1e14c232,Steady-state B cells - scRNA-seq,a5d95a42-0137-496f-8a60-101e17f263c8.h5ad,1324
22,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/2c2f209b-09e1-4eb7-9aed-93ac1d03d813.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,90ef2377-e4d0-41c7-924f-6f9ee7a9237d,2c2f209b-09e1-4eb7-9aed-93ac1d03d813,Spatial transcriptomics in the healthy human kidney: Puck_200113_07,90ef2377-e4d0-41c7-924f-6f9ee7a9237d.h5ad,11456
23,Publication: https://doi.org/10.1101/2024.09.10.612293 Dataset Version: https://datasets.cellxgene.cziscience.com/fd7cb98d-0096-448c-b1fa-2806e4abdb66.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8f17ac63-aaba-44b5-9b78-60f121da4c2f,8f17ac63-aaba-44b5-9b78-60f121da4c2f,A Coding and Non-Coding Atlas of the Human Arterial Cell,10.1101/2024.09.10.612293,Zhao et al. (2024) bioRxiv,b2005457-dede-4434-a9c3-dbe41fcd542e,fd7cb98d-0096-448c-b1fa-2806e4abdb66,slide-seqV2 analysis of aorta,b2005457-dede-4434-a9c3-dbe41fcd542e.h5ad,6142
24,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/596d0795-d454-4d23-83d5-fecfa6dc165e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,2fb24a91-55b9-4cc4-9a11-d46c373d53c1,596d0795-d454-4d23-83d5-fecfa6dc165e,Spatial transcriptomics in mouse: Puck_191109_08,2fb24a91-55b9-4cc4-9a11-d46c373d53c1.h5ad,30182
25,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/9344d507-7e68-4d44-b319-0ea1da84da06.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,5e73d977-8e54-4406-a5f0-711bf0d3c228,9344d507-7e68-4d44-b319-0ea1da84da06,Spatial transcriptomics in mouse: Puck_191204_09,5e73d977-8e54-4406-a5f0-711bf0d3c228.h5ad,17138
26,Publication: https://doi.org/10.1016/j.immuni.2022.09.002 Dataset Version: https://datasets.cellxgene.cziscience.com/a6baa044-e38d-48cc-bc8c-651747a46474.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,02b01703-bf1b-48de-b99a-23bef8cccc81,Spatially mapping T cell receptors and transcriptomes,10.1016/j.immuni.2022.09.002,Liu et al. (2022) Immunity,c62ac8e5-72d1-48d1-8bb5-9e66fd2b1e19,a6baa044-e38d-48cc-bc8c-651747a46474,Normal Spleen OT1 Puck_200727_02,c62ac8e5-72d1-48d1-8bb5-9e66fd2b1e19.h5ad,11510
27,Publication: https://doi.org/10.1038/s41590-021-01059-0 Dataset Version: https://datasets.cellxgene.cziscience.com/e4ace604-4f9a-4dd7-99b1-98a18c78c531.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/93eebe82-d8c3-41bc-a906-63b5b5f24a9d,93eebe82-d8c3-41bc-a906-63b5b5f24a9d,Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states,10.1038/s41590-021-01059-0,Triana et al. (2021) Nat Immunol,d3566d6a-a455-4a15-980f-45eb29114cab,e4ace604-4f9a-4dd7-99b1-98a18c78c531,blood and bone marrow from a healthy young donor,d3566d6a-a455-4a15-980f-45eb29114cab.h5ad,15502
28,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/01e21c00-81c0-40ce-a6ee-553dad5fd863.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,10eed666-34e0-4b98-9384-179993873aa8,01e21c00-81c0-40ce-a6ee-553dad5fd863,Spatial transcriptomics in mouse: Puck_200104_03,10eed666-34e0-4b98-9384-179993873aa8.h5ad,16027
29,Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/f394dd68-701c-4cc9-b6a3-6d7a18ffd221.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49,939769a8-d8d2-4d01-abfc-55699893fd49,Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration,10.1016/j.celrep.2019.12.082,Orozco et al. (2020) Cell Reports,de17ac25-550a-4018-be75-bbb485a0636e,f394dd68-701c-4cc9-b6a3-6d7a18ffd221,Myeloid cells of human eye,de17ac25-550a-4018-be75-bbb485a0636e.h5ad,395
30,Publication: https://doi.org/10.1101/2024.10.23.619925 Dataset Version: https://datasets.cellxgene.cziscience.com/77ab5a70-e848-49e8-9a64-ee81e6f9e772.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bdac7a53-fe34-4f04-8c46-f9bd5297c099,bdac7a53-fe34-4f04-8c46-f9bd5297c099,Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer,10.1101/2024.10.23.619925,Apostolov et al. (2024) bioRxiv,04557650-a691-4306-a56c-232fbfeb236c,77ab5a70-e848-49e8-9a64-ee81e6f9e772,Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- Cycling subset,04557650-a691-4306-a56c-232fbfeb236c.h5ad,268
31,Publication: https://doi.org/10.1038/s41588-023-01435-6 Dataset Version: https://datasets.cellxgene.cziscience.com/263a81f8-bff0-4f8a-854b-4586472c7e06.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/d74b6979-efba-47cd-990a-9d80ccf29055,d74b6979-efba-47cd-990a-9d80ccf29055,Spatial transcriptomic maps of whole mouse embryos reveal principles of neural tube patterning,10.1038/s41588-023-01435-6,Sampath Kumar et al. (2023) Nat Genet,e545cafe-80f4-494e-bbb1-e95c86955756,263a81f8-bff0-4f8a-854b-4586472c7e06,E9.0: Puck_220718_10,e545cafe-80f4-494e-bbb1-e95c86955756.h5ad,1336
32,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/2273a60c-7a4f-42a2-9e04-dc2da182f4e6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,9098fb44-ac81-4ac6-be8e-464f10ec7128,2273a60c-7a4f-42a2-9e04-dc2da182f4e6,Spatial transcriptomics in mouse: Puck_191223_10,9098fb44-ac81-4ac6-be8e-464f10ec7128.h5ad,14961
33,Publication: https://doi.org/10.1016/j.immuni.2022.09.002 Dataset Version: https://datasets.cellxgene.cziscience.com/243d1f06-6875-4e55-95d1-2e66f0ef9f96.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,02b01703-bf1b-48de-b99a-23bef8cccc81,Spatially mapping T cell receptors and transcriptomes,10.1016/j.immuni.2022.09.002,Liu et al. (2022) Immunity,76bb43ff-e2f5-4513-a0f0-1059c860c3b7,243d1f06-6875-4e55-95d1-2e66f0ef9f96,"Cutaneous melanoma, lymph node metastasis Puck_220408_08",76bb43ff-e2f5-4513-a0f0-1059c860c3b7.h5ad,19034
34,Publication: https://doi.org/10.1101/2024.10.23.619925 Dataset Version: https://datasets.cellxgene.cziscience.com/a1d93898-7c7d-4ef8-aa35-af9bf863c564.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bdac7a53-fe34-4f04-8c46-f9bd5297c099,bdac7a53-fe34-4f04-8c46-f9bd5297c099,Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer,10.1101/2024.10.23.619925,Apostolov et al. (2024) bioRxiv,182f8181-172b-46c3-9bc3-575bf3bce91b,a1d93898-7c7d-4ef8-aa35-af9bf863c564,Single-cell atlas of 24 hormone therapy naive localised prostate cancers -- B-cells subset,182f8181-172b-46c3-9bc3-575bf3bce91b.h5ad,706
35,Publication: https://doi.org/10.1016/j.isci.2022.104097 Dataset Version: https://datasets.cellxgene.cziscience.com/c19b56a6-fc92-4898-9bdf-ced146a33608.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,8e880741-bf9a-4c8e-9227-934204631d2a,High Resolution Slide-seqV2 Spatial Transcriptomics Enables Discovery of Disease-Specific Cell Neighborhoods and Pathways,10.1016/j.isci.2022.104097,Marshall et al. (2022) iScience,3679ae7d-d70e-4c09-a8bb-78b8ae1006ff,c19b56a6-fc92-4898-9bdf-ced146a33608,Spatial transcriptomics in the healthy human kidney: Puck_200131_25,3679ae7d-d70e-4c09-a8bb-78b8ae1006ff.h5ad,10701
36,Publication: https://doi.org/10.1038/s41586-021-03465-8 Dataset Version: https://datasets.cellxgene.cziscience.com/2349b8a9-a4f0-485c-856c-670528ac86a5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/367d95c0-0eb0-4dae-8276-9407239421ee,367d95c0-0eb0-4dae-8276-9407239421ee,"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",10.1038/s41586-021-03465-8,Bakken et al. (2021) Nature,9b686bb6-1427-4e13-b451-7ee961115cf9,2349b8a9-a4f0-485c-856c-670528ac86a5,Evolution of cellular diversity in primary motor cortex of human - non-neurons,9b686bb6-1427-4e13-b451-7ee961115cf9.h5ad,1705
