soma_joinid,citation,collection_id,collection_name,collection_doi,collection_doi_label,dataset_id,dataset_version_id,dataset_title,dataset_h5ad_path,dataset_total_cell_count
761,Publication: https://doi.org/10.1073/pnas.2313326120 Dataset Version: https://datasets.cellxgene.cziscience.com/7722c688-20b2-4b9d-9848-5edd3949be61.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,34f12de7-c5e5-4813-a136-832677f98ac8,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,10.1073/pnas.2313326120,Ganier et al. (2024) Proc. Natl. Acad. Sci. U.S.A.,18d0fe01-3682-4b5d-aa39-2ca937424c83,7722c688-20b2-4b9d-9848-5edd3949be61,Visium spatial - bcc_face_ear_A,18d0fe01-3682-4b5d-aa39-2ca937424c83.h5ad,4992
762,Publication: https://doi.org/10.1038/s41588-024-02048-3 Dataset Version: https://datasets.cellxgene.cziscience.com/1864abc0-0224-47b4-9383-000f4ed21d30.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/ba84c7ba-8d8c-4720-a76e-3ee37dc89f0b,ba84c7ba-8d8c-4720-a76e-3ee37dc89f0b,Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns,10.1038/s41588-024-02048-3,Lazarescu et al. (2025) Nat Genet,ff995299-bf56-4d11-914d-b77949f02fb1,1864abc0-0224-47b4-9383-000f4ed21d30,snRNA-seq of human subcutaneous adipose tissue - adipocytes SCT normalization,ff995299-bf56-4d11-914d-b77949f02fb1.h5ad,11265
763,Publication: https://doi.org/10.1016/j.ccell.2022.11.001 Dataset Version: https://datasets.cellxgene.cziscience.com/5fad5b02-6239-4f0e-91a4-545816d0ef81.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/f7cecffa-00b4-4560-a29a-8ad626b8ee08,f7cecffa-00b4-4560-a29a-8ad626b8ee08,Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer,10.1016/j.ccell.2022.11.001,Li et al. (2022) Cancer Cell,60ac2657-f325-46c7-817b-55bdab803105,5fad5b02-6239-4f0e-91a4-545816d0ef81,6800STDY12499409,60ac2657-f325-46c7-817b-55bdab803105.h5ad,4992
764,Publication: https://doi.org/10.1126/science.adf2359 Dataset Version: https://datasets.cellxgene.cziscience.com/aa572fad-2d75-4db4-aaa0-b55850ed910d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/35928d1c-36fc-4f93-9a8d-0b921ab41745,35928d1c-36fc-4f93-9a8d-0b921ab41745,HVS: Human variation study,10.1126/science.adf2359,Johansen et al. (2023) Science,6929d6d1-6f81-44d7-bd35-5a580259af81,aa572fad-2d75-4db4-aaa0-b55850ed910d,Chandelier - neocortex: Human variation study (HVS),6929d6d1-6f81-44d7-bd35-5a580259af81.h5ad,1875
765,Publication: https://doi.org/10.1038/s41586-024-07944-6 Dataset Version: https://datasets.cellxgene.cziscience.com/3e8b8b8d-5e5f-4f3c-b8f4-960a7feefd8a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fc19ae6c-d7c1-4dce-b703-62c5d52061b4,fc19ae6c-d7c1-4dce-b703-62c5d52061b4,A spatial human thymus cell atlas mapped to a continuous tissue axis,10.1038/s41586-024-07944-6,Yayon et al. (2024) Nature,a614ec2c-5c14-425e-afb9-6c897aba159f,3e8b8b8d-5e5f-4f3c-b8f4-960a7feefd8a,thymus visium sample WSSS_THYst9142089,a614ec2c-5c14-425e-afb9-6c897aba159f.h5ad,4992
766,Publication: https://doi.org/10.1016/j.ccell.2022.11.001 Dataset Version: https://datasets.cellxgene.cziscience.com/8a3a329b-be1b-408e-b492-49b4b13a9037.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/f7cecffa-00b4-4560-a29a-8ad626b8ee08,f7cecffa-00b4-4560-a29a-8ad626b8ee08,Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer,10.1016/j.ccell.2022.11.001,Li et al. (2022) Cancer Cell,05f813a4-fc9e-4143-bba9-de93bdd8eece,8a3a329b-be1b-408e-b492-49b4b13a9037,6800STDY12499411,05f813a4-fc9e-4143-bba9-de93bdd8eece.h5ad,4992
767,Publication: https://doi.org/10.1038/s41586-020-2797-4 Dataset Version: https://datasets.cellxgene.cziscience.com/6fa831d7-b8ab-41f1-9134-b25ff31263d3.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72,b52eb423-5d0d-4645-b217-e1c6d38b2e72,Cells of the adult human heart,10.1038/s41586-020-2797-4,Litviňuková et al. (2020) Nature,84f1a631-910b-4fbb-9f76-d915a07316d2,6fa831d7-b8ab-41f1-9134-b25ff31263d3,Atrial cardiomyocytes — Cells of the adult human heart,84f1a631-910b-4fbb-9f76-d915a07316d2.h5ad,23483
768,Publication: https://doi.org/10.1038/s41586-022-05060-x Dataset Version: https://datasets.cellxgene.cziscience.com/ca449f39-34e0-4a80-ad3c-7dce54aa05ab.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,8191c283-0816-424b-9b61-c3e1d6258a77,Spatial multi-omic map of human myocardial infarction,10.1038/s41586-022-05060-x,Kuppe et al. (2022) Nature,8fb329fb-2801-494b-b1c9-8c01ca0e91bc,ca449f39-34e0-4a80-ad3c-7dce54aa05ab,GT_IZ_P13 (ACH0010)-Spatial multi-omic map of human myocardial infarction,8fb329fb-2801-494b-b1c9-8c01ca0e91bc.h5ad,4992
769,Publication: https://doi.org/10.1038/s41586-024-07944-6 Dataset Version: https://datasets.cellxgene.cziscience.com/bf781d1f-6b85-4407-a66e-9c96187ba1d3.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fc19ae6c-d7c1-4dce-b703-62c5d52061b4,fc19ae6c-d7c1-4dce-b703-62c5d52061b4,A spatial human thymus cell atlas mapped to a continuous tissue axis,10.1038/s41586-024-07944-6,Yayon et al. (2024) Nature,4cceac62-9513-42a4-90e5-2878dbb0192c,bf781d1f-6b85-4407-a66e-9c96187ba1d3,thymus visium sample WSSS_THYst9518030,4cceac62-9513-42a4-90e5-2878dbb0192c.h5ad,4992
770,Publication: https://doi.org/10.1016/j.ccell.2022.11.001 Dataset Version: https://datasets.cellxgene.cziscience.com/7439ab16-b85a-475d-8613-4c880986f76a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/f7cecffa-00b4-4560-a29a-8ad626b8ee08,f7cecffa-00b4-4560-a29a-8ad626b8ee08,Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer,10.1016/j.ccell.2022.11.001,Li et al. (2022) Cancer Cell,104cfa2a-8f7e-4dcc-a0a3-8fd46711c904,7439ab16-b85a-475d-8613-4c880986f76a,6800STDY12499508,104cfa2a-8f7e-4dcc-a0a3-8fd46711c904.h5ad,4992
