redundancy_cluster,representative,module,collection,n_genes,full_direction,full_consistency,full_median_nes,full_n_fdr_qval_025
RC001,COESSENTIALITY::1019::biological process:positive regulation of G2/M transition of mitotic cell cycle,COESSENTIALITY::1019::biological process:positive regulation of G2/M transition of mitotic cell cycle,COESSENTIALITY,10,positive,0.6666666666666666,0.7941019254598837,2
RC002,COESSENTIALITY::1021::biological process:blood coagulation,COESSENTIALITY::1021::biological process:blood coagulation,COESSENTIALITY,7,positive,0.6666666666666666,1.089542142892029,2
RC003,COESSENTIALITY::1041::,COESSENTIALITY::1041::,COESSENTIALITY,7,negative,0.6666666666666666,-1.2755857893223426,2
RC004,COESSENTIALITY::1056::,COESSENTIALITY::1056::,COESSENTIALITY,12,negative,0.6666666666666666,-1.3607524791593044,2
RC004,COESSENTIALITY::1056::,COESSENTIALITY::1581::biological process:termination of RNA polymerase I transcription,COESSENTIALITY,16,negative,0.6666666666666666,-1.342901494554067,2
RC005,COESSENTIALITY::105::cellular component:anchored component of membrane,COESSENTIALITY::105::cellular component:anchored component of membrane,COESSENTIALITY,98,positive,0.6666666666666666,1.3046362156799172,3
RC006,COESSENTIALITY::228::,COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,COESSENTIALITY,26,positive,0.8333333333333334,0.9293339000269514,2
RC006,COESSENTIALITY::228::,COESSENTIALITY::228::,COESSENTIALITY,31,positive,0.8333333333333334,1.0375010993843308,2
RC007,COESSENTIALITY::1560::biological process:hydrogen peroxide catabolic process,COESSENTIALITY::1089::biological process:hydrogen peroxide catabolic process,COESSENTIALITY,44,positive,0.6666666666666666,1.0762827354961584,3
RC007,COESSENTIALITY::1560::biological process:hydrogen peroxide catabolic process,COESSENTIALITY::1475::biological process:hydrogen peroxide catabolic process,COESSENTIALITY,40,positive,0.6666666666666666,1.0306927946009616,3
RC007,COESSENTIALITY::1560::biological process:hydrogen peroxide catabolic process,COESSENTIALITY::1560::biological process:hydrogen peroxide catabolic process,COESSENTIALITY,39,positive,0.6666666666666666,1.1159045783239483,3
RC008,COESSENTIALITY::281::molecular function:SH2 domain binding,COESSENTIALITY::1105::,COESSENTIALITY,8,positive,0.6666666666666666,1.3333502584887578,2
RC008,COESSENTIALITY::281::molecular function:SH2 domain binding,COESSENTIALITY::174::,COESSENTIALITY,24,positive,0.6666666666666666,0.9411578990871077,2
