Analysis,Exposure,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,Excluded_fraction,Cutoff_log2,Retained_exposure_n
Exclude_top_1pct,mcop_log2,ok,9835,70,9765,0.23963636316864792,0.08064497239242839,1.2707869613480827,1.083071135570987,1.4910373364173632,0.003646887053269407,109,214,105,Newton-IRLS converged,0.01,8.457503975922346,10975
Exclude_top_2.5pct,mcop_log2,ok,9685,67,9618,0.17695421331547947,0.08016639554975694,1.1935764419680013,1.0182312195906813,1.3991171115276528,0.02938624780908234,109,214,105,Newton-IRLS converged,0.025,7.647997908547697,10808
