sample_id,GSE77932|HCT116,GSE77932|DLD1,GSE42387|HCT116,GSE42387|HT29,GSE42387|LoVo,GSE119603|HCT116
ACH-000003,-0.029839834971228694,0.09482488628375742,-0.07700855030982104,0.06705023764239257,0.026031614094719376,0.0029948846189874296
ACH-000007,0.00821119130352188,-0.0356282485210676,0.02109032257960541,-0.06329062456742336,0.023791515524701212,-0.03552886119105572
ACH-000009,-0.13159062002060673,0.09006835404601633,-0.09656892272423627,0.10095990267897209,0.032725956899787814,-0.02175772339276278
ACH-000089,-0.05962115792936238,-0.05617602685619628,0.001348427538310061,-0.04696923659439798,0.06841398250307822,-0.021000277983354153
ACH-000166,0.025909226012939452,0.05294520911531559,-0.15945002077490142,0.0743661229844479,-0.010730516168414648,-0.08055233580675043
ACH-000199,0.49048135989804315,0.18501668663617413,0.10873801874483566,-0.06538069879412439,-0.13224694740838863,-0.09286500740457981
ACH-000202,-0.20193391814355785,-0.04355639692639565,-0.1595335785256765,0.13609425178975687,0.0697702425177474,0.01698791979152674
ACH-000214,0.24608645317185407,0.25417829378070467,0.08261314304873991,0.02837164519175317,-0.05659888183046299,-0.07641334835215527
ACH-000236,0.03520551345120876,0.034560170941558624,0.02126758395457055,0.03523998403249282,0.0027334211245682864,-0.03508855022726638
ACH-000249,-0.046029367056912025,0.08117354129800865,-0.0352726040802807,0.0724017549841769,-0.004157609927114304,0.028982721420312236
ACH-000252,-0.019068131420987747,-0.02069915943735019,-0.01080337457878627,-0.07095362135035659,-0.046303557426016946,-0.0634192198879231
ACH-000253,0.10985244246572172,0.013379919106566591,0.030002523733820466,0.03254051600273269,0.004807065431033691,-0.039706618856898454
ACH-000286,0.038333529204502774,0.03527385628377367,0.006320587920741762,0.00862884732309585,0.03022944649823432,-0.005853096238596385
ACH-000296,0.19029748120360654,0.012166318048465312,-0.07481110736698297,-0.05221499555869295,-0.024754337220241392,0.006265581499222581
ACH-000342,0.045055200775241534,0.030056692130068213,-0.010703877442742827,-0.07519852639083754,-0.035543528271893755,-0.016894084185258958
ACH-000350,0.151552666356161,-0.07639385271298095,0.001263568085469622,-0.03330499232068117,-0.10640334759061237,0.00847954622314865
ACH-000360,0.1373163249651492,-0.1410026138972437,0.03613988898984535,-0.21863305999317445,-0.073628371576805,-0.03829962408858989
ACH-000381,-0.013449308972004297,-0.027000199942140864,0.026208752670785505,0.01953485181818023,0.02702990830474307,-0.047446208266069
ACH-000400,-0.03879163568809242,-0.09655594733073541,-0.014769199246803979,-0.03867825185582107,0.012683663519451122,0.013719857368447663
ACH-000403,0.04464955600986327,0.12719598172304591,0.01559065604340923,0.04966264866059378,-0.03324202041145274,-0.0927976532931985
ACH-000412,0.20934888731599477,0.13186341738740062,0.08934729347928869,0.01482273475235591,-0.04786611599592655,-0.1044876530416839
ACH-000421,0.06415313946347911,0.01769579141067663,-0.07980809320515532,0.06003309942796131,-0.007222350099086225,0.026953418617505057
ACH-000467,0.0044438872414296155,-0.08070120978103228,-0.03044467178244681,-0.11331065524800325,0.009968786115591651,-0.01540647311222864
ACH-000470,-0.11815592139492126,0.030245967329812263,-0.018050063043486126,-0.02716754273116426,0.09323312894120696,0.011249655401351413
ACH-000489,0.24085089265141651,-0.09446272039543731,0.0071813981717136766,-0.10936459957201591,-0.0835351209024063,-0.01863528573366259
ACH-000491,9.076537906149469e-05,0.017931003083421916,-0.04925089437977142,0.1059048163675253,0.0850323126384019,0.0131540957116941
ACH-000501,0.18110448637969956,0.02717590265671482,0.06442425705729825,0.04854057001225169,-0.08867114030118414,-0.04605527677554132
ACH-000532,0.08752352969765798,-0.07128536505636132,0.06649495465346228,-0.09495033150923253,-0.06394193383562072,0.08229985007680074
ACH-000552,-0.10366311589794637,-0.06659769567879596,-0.0433939806282572,-0.09480352187906525,0.02225981384535659,-0.03137196563728267
ACH-000565,0.14607149268221742,-0.0512247464284643,0.007210215345905181,-0.11043299399022541,-0.08685794473548429,-0.012695226792098648
ACH-000651,-0.20420515767518904,-0.009723641616446366,-0.12164346468254268,0.15904442088178905,0.06102673048473572,-0.0015814090202710212
ACH-000680,0.005579254997826757,-0.1489264651012074,0.017376592313299334,-0.10812240217821759,-0.0007708533013546359,0.025610266042178764
ACH-000683,0.02774456301085308,0.09158336180523019,-0.07385758320648456,0.056123861341665936,0.01930309762881432,0.045228179258485726
ACH-000708,-0.08370152220913481,-0.06562983794069235,-0.0015541738997112307,-0.04278963578807795,0.061879402873238086,-0.025946313379765797
ACH-000710,0.1665462921944206,-0.15199704482135837,0.021086595376191487,-0.15148140769438312,-0.0062933448145554285,0.0396656487423806
ACH-000722,-0.1658854164779511,-0.06736386521055542,-0.004351150427907548,-0.0560274084110958,0.08122433870119951,-0.028772075202690955
ACH-000798,0.12656922124706566,0.0035618064152280623,0.10228460131364957,-0.10036693629725836,0.009400348764097358,-0.004335943238987964
ACH-000820,-0.012696587974366508,0.010011846681787383,-0.01398815489377964,-0.1004703385742305,0.04450311061014499,0.010897065362099527
ACH-000842,-0.04175586933368552,0.07292827123254841,-0.0010936852081476556,0.1288420560488097,0.013575467915516108,0.07573567800787791
ACH-000850,0.2854517454266362,0.17266244238622339,0.09453544541696758,0.0673491529274669,-0.07729918232503638,-0.10809348019290291
ACH-000895,-0.03843067289524956,-0.04716191489128077,-0.002103119496784113,-0.05814060516220461,-0.01869498693485186,-0.028802262801020162
ACH-000926,0.040660030859690194,-0.08422520600529274,0.0396389368899901,-0.11193487058693548,-0.00524077774386001,0.015780877921660448
ACH-000935,0.0030594417500529798,0.13627325976808838,0.05430623877960032,0.17833999120684496,0.050513734799771906,-0.09080111755766893
ACH-000943,-0.2817330565216029,0.004305151235557451,-0.05194227978921866,0.16924506765338035,0.09774822621505645,-0.047870386189692
ACH-000950,-0.09491548826543372,-0.08184307001828597,-0.06113218379435323,0.05695158456507579,-0.03728032409502939,0.04555926741860875
ACH-000955,-0.07128413715611082,-0.028192488096421702,-0.04402310500860924,0.012910607738399643,-0.007912939394687405,-0.04807926262589701
ACH-000957,-0.10721642194295253,-0.06377195982918611,-0.00458432832397766,-0.016801129348590134,0.06844000097487879,-0.016638233125642114
ACH-000958,-0.14383275284619004,0.03773437544066766,-0.09867987963572306,0.09986834238529602,-0.09253731562672533,-0.015942305103923617
ACH-000959,-0.13054637839975533,-0.0976944033495744,-0.02358347760673778,0.026076256770479814,0.05203392582668236,0.007948782419239535
ACH-000963,-0.19991972163133906,-0.041665364451612244,-0.11088727882253288,0.04533030498744938,0.08726133629681206,-0.02515441938011203
ACH-000967,0.1570632790581425,0.0037145224492778754,0.02063772637211039,0.07833184502712011,-0.018153255502083743,-0.06518984503059277
ACH-000969,-0.1344031967886311,-0.15123860966901934,0.022843574009139864,-0.04020094358303089,-0.032967306805884763,-0.009095369405994003
ACH-000970,-0.007178033233270605,-0.0046549720725241805,-0.02865379466991756,0.11248870994585024,-0.000606227363872895,-0.01873264076034915
ACH-000971,-0.3610079431259277,0.08697684673223444,-0.14399534216610665,0.25486264680556037,0.1386746396371457,0.04312798356069886
ACH-000982,-0.16220035430745058,-0.02574690390013557,-0.08989175799795818,0.05966416397656513,0.0809210004283521,0.00872724440231569
ACH-000985,-0.09453784566225074,-0.06486784641788196,-0.06807276634027316,0.006663800784417374,0.024282532988204323,0.03851228947854242
ACH-000986,-0.1256278237634143,-0.0022044176094959877,0.012214619276908955,-0.012366898728145306,0.0874792295742669,0.0013803840644680372
ACH-000989,-0.006724815877064781,-0.07759047225301324,-0.007842498339755772,-0.0018164177386755115,-0.049953804199681505,-0.018801063662834315
ACH-000991,0.02067648559887112,-0.030796277694847496,0.018657152246595133,-0.09545168368333075,-0.09901505770734656,-0.06950018170524735
ACH-000997,-0.2822854423240597,0.0905319118481527,-0.0768167942541671,0.18619387013608196,0.05725364994426067,-0.026002329561990837
ACH-000998,-0.11099547698692624,0.003665085746886029,-0.01345495710105884,0.03674158032098219,0.05851692200877448,-0.02240859969303623
ACH-000999,-0.14079939716314,0.053731504376870215,-0.0832382396856699,0.04657173032607312,0.059934004222798085,0.0018420853236346788
ACH-001061,-0.09087950439775126,0.05872358250990961,0.03397538606721723,0.06693650298108937,-0.007756192243502096,0.03425677002597616
ACH-001345,-0.2086217060765422,0.06189694136625349,-0.008840452470014951,0.07494209633459283,0.1113229175303553,0.07473494484607698
ACH-001399,0.022987877443083324,0.12054269575852691,0.045701422106798804,0.09411753674810791,-0.035575961039056074,-0.010314164120595114
ACH-001454,0.18295931509195612,0.03949677677716953,0.12455744712433213,0.03034705606874921,-0.050573383298864946,0.014833958607258474
ACH-001456,0.018124552209572604,-0.09150529719427636,0.038891359860213755,-0.10164495778725205,-0.002324900008463605,0.07665679778903978
ACH-001458,0.01779654888252262,-0.07129707303644263,0.07541262380665228,-0.11917991632855288,-0.006808912508225873,0.09391779096979305
ACH-001459,0.06600570780977448,-0.11526176173750445,0.07985599821882887,-0.11321554494147772,0.008757056436573818,0.11904737274423138
ACH-001460,-0.05452383799829461,-0.06294879330431058,0.03443572650664416,-0.061839838409051696,0.07601956724093675,0.11986347672308664
ACH-001461,-0.09343395154465427,-0.058838953938205436,0.0481504434363486,-0.05109830870963435,0.051881097845865476,0.11257387269260583
ACH-001786,0.0002739958535304537,0.03678121104833906,0.0669910714314714,-0.044619372108035786,-0.03433016841354714,0.04334025148411036
ACH-002024,0.24737349735533254,0.03858341392047559,0.055360231566565166,-0.008477856137952305,0.004219471125811024,0.03578106308414048
ACH-002025,0.046895566391384175,0.03731350197855688,0.05117068748901546,-0.04556894820339881,-0.019486206914618134,0.04753905354736799
