drug,role,drug_line,signature_id,cell_line,pert_time,pert_dose,persistent_id,data_level,tissue,disease
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B007_HT29_24H_B12_teriflunomide_0.01uM,HT29,24 h,0.01uM,L1000_LINCS_DCIC_REP.B007_HT29_24H_B12_teriflunomide_0.01uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_CPC006_HT29_24H_M24_bortezomib_0.04uM,HT29,24 h,0.04uM,L1000_LINCS_DCIC_CPC006_HT29_24H_M24_bortezomib_0.04uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_C21_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA013_HT29_24H_C21_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_C24_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA013_HT29_24H_C24_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_G15_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA013_HT29_24H_G15_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_G18_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA013_HT29_24H_G18_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_K09_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA013_HT29_24H_K09_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_K12_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA013_HT29_24H_K12_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_O03_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA013_HT29_24H_O03_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_O06_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA013_HT29_24H_O06_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA017_HT29_24H_C21_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA017_HT29_24H_C21_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA017_HT29_24H_G15_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA017_HT29_24H_G15_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA017_HT29_24H_K09_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA017_HT29_24H_K09_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA017_HT29_24H_K12_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA017_HT29_24H_K12_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA017_HT29_24H_O03_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA017_HT29_24H_O03_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_C21_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA018_HT29_24H_C21_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_C24_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA018_HT29_24H_C24_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_G15_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA018_HT29_24H_G15_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_G18_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA018_HT29_24H_G18_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_K09_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA018_HT29_24H_K09_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_K12_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA018_HT29_24H_K12_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_O03_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA018_HT29_24H_O03_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA018_HT29_24H_O06_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA018_HT29_24H_O06_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA019_HT29_24H_C21_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA019_HT29_24H_C21_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA021_HT29_24H_O03_bortezomib_10uM,HT29,24 h,10uM,L1000_LINCS_DCIC_PBIOA021_HT29_24H_O03_bortezomib_10uM.tsv,5,intestine,colon adenocarcinoma
