cohort,patient,sample,side,n_epithelial_cells,selected_cells_total_UMI,SLC7A11_UMI,SLC7A11_log2_CPM_plus1,MBOAT2_UMI,MBOAT2_log2_CPM_plus1,MBOAT1_UMI,MBOAT1_log2_CPM_plus1,PLA2G4A_UMI,PLA2G4A_log2_CPM_plus1,PTGS2_UMI,PTGS2_log2_CPM_plus1,PTGES_UMI,PTGES_log2_CPM_plus1,ALOX5_UMI,ALOX5_log2_CPM_plus1,ALOX5AP_UMI,ALOX5AP_log2_CPM_plus1,SLC7A11_z,MBOAT2_z,MBOAT1_z,PLA2G4A_z,PTGS2_z,PTGES_z,ALOX5_z,ALOX5AP_z,AA_proxy_core,AA_proxy_expanded
GSE132465,SMC04,SMC04-T,Left,307,6586600,112,4.170263248967421,88,3.844029968758852,2,0.38255304768842796,0,0.0,31,2.512612574356566,35,2.6585128952854955,16,1.7778612717418365,34,2.6233976444317344,0.3198243538785398,-0.17599559779980908,-0.4840058089520368,-0.8251731287204489,0.05573992357210146,0.1457983876667789,-0.5435203063551501,-0.23093741756198685,-0.20787827249385618,-0.27961850827974116
GSE132465,SMC08,SMC08-T,Left,320,6089548,69,3.6242050551031055,6,0.9893532541958364,0,0.0,0,0.0,10,1.4017167449309973,38,2.856029634320645,3,0.5778734073800361,23,2.2560938272922373,-0.2965612345747575,-2.5856341337112547,-1.4375261667882988,-0.8251731287204489,-0.5370959386317817,0.2859655809130049,-1.4743102948138866,-0.6630630075921888,-0.3587678288130753,-0.6427353577690602
GSE132465,SMC09,SMC09-T,Left,1887,36648007,416,3.6265829536087417,303,3.2122337400630747,10,0.3480807008321207,1,0.038838750386808625,28,0.8188711510887813,56,1.338025198482215,142,2.285313170639142,241,2.921450391435367,-0.2938770840828358,-0.7092961049088635,-0.5699287540403034,-0.7893876664085496,-0.848134796645908,-0.7912819584407557,-0.14990703646663286,0.11971567437185522,-0.8096014738317378,-0.4917991567179983
GSE132465,SMC11,SMC11-T,Left,326,10033830,135,3.853445151248216,159,4.074367707304118,4,0.48403639112290714,10,0.9975658567892912,3,0.37738868284802213,36,2.1978220790261567,14,1.2601941725031072,37,2.2288264164196767,-0.03779707143758721,0.018432965071041214,-0.23105674860400183,0.0939696092986259,-1.0837344206383255,-0.18112954251686514,-0.9450571615483859,-0.6951425707823153,-0.3902981179521883,-0.5622188172374532
GSE132465,SMC14,SMC14-T,Left,166,2568912,21,3.197655786108035,114,5.503881803849099,2,0.8306931851489777,0,0.0,34,3.8313883285854407,55,4.4860605712886645,19,3.0697240289085888,42,4.116808367234829,-0.778046221208216,1.2250887790519636,0.6329915507976632,-0.8251731287204489,0.7595120870846063,1.4427124088295207,0.45853392814581584,1.5260304102556743,0.45901712239789266,0.6723231411190336
GSE132465,SMC15,SMC15-T,Left,319,4944209,44,3.3073265377912504,46,3.3651065249209,2,0.4900706395895529,1,0.26574511264870354,5,1.0081168885336744,142,4.893384964304143,4,0.8552141704694345,57,3.64715778015152,-0.654250860984812,-0.5802558701228016,-0.2160162756762442,-0.5803194292952594,-0.7471427351449065,1.7317690082276214,-1.2591864478636425,0.9734958936477819,0.13476894792915184,0.023723257914318972
GSE132465,SMC18,SMC18-T,Left,1516,41041373,298,3.046310434397328,493,3.7018006131766352,26,0.7079726998375021,7,0.22719838744387272,5,0.16585186098796628,173,2.3827387876101223,87,1.6414591513853432,53,1.1962166066909734,-0.9488834959201036,-0.2960516918578097,0.3271085320239046,-0.6158358238323277,-1.1966222458092255,-0.04990392511776323,-0.6493228163662749,-1.9099873463554566,-0.6207873315864388,-0.8843344314962096
GSE132465,SMC21,SMC21-T,Left,1727,34523224,256,3.0730143911296572,779,4.55854442769275,8,0.3006837834723256,3,0.12021659079252665,10,0.3669908654663044,468,3.8635511676320724,97,1.9296784649999918,91,1.862315208747545,-0.918740309224185,0.42712753902676903,-0.6880664237682831,-0.7144073024200195,-1.0892832748776258,1.0009503773877257,-0.42576084581614687,-1.1263356716366189,-0.26758006663663986,-0.4709673434725371
GSE132465,SMC22,SMC22-T,Left,1902,45030035,838,4.293503005770145,435,3.4141651725056015,5,0.15190686258332378,0,0.0,31,0.7556818561808427,6,0.18045903219698733,68,1.3277466807823528,55,1.1514737442551732,0.45893628530129815,-0.5388453639394801,-1.058895577270148,-0.8251731287204489,-0.8818561223872906,-1.6127455028349378,-0.8926589663091047,-1.9626264285743253,-1.106591584647559,-1.2350120297652214
GSE132465,SMC25,SMC25-T,Left,416,10083173,42,2.36886764130145,52,2.622252592463401,6,0.6736023580478574,0,0.0,11,1.06414230627871,22,1.6698671287875544,47,2.5011158286105895,65,2.8965399180231435,-1.7135748408312372,-1.2073004153321725,0.2414398364005237,-0.8251731287204489,-0.717244453096818,-0.5557912744636785,0.01748378429757306,0.09040900093453426,-0.6994029520936484,-0.39806321420976765
GSE132465,SMC03,SMC03-T,Right,796,16778683,503,4.953196083007143,994,5.912693853964725,4,0.3084747363120008,118,3.00589094893541,1505,6.502985268703506,115,2.973415628951797,230,3.878516393706704,55,2.096925973185319,1.2035919102516521,1.5701678785094186,-0.6686473335676922,1.9444112733395584,2.1852249518769096,0.36926821882733946,1.0858868024986978,-0.8503208025300268,1.4996348146812692,0.9468940888024957
GSE132465,SMC05,SMC05-T,Right,13,91555,4,5.481866758394102,1,3.575602338160131,0,0.0,0,0.0,1,3.575602338160131,0,0.0,1,3.575602338160131,1,3.575602338160131,1.8003506238977733,-0.40257591755874644,-1.4375261667882988,-0.8251731287204489,0.6230104420546907,-1.7408077428382052,0.8509266177837173,0.8893123481806858,-0.6476568098346545,-0.04054629270791203
GSE132465,SMC06,SMC06-T,Right,189,4455341,16,2.1988698266772766,26,2.773087496824884,2,0.5349574511232469,39,3.285925745255978,32,3.032522435294783,33,3.0715636954529213,15,2.1265585059678744,35,3.1466128474012165,-1.9054668482771184,-1.0799803597000293,-0.1041350899051252,2.202431280418718,0.3331927706468685,0.43891871564704626,-0.27304765887261684,0.3846147976497913,0.9915142555708775,0.6172219810979613
GSE132465,SMC07,SMC07-T,Right,542,12634066,169,3.8456438906171755,156,3.7385050874729773,8,0.707709122353262,0,0.0,3,0.3073740193589113,10,0.8411767607191555,7,0.6360399561355398,80,2.874223825447813,-0.04660306442289943,-0.265069368972125,0.3264515603996845,-0.8251731287204489,-1.1210981430477838,-1.1438690420986477,-1.42919247083188,0.06415456463059328,-1.03004677128896,-0.8910356440136334
GSE132465,SMC10,SMC10-T,Right,511,8044234,137,4.172394085393211,92,3.6365391613597255,1,0.16904327014845574,9,1.0832568093491206,41,2.6080565784483967,22,1.901061185610574,51,2.875769225102351,96,3.6930981556880718,0.322229622912072,-0.35113901870127184,-1.0161827729355166,0.17292401238215147,0.10667415787130619,-0.3917250682353328,0.30808974870210293,1.0275438260639105,-0.03737563266062505,0.24470133535682764
GSE132465,SMC16,SMC16-T,Right,2720,50180992,1512,4.960276810609629,1836,5.2321833180507005,82,1.397301832165269,141,1.9297261958042118,2085,5.411073566273672,563,3.6111000796065547,860,4.1809405617519175,138,1.90690801406766,1.2115845720209952,0.9957475236345954,2.0452738032086337,0.952848650159721,1.6025200767535377,0.8217991793001768,1.3204669980527224,-1.0738731286112675,1.1257226354044785,0.7247523551309781
GSE132465,SMC17,SMC17-T,Right,505,8623979,311,5.211878171704803,299,5.156670489149925,3,0.4306784315553762,11,1.1861920250104008,194,4.554307440923791,44,2.6092947674249403,126,3.9644379280306263,63,3.054017098252029,1.4955899303451934,0.9320069881313136,-0.3640524233415944,0.26776702983064987,1.1453019729719103,0.11087088292592641,1.1525332297809059,0.27567775189024574,0.5079799619094955,0.5904301734799275
GSE132465,SMC19,SMC19-T,Right,382,5063411,64,3.769740091280006,136,4.800090426882503,6,1.1276147581438065,22,2.418162185697518,8,1.3673501510798578,18,2.187424399952103,97,4.333212359468822,105,4.4420815417432,-0.13228259189082286,0.6310170179557198,1.3730739164776353,1.4028864998336577,-0.5554358664243687,-0.1885082259601239,1.4385790798902234,1.9087077903876757,0.21964746914972166,0.8012458555454127
GSE132465,SMC20,SMC20-T,Right,524,10192330,228,4.546571158788064,820,6.347889804070971,18,1.4678188226490747,18,1.4678188226490747,560,5.805892833719635,302,4.936879294219576,288,4.87068735046764,75,3.0632396541696942,0.7445973451836793,1.9375176826742424,2.221038671390832,0.5272538838758468,1.813217618891277,1.7626346360025242,1.8554802465822007,0.2865279043567909,1.3677020462565495,1.249022857941728
GSE132465,SMC23,SMC23-T,Right,639,6660762,65,3.4274242463577886,107,4.092903249405622,7,1.0362788216113101,2,0.3788067302409211,24,2.202634414106045,10,1.3226952475310245,32,2.5371109351383243,70,3.5247292003730752,-0.5186856454117035,0.034078854605201755,1.1454174504998569,-0.4761460917142732,-0.10968168035228663,-0.8021608146223995,0.04540397064657416,0.8294611196959839,-0.4626628622296531,-0.10262469926928024
GSE132465,SMC24,SMC24-T,Right,317,5969189,183,4.9844722812472835,57,3.3990392474584743,5,0.8778500258563408,25,2.3752267641044718,54,3.328614623399722,1,0.22345584639954272,88,3.976580958515373,43,3.0362674640565905,1.2388962021264873,-0.5516131886458393,0.7505308251477512,1.3633264239825738,0.4912040467516608,-1.5822329356735836,1.161952167705551,0.2547956624819258,0.09076584502021696,0.3378090730496256
