cohort,patient,sample,side,n_epithelial_cells,selected_cells_total_UMI,SLC7A11_UMI,SLC7A11_log2_CPM_plus1,MBOAT2_UMI,MBOAT2_log2_CPM_plus1,MBOAT1_UMI,MBOAT1_log2_CPM_plus1,PLA2G4A_UMI,PLA2G4A_log2_CPM_plus1,PTGS2_UMI,PTGS2_log2_CPM_plus1,PTGES_UMI,PTGES_log2_CPM_plus1,ALOX5_UMI,ALOX5_log2_CPM_plus1,ALOX5AP_UMI,ALOX5AP_log2_CPM_plus1,SLC7A11_z,MBOAT2_z,MBOAT1_z,PLA2G4A_z,PTGS2_z,PTGES_z,ALOX5_z,ALOX5AP_z,AA_proxy_core,AA_proxy_expanded
GSE200997,Patient 10,T_cac10,Left,50,188804,0,0.0,8,5.438691522144534,5,4.7804408060052594,2,3.535181536776626,0,0.0,2,3.535181536776626,18,6.590017541902864,18,6.590017541902864,-1.663651826299397,0.9200020646894562,1.0508779065930716,1.3192740373560738,-0.5773998690929961,0.748987800862942,1.6799231475801424,1.9576479208096462,0.4969539897086732,1.0256866075031617
GSE200997,Patient 14,T_cac14,Left,945,2428269,63,4.751913947456192,28,3.6474121091577194,35,3.9461281721959023,3,1.160563965806379,1,0.49755206528490264,19,3.141515157017924,49,4.40456144035813,124,5.702247021811019,1.2203019240418864,-0.21865083686928738,0.4200324596727559,-0.22804805742196443,-0.044271696198976765,0.5132433911032679,0.6980486614404087,1.52939750346538,0.08030787916077557,0.493673960477623
GSE200997,Patient 15,T_cac15,Left,52,126008,0,0.0,3,4.632734234835518,4,5.033159382882415,0,0.0,0,0.0,4,5.033159382882415,8,6.010959549278064,0,0.0,-1.663651826299397,0.4076835525280149,1.2419649848831562,-0.9842819405738105,-0.5773998690929961,1.64604155328075,1.419765888620922,-1.2213017049719845,0.028119914537981128,0.05656478545257615
GSE200997,Patient 16,T_cac16,Left,77,321353,2,2.8527350790636725,2,2.8527350790636725,2,2.8527350790636725,0,0.0,0,0.0,2,2.8527350790636725,4,3.7492522398475185,3,3.369540217616295,0.06768340429752931,-0.7237988889031618,-0.406710450053097,-0.9842819405738105,-0.5773998690929961,0.34030942333744957,0.4036335120996359,0.4041262314086684,-0.4071241287764524,-0.08272252856421056
GSE200997,Patient 2,T_cac2,Left,1010,3289358,49,3.990639418385088,188,5.861806770617359,45,3.875827344477302,6,1.497772859835339,17,2.624845277026577,3,0.9351067247354469,47,3.934375197175872,8,1.7790855069325755,0.7582816607479363,1.1889614475051158,0.36687617834147923,-0.008319719408578525,2.235127832644868,-0.8080491558397198,0.4868049418396187,-0.3630910597748588,0.4729196524655232,0.30849456789226587
GSE200997,Patient 4,T_cac4,Left,47,94972,1,3.527247932909928,4,5.430207541638329,2,4.463284916339991,0,0.0,0,0.0,0,0.0,0,0.0,1,3.527247932909928,0.47704769330041724,0.9146090986618668,0.8110681028678478,-0.9842819405738105,-0.5773998690929961,-1.3680314002472374,-1.2808181288216791,0.4802026423328808,-0.976571069971348,-0.7460657392805685
GSE200997,Patient 6,T_cac6,Left,50,407838,1,1.7874132237651223,3,3.062788646361088,2,2.5616702216862346,2,2.5616702216862346,0,0.0,19,5.572499399367711,0,0.0,0,0.0,-0.5788642802524995,-0.5902752732394521,-0.6267921467627561,0.684925338108341,-0.5773998690929961,1.9690216206261848,-1.2808181288216791,-1.2213017049719845,0.6921823632138432,-0.08511454883042684
GSE200997,Patient 9,T_cac9,Left,176,1490238,4,1.8813259347478708,12,3.178301139791677,4,1.8813259347478708,0,0.0,0,0.0,6,2.3294688044111838,0,0.0,2,1.2277826612507055,-0.5218683165127939,-0.5168480709518357,-1.1412181285361391,-0.9842819405738105,-0.5773998690929961,0.026955005973420803,-1.2808181288216791,-0.6290332919205226,-0.5115756012311287,-0.6889156448871175
GSE200997,Patient 1,T_cac1,Right,1239,5815251,69,3.685419023473189,88,4.011909104063767,29,2.5818060562396763,51,3.2883648781443373,18,2.033972385727299,11,1.5318569457383204,25,2.4057311740750054,27,2.496453099859789,0.573042299867247,0.0130469975669242,-0.6115669193920747,1.1584460901826745,1.6020061818069553,-0.4506893815290261,-0.19997918693415961,-0.017041079394176997,0.7699209634868679,0.41854852482645344
GSE200997,Patient 11,T_cac11,Right,787,3549369,25,3.007824386427862,75,4.4679652131859475,80,4.556994459513906,17,2.533459621442069,5,1.2682553756271655,11,2.0353221124410523,47,3.832058610326812,50,3.9152351020779212,0.16180766550184264,0.3029457192072787,0.881924321806221,0.6665430581158145,0.7815386588457107,-0.14919272176437445,0.44083648424169086,0.6673632467458586,0.4329629983990502,0.48141774523694
GSE200997,Patient 12,T_cac12,Right,300,1162930,6,2.622785583741531,3,1.8398350400633572,9,3.127480230232709,0,0.0,0,0.0,2,1.4434973677925182,17,3.9651607887831144,7,2.8113228261571095,-0.07187377555804911,-1.3676635813877192,-0.19896850697948276,-0.9842819405738105,-0.5773998690929961,-0.5036029083641472,0.5006361905746097,0.13484850090181197,-0.6884282393436513,-0.2859600053109065
GSE200997,Patient 13,T_cac13,Right,25,142543,4,4.86104757456294,7,5.646968718317307,2,3.909855060676906,2,3.909855060676906,0,0.0,0,0.0,6,5.429366953727938,4,4.86104757456294,1.286535516792727,1.052396504122671,0.39260541815366456,1.5634146640180646,-0.5773998690929961,-1.3680314002472374,1.158469891645819,1.123612442798479,-0.12733886844072295,0.3800131458244258
GSE200997,Patient 3,T_cac3,Right,684,4076634,33,3.185059932262048,122,4.950778675503975,49,3.702626538491543,0,0.0,0,0.0,48,3.6751858595183604,13,2.0665732886139496,1,0.3164938151466457,0.26937255888041683,0.609853142914767,0.23591455145089094,-0.9842819405738105,-0.5773998690929961,0.8328284286777524,-0.3523549195201094,-1.0686286826582816,-0.24295112699635138,-0.429967396633489
GSE200997,Patient 5,T_cac5,Right,1,2740,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1.663651826299397,-2.5371815759391416,-2.563737519966084,-0.9842819405738105,-0.5773998690929961,-1.3680314002472374,-1.2808181288216791,-1.2213017049719845,-0.976571069971348,-1.0863666087415416
GSE200997,Patient 7,T_cac7,Right,938,1951949,56,4.891869917616026,71,5.223959257853106,47,4.648379037074859,18,3.3535424183958837,7,2.197286458139661,6,2.0263931451293633,2,1.0176489699832905,2,1.0176489699832905,1.3052417081979477,0.7835043669986081,0.9510225738725285,1.200916359647284,1.7769975829244014,-0.1545397725588766,-0.823612166749638,-0.7303993983035681,0.941124723337603,0.2538725209919206
GSE200997,Patient 8,T_cac8,Right,300,2486367,15,2.814119417292444,28,3.616053071373274,10,2.3282426091982775,10,2.3282426091982775,0,0.0,11,2.4393905967854326,9,2.2078113969020983,16,2.8943505634461713,0.04424741959358454,-0.23858466690410618,-0.8032928259519869,0.5328218134189637,-0.5773998690929961,0.09278091693609028,-0.2888999295522245,0.1749001385046378,0.016067620420685963,-0.013159385957105762
GSE132465,SMC01,SMC01-T,Left,1093,22967787,433,4.311248143659194,432,4.308080640574234,10,0.5214451913511717,58,1.8177361901592737,33,1.2849848474601477,160,2.9939059109270403,37,1.3845758774297579,93,2.336040354306261,0.4789668376908193,0.21571053680994084,-0.13781464062599472,0.849662680312517,-0.599390578012695,0.3838090892736791,-0.8485784811121234,-0.569007518526362,0.21136039719116706,-0.15670096161299685
GSE132465,SMC02,SMC02-T,Left,352,8162628,56,2.9746276183419007,244,4.949176955244221,2,0.3161679082266348,0,0.0,62,3.103597170972313,68,3.221977644684981,14,1.4410233482429144,67,3.202909895122031,-1.0297984153422135,0.7568612657799935,-0.6494719640829555,-0.8251731287204489,0.37112220659415196,0.5456595478009543,-0.8047940877302403,0.4508471476231003,0.03053620855821911,-0.052467662886496534
