pathway,n_models,n_up,n_down,sign_concordance,median_delta,mean_delta,median_abs_delta,median_n_genes_present
pyrimidine_original_no_prolif_overlap,6,0,6,1.0,-0.20920706580698023,-0.23269920415786938,0.20920706580698023,16.0
pyrimidine_original_matrix,6,0,6,1.0,-0.12845138764217326,-0.14743599269433896,0.12845138764217326,19.0
pyrimidine_catabolism,6,1,5,0.8333333333333334,-0.13607883915717195,-0.13886076987959334,0.13607883915717195,11.5
UPR_total_hallmark,6,1,5,0.8333333333333334,-0.057467791066815155,-0.13031017893257416,0.11068309358722571,106.5
ATF6_proteostasis,6,1,5,0.8333333333333334,-0.09562143309478542,0.007371145076710513,0.10964279086636108,10.0
mesenchymal_state,6,5,1,0.8333333333333334,0.07577202151492599,0.07967247715346366,0.08940866339950092,20.0
EMT_total_hallmark,6,5,1,0.8333333333333334,0.06611990194083137,0.14667622505932196,0.08702289994824969,194.5
pyrimidine_interconversion,6,4,2,0.6666666666666666,0.27469409178471643,0.014576875737096253,0.47630983457103865,17.0
PERK_eIF2A_ATF4,6,2,4,0.6666666666666666,-0.311634420772051,-0.274662680509629,0.4161940398248656,7.0
proliferation_E2F_G2M_MYC,6,4,2,0.6666666666666666,0.11231694344772943,-0.055927111984460404,0.2870116078991407,493.0
cell_cycle_G2M,6,2,4,0.6666666666666666,-0.006000290885948421,0.017071910600592616,0.2676986993346728,189.0
epithelial_state,6,2,4,0.6666666666666666,-0.05723135354671872,0.1409654288212497,0.1842312404931017,14.0
pyrimidine_total_previous,6,4,2,0.6666666666666666,0.1029757598072071,-0.08270294920368947,0.17897600128314334,39.0
pyrimidine_salvage,6,2,4,0.6666666666666666,-0.06181155405608927,-0.10340125713236813,0.10141974637205761,15.5
pyrimidine_de_novo_core,6,3,3,0.5,0.013555343601049957,-0.15937241751818718,0.3667936856525478,4.5
IRE1_XBP1,6,3,3,0.5,0.07984302190772205,0.07938490862811437,0.3149037509768312,11.0
DNA_replication_E2F,6,3,3,0.5,0.06740238970797072,-0.028947641450390648,0.2312056619133283,193.0
