signature_size,scoring_method,trajectory_a,trajectory_b,spearman_rho,p_value,n
250,weighted,GSE42387|LoVo,GSE119603|HCT116,0.07573479152426521,0.579057183019669,56
250,weighted,GSE119603|HCT116,GSE119603|HCT116,1.0,0.0,56
250,rank,GSE77932|HCT116,GSE77932|HCT116,1.0,0.0,56
250,rank,GSE77932|HCT116,GSE77932|DLD1,0.13725222146274776,0.31310904304664583,56
250,rank,GSE77932|HCT116,GSE42387|HCT116,0.5748462064251539,3.595995186334395e-06,56
250,rank,GSE77932|HCT116,GSE42387|HT29,0.22262474367737528,0.09911388451375588,56
250,rank,GSE77932|HCT116,GSE42387|LoVo,-0.49254955570745046,0.0001151844395922677,56
250,rank,GSE77932|HCT116,GSE119603|HCT116,0.0012303485987696515,0.9928195954232919,56
250,rank,GSE77932|DLD1,GSE77932|DLD1,1.0,0.0,56
250,rank,GSE77932|DLD1,GSE42387|HCT116,0.18072453861927545,0.18255763945545855,56
250,rank,GSE77932|DLD1,GSE42387|HT29,0.6179084073820915,3.902138791724677e-07,56
250,rank,GSE77932|DLD1,GSE42387|LoVo,-0.28373205741626795,0.03407941492789498,56
250,rank,GSE77932|DLD1,GSE119603|HCT116,0.026725905673274094,0.8449840107394355,56
250,rank,GSE42387|HCT116,GSE42387|HCT116,1.0,0.0,56
250,rank,GSE42387|HCT116,GSE42387|HT29,0.3356801093643199,0.011432326505933722,56
250,rank,GSE42387|HCT116,GSE42387|LoVo,-0.21380724538619275,0.1135907665173722,56
250,rank,GSE42387|HCT116,GSE119603|HCT116,-0.06295283663704716,0.6448500700215724,56
250,rank,GSE42387|HT29,GSE42387|HT29,1.0,0.0,56
250,rank,GSE42387|HT29,GSE42387|LoVo,-0.4812713602187286,0.00017340419027022774,56
250,rank,GSE42387|HT29,GSE119603|HCT116,-0.031510594668489406,0.8176702464935951,56
250,rank,GSE42387|LoVo,GSE42387|LoVo,1.0,0.0,56
250,rank,GSE42387|LoVo,GSE119603|HCT116,-0.11257689678742311,0.4087597585783605,56
250,rank,GSE119603|HCT116,GSE119603|HCT116,1.0,0.0,56
500,weighted,GSE77932|HCT116,GSE77932|HCT116,1.0,0.0,56
500,weighted,GSE77932|HCT116,GSE77932|DLD1,0.40123034859876966,0.0021788420519111263,56
500,weighted,GSE77932|HCT116,GSE42387|HCT116,0.6639097744360902,2.4382754091376904e-08,56
500,weighted,GSE77932|HCT116,GSE42387|HT29,-0.30157211209842794,0.02390030072424577,56
500,weighted,GSE77932|HCT116,GSE42387|LoVo,-0.4302802460697198,0.0009330959028083203,56
500,weighted,GSE77932|HCT116,GSE119603|HCT116,0.17053998632946002,0.20888046198798188,56
500,weighted,GSE77932|DLD1,GSE77932|DLD1,1.0,0.0,56
500,weighted,GSE77932|DLD1,GSE42387|HCT116,0.45550239234449763,0.0004194003661500605,56
500,weighted,GSE77932|DLD1,GSE42387|HT29,0.19712918660287082,0.1453261358713352,56
500,weighted,GSE77932|DLD1,GSE42387|LoVo,-0.047710184552289814,0.7269566727756016,56
500,weighted,GSE77932|DLD1,GSE119603|HCT116,0.25748462064251537,0.055388038013004036,56
500,weighted,GSE42387|HCT116,GSE42387|HCT116,1.0,0.0,56
500,weighted,GSE42387|HCT116,GSE42387|HT29,-0.0367053998632946,0.7882580200633827,56
500,weighted,GSE42387|HCT116,GSE42387|LoVo,-0.3533151059466849,0.007560697429605747,56
500,weighted,GSE42387|HCT116,GSE119603|HCT116,0.02966507177033493,0.8281819528248248,56
500,weighted,GSE42387|HT29,GSE42387|HT29,1.0,0.0,56
500,weighted,GSE42387|HT29,GSE42387|LoVo,-0.1025974025974026,0.45178590796961604,56
500,weighted,GSE42387|HT29,GSE119603|HCT116,-0.08133971291866031,0.5512080490606165,56
500,weighted,GSE42387|LoVo,GSE42387|LoVo,1.0,0.0,56
500,weighted,GSE42387|LoVo,GSE119603|HCT116,0.17423103212576896,0.19904839981050154,56
500,weighted,GSE119603|HCT116,GSE119603|HCT116,1.0,0.0,56
500,rank,GSE77932|HCT116,GSE77932|HCT116,1.0,0.0,56
500,rank,GSE77932|HCT116,GSE77932|DLD1,0.19617224880382778,0.14732912345219415,56
500,rank,GSE77932|HCT116,GSE42387|HCT116,0.6558441558441559,4.1029798321508606e-08,56
500,rank,GSE77932|HCT116,GSE42387|HT29,0.19596719070403282,0.14776099077918153,56
500,rank,GSE77932|HCT116,GSE42387|LoVo,-0.5742310321257691,3.703514678112915e-06,56
500,rank,GSE77932|HCT116,GSE119603|HCT116,-0.014080656185919343,0.9179641749860564,56
500,rank,GSE77932|DLD1,GSE77932|DLD1,1.0,0.0,56
500,rank,GSE77932|DLD1,GSE42387|HCT116,0.26917293233082706,0.0448490990430481,56
500,rank,GSE77932|DLD1,GSE42387|HT29,0.5823650034176351,2.496415167305511e-06,56
500,rank,GSE77932|DLD1,GSE42387|LoVo,-0.27122351332877653,0.043181841261194176,56
500,rank,GSE77932|DLD1,GSE119603|HCT116,-0.028844839371155163,0.8328635562011248,56
500,rank,GSE42387|HCT116,GSE42387|HCT116,1.0,0.0,56
500,rank,GSE42387|HCT116,GSE42387|HT29,0.21408065618591937,0.11311881423560119,56
500,rank,GSE42387|HCT116,GSE42387|LoVo,-0.3342447026657553,0.011811911511349527,56
500,rank,GSE42387|HCT116,GSE119603|HCT116,-0.14374572795625426,0.29054173567091757,56
500,rank,GSE42387|HT29,GSE42387|HT29,1.0,0.0,56
500,rank,GSE42387|HT29,GSE42387|LoVo,-0.46097060833902936,0.00034973931820874186,56
500,rank,GSE42387|HT29,GSE119603|HCT116,0.05358851674641149,0.6948682916900579,56
500,rank,GSE42387|LoVo,GSE42387|LoVo,1.0,0.0,56
500,rank,GSE42387|LoVo,GSE119603|HCT116,-0.06507177033492823,0.6337359017328406,56
500,rank,GSE119603|HCT116,GSE119603|HCT116,1.0,0.0,56
