cycle,cycle_begin_year,laboratory_title,data_file,data_url,doc_url,local_xpt,variable,flag_variable,weight_variable,matrix,n_measured,n_above_lod,above_lod_pct,selected_primary_biomarker,first_cycle,last_cycle,ChemicalID,ChemicalName
2007-2008,2007,Metals - Urine,UHM_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/UHM_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/UHM_E.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_UHM_E.xpt,URXUMO,URDUMOLC,WTSA2YR,urine,2627,2625,99.92386752950134,True,1999-2000,2017-2018,D008982,Molybdenum
2009-2010,2009,Metals - Urine,UHM_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/UHM_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/UHM_F.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_UHM_F.xpt,URXUMO,URDUMOLC,WTSA2YR,urine,2848,2848,100.0,True,1999-2000,2017-2018,D008982,Molybdenum
2011-2012,2011,Metals - Urine,UHM_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/UHM_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/UHM_G.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_UHM_G.xpt,URXUMO,URDUMOLC,WTSA2YR,urine,2504,2504,100.0,True,1999-2000,2017-2018,D008982,Molybdenum
2013-2014,2013,Metals - Urine,UM_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/UM_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/UM_H.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2013-2014_UM_H.xpt,URXUMO,URDUMOLC,WTSA2YR,urine,2664,2664,100.0,True,1999-2000,2017-2018,D008982,Molybdenum
2015-2016,2015,Metals - Urine,UM_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/UM_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/UM_I.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2015-2016_UM_I.xpt,URXUMO,URDUMOLC,WTSA2YR,urine,3060,3060,100.0,True,1999-2000,2017-2018,D008982,Molybdenum
2017-2018,2017,Metals - Urine,UM_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/UM_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/UM_J.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2017-2018_UM_J.xpt,URXUMO,URDUMOLC,WTSA2YR,urine,2808,2808,100.0,True,1999-2000,2017-2018,D008982,Molybdenum
2003-2004,2003,Environmental Phenols,L24EPH_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L24EPH_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L24EPH_C.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2003-2004_L24EPH_C.xpt,URXBPH,URDBPHLC,WTSC2YR,urine,2517,2353,93.48430671434247,True,2003-2004,2011-2012,C008745,"4,4'-bisphenol F"
2005-2006,2005,Environmental Phenols & Parabens,EPH_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/EPH_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/EPH_D.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_EPH_D.xpt,URXBPH,URDBPHLC,WTSB2YR,urine,2548,2366,92.85714285714286,True,2003-2004,2011-2012,C008745,"4,4'-bisphenol F"
2007-2008,2007,Environmental Phenols,EPH_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/EPH_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/EPH_E.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_EPH_E.xpt,URXBPH,URDBPHLC,WTSB2YR,urine,2604,2438,93.62519201228879,True,2003-2004,2011-2012,C008745,"4,4'-bisphenol F"
2009-2010,2009,Environmental Phenols,EPH_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/EPH_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/EPH_F.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_EPH_F.xpt,URXBPH,URDBPHLC,WTSB2YR,urine,2749,2528,91.96071298654056,True,2003-2004,2011-2012,C008745,"4,4'-bisphenol F"
2011-2012,2011,Environmental Phenols & Parabens,EPH_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/EPH_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/EPH_G.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_EPH_G.xpt,URXBPH,URDBPHLC,WTSA2YR,urine,2489,2233,89.71474487746083,True,2003-2004,2011-2012,C008745,"4,4'-bisphenol F"
1999-2000,1999,Metals - Urine,LAB06HM.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB06HM.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB06HM.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\1999-2000_LAB06HM.xpt,URXUTL,,WTSHM2YR,urine,2413,2413,100.0,True,1999-2000,2017-2018,D013793,Thallium
2001-2002,2001,Metals - Urine,L06HM_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06HM_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06HM_B.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2001-2002_L06HM_B.xpt,URXUTL,,WTSHM2YR,urine,2653,2653,100.0,True,1999-2000,2017-2018,D013793,Thallium
