gene,bulk_stable_right_high,bulk_stable_left_high,bulk_pooled_hedges_g,bulk_meta_fdr,sc_stable_right_high,sc_stable_left_high,sc_pooled_hedges_g,sc_meta_fdr,stable_right_high_bulk_and_sc,stable_left_high_bulk_and_sc
1060P11.3,False,False,0.07989632826251732,0.8582091216559662,,,,,False,False
?|100130426,False,False,0.08193649784098629,0.7691210536003167,,,,,False,False
?|100133144,False,False,0.1621277319260883,0.4784767596261952,,,,,False,False
?|100134869,False,False,0.06346859201860537,0.8262061476562506,,,,,False,False
?|10357,False,False,-0.08632380661651885,0.7539882006562488,,,,,False,False
?|10431,False,False,0.11482565808170121,0.6542303721300277,,,,,False,False
?|155060,False,False,-0.2391819741275284,0.22989722312390165,,,,,False,False
?|26823,False,False,-0.14612362462979075,0.5388601329019627,,,,,False,False
?|280660,False,False,-0.19175521036429713,0.3743659182813185,,,,,False,False
?|340602,False,False,0.04238020039358041,0.8941770071826082,,,,,False,False
?|388795,False,False,-0.12492026227600768,0.6156212294727749,,,,,False,False
?|390284,False,False,-0.1661539467650716,0.46402668705620304,,,,,False,False
?|391343,False,False,-0.0970885946579508,0.717141458697322,,,,,False,False
?|391714,False,False,-0.14020186658322772,0.5606699972689525,,,,,False,False
?|441362,False,False,-0.012132070188542517,0.9722899363693293,,,,,False,False
?|442388,False,False,0.09574732798729836,0.7209667908943563,,,,,False,False
?|553137,False,False,0.23367005258199153,0.2448232661864488,,,,,False,False
?|57714,False,False,0.016823542347025485,0.9612668852254811,,,,,False,False
?|645851,False,False,-0.049747848208237404,0.8725496607742049,,,,,False,False
?|652919,False,False,-0.06980031159331151,0.8076196476489691,,,,,False,False
?|653553,False,False,0.14588890876613303,0.539478002737037,,,,,False,False
?|728603,False,False,0.15657447672407343,0.49966600322536153,,,,,False,False
?|728788,False,False,-0.07729956067474944,0.7843557590152235,,,,,False,False
?|729884,False,False,0.006650721770359487,0.9856426625536772,,,,,False,False
?|8225,False,False,0.06471654712510017,0.8223202957288175,,,,,False,False
?|90288,False,False,0.5200257236066902,0.0012574838561288885,,,,,False,False
A1BG,False,False,0.03242549736285431,0.8681082758854045,False,False,0.1413086882385454,0.9591039226642823,False,False
A1BG-AS1,False,False,0.050149825534053186,0.7682028820532558,False,False,0.02680591552105046,0.9951605419165848,False,False
A1CF,False,False,-0.23051695729942281,0.394632405459155,False,False,-0.4079600638757898,0.9137458562821626,False,False
A2BP1,False,False,-0.20135079522918722,0.3428753045429863,,,,,False,False
A2LD1,False,False,0.1853771075433124,0.3958778292212676,,,,,False,False
A2M,False,False,0.025063608350946044,0.8588863688976841,False,False,0.14528519709293558,0.9566084561240837,False,False
A2M-AS1,False,False,-0.09406822235664025,0.8504904305276656,False,False,0.23264056982806192,0.9170055273050526,False,False
A2ML1,False,False,0.07688649192929016,0.5848130631444515,False,False,0.3292125861569196,0.9137458562821626,False,False
A2MP1,False,False,0.08894060834232237,0.8192128333994783,,,,,False,False
A3GALT2,False,False,-0.09397606307840299,0.8259083586014804,,,,,False,False
A4GALT,False,False,0.03452810489682255,0.7938338114679315,False,False,-0.25009992463306635,0.9137458562821626,False,False
A4GNT,False,False,0.007655118644742283,0.9759693684342713,False,False,0.5021882053209838,0.9137458562821626,False,False
