r3_rank,gene,median_background_vulnerability_rho,n_positive_backgrounds,n_resampling_supported_backgrounds,tier1_flag,tier2_flag,tier3_flag,observed_global_T_median_vulnerability_rho,global_empirical_p_value,n_permutations,permutation_unit,self_line_exclusion,global_empirical_q_value,cross_method_stable_flag,n_models_top500,n_models_direction_ge3of4,median_rank_percentile,leave_HCT116_out_median_vulnerability_rho,leave_HCT116_out_n_positive_backgrounds,adjusted_partial_rho_median,adjusted_partial_rho_min,adjusted_positive_fraction,adjusted_audit_n,final_shortlist_flag,previous_19_reclassified_as_internal_stability
16932,PTPRS,0.0071789321789322,2,0,False,False,False,0.007178932178932201,0.9120879120879121,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.4615301198286613,-0.0659451659451659,1,,,,,False,False
16933,C2CD4C,0.0079004329004329,2,0,False,False,False,0.0079004329004329,0.9150849150849151,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,2,0.4616114514992138,0.0566378066378066,2,,,,,False,False
16934,SMARCAL1,-0.0084054834054834,2,0,False,False,False,-0.008405483405483449,0.9200799200799201,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.4618554465108713,0.0059884559884559,2,,,,,False,False
16935,ITM2C,-0.0076839826839826,1,0,False,False,False,-0.0076839826839826,0.9120879120879121,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,3,0.4632380849102641,-0.0005772005772005,1,,,,,False,False
16936,MS4A13,0.0072150072150072,2,0,False,False,False,0.007215007215007247,0.9200799200799201,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.4641056227294908,0.0717171717171717,2,,,,,False,False
16937,BMP3,-0.0089826839826839,2,0,False,False,False,-0.008982683982683998,0.913086913086913,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.4641056227294908,0.043073593073593,2,,,,,False,False
16938,RBBP8,-0.0077922077922078,2,0,False,False,False,-0.007792207792207802,0.9150849150849151,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.4665184622892154,0.0872294372294372,2,,,,,False,False
16939,IRGQ,0.0083333333333333,2,0,False,False,False,0.008333333333333349,0.9090909090909091,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,2,0.4695277340996584,-0.0363636363636363,1,,,,,False,False
16940,ZNF695,-0.0087662337662338,2,0,False,False,False,-0.0087662337662338,0.9170829170829171,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.4704494930325869,-0.0331168831168831,1,,,,,False,False
16941,PLK5,0.0072871572871572,2,0,False,False,False,0.007287157287157251,0.9170829170829171,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.4718050208751287,0.0251803751803751,2,,,,,False,False
16942,C9ORF40,0.0085497835497835,2,0,False,False,False,0.00854978354978355,0.9100899100899101,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.4742178604348533,0.0797979797979798,2,,,,,False,False
16943,ASPDH,0.0068181818181818,2,0,False,False,False,0.0068181818181818,0.9150849150849151,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.4751396193677818,-0.0341991341991342,1,,,,,False,False
16944,SAMHD1,-0.0059523809523809,1,0,False,False,False,-0.0059523809523809,0.9200799200799201,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,2,0.4780404489508214,-0.0089466089466089,0,,,,,False,False
16945,BBIP1,-0.0081168831168831,2,0,False,False,False,-0.00811688311688315,0.9100899100899101,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.4786368812015399,0.0124819624819624,2,,,,,False,False
16946,GPR52,-0.0089105339105339,2,0,False,False,False,-0.0089105339105339,0.913086913086913,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.4793688662365125,-0.033044733044733,1,,,,,False,False
16947,CSNK1G3,0.0098124098124097,3,0,False,False,False,0.00981240981240975,0.9050949050949051,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,3,0.4808328363064577,0.0087301587301587,2,,,,,False,False
16948,ODF3L1,0.0087301587301587,2,0,False,False,False,0.0087301587301587,0.9120879120879121,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.481619042455132,-0.0103174603174603,1,,,,,False,False
16949,TMEM151A,-0.0085497835497835,2,0,False,False,False,-0.00854978354978355,0.916083916083916,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.4817817057962371,-0.0761183261183261,1,,,,,False,False
16950,SCD5,-0.0075036075036075,2,0,False,False,False,-0.007503607503607502,0.9120879120879121,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,3,0.4818088163530878,0.056060606060606,2,,,,,False,False
16951,UBR5,-0.0090909090909091,2,0,False,False,False,-0.009090909090909101,0.9090909090909091,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.4849807515046359,-0.0544733044733044,1,,,,,False,False
16952,KCTD12,-0.006998556998557,2,0,False,False,False,-0.0069985569985570005,0.9180819180819181,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.4850078620614867,-0.0338383838383838,1,,,,,False,False
16953,SYT2,0.0081890331890332,2,0,False,False,False,0.0081890331890332,0.9120879120879121,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.4859025104375644,-0.0047619047619047,1,,,,,False,False
16954,SYTL1,0.008044733044733,3,0,False,False,False,0.008044733044733,0.9120879120879121,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.4862549476766252,0.0089466089466089,2,,,,,False,False
16955,MAN1A2,0.0074314574314574,3,0,False,False,False,0.0074314574314574,0.9150849150849151,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,2,0.4890744455891124,0.013059163059163,3,,,,,False,False
16956,NDUFA1,0.0075396825396825,2,0,False,False,False,0.007539682539682551,0.913086913086913,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.4919481646153012,0.0349206349206349,2,,,,,False,False
16957,PDZD11,-0.0076479076479076,2,0,False,False,False,-0.007647907647907605,0.9170829170829171,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,2,0.4929512552187822,0.0691919191919192,2,,,,,False,False
16958,ICAM3,-0.0084776334776335,2,0,False,False,False,-0.0084776334776335,0.916083916083916,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.494659220300385,-0.0623376623376623,1,,,,,False,False
16959,DENR,0.008044733044733,2,0,False,False,False,0.00804473304473305,0.9110889110889111,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.4968822859621536,0.0342712842712842,2,,,,,False,False
16960,SLC1A2,-0.0106782106782106,2,0,False,False,False,-0.010678210678210696,0.9050949050949051,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5000271105568508,0.107070707070707,2,,,,,False,False
16961,BEND4,-0.0088744588744588,2,0,False,False,False,-0.008874458874458847,0.9090909090909091,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,2,0.5007319850349726,-0.0653679653679653,1,,,,,False,False
