Analysis,Cycles,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,Sex_group
Female_MCOP_primary,,ok,5065,33,5032,0.1286786405096183,0.09280119271607283,1.1373245753866479,0.946248266252125,1.3669850037366071,0.16839156676385397,109,214,105,Newton-IRLS converged,Female
Male_MCOP_primary,,ok,4871,37,4834,0.3016048030844492,0.10844068582027501,1.352026804292594,1.0905464372751688,1.6762023303592761,0.0063811183063938945,109,214,105,Newton-IRLS converged,Male
