module,tier,drug,n_pairs,n_datasets,n_trajectories,median_rho_state_vs_lnIC50,mean_rho_state_vs_lnIC50,fraction_negative_rho,min_pairwise_p,putative_target,pathway,drug_sensitivity_score,within_module_min_p_BH
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,Sepantronium bromide,10,2,5,-0.13885545464492832,-0.07842761790130211,0.6,0.012292522652096736,BIRC5,Apoptosis regulation,0.083313272786957,0.029812036255906085
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,AZD1332,10,2,5,-0.130668016194332,-0.019514170040485827,0.6,0.0014777527449986198,"NTRK1, NTRK2, NTRK3",RTK signaling,0.0784008097165992,0.010767194214370189
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,Cytarabine,10,2,5,-0.12955182072829133,0.03776121543923403,0.6,0.0003045252237591357,Antimetabolite,Other,0.07773109243697479,0.005590213036149849
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,Navitoclax,10,2,5,-0.09146341463414637,-0.05485707194307965,0.8,0.09421149069504983,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,0.0731707317073171,0.1225941929550775
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,Trametinib,10,2,5,-0.08313019250118095,-0.017397270876089874,0.6,0.29760904586773035,"MEK1, MEK2",ERK MAPK signaling,0.049878115500708566,0.3084093741451883
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,Lestaurtinib,10,2,5,-0.06776999671736514,0.017354743407374994,0.6,0.0008273874732842825,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",0.04066199803041908,0.008505543225362424
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,SB505124,10,2,5,-0.06480201441690531,-0.007963858990816636,0.6,0.09779264460860772,"TGFBR1, ACVR1B, ACVR1C",RTK signaling,0.03888120865014318,0.1262950234392572
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,Selumetinib,10,2,5,-0.060462130937098846,-0.02798558309469735,0.6,0.12191667046292802,"MEK1, MEK2",ERK MAPK signaling,0.036277278562259305,0.14849566023209715
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,PD173074,10,2,5,-0.05461757303862566,0.022083378925484176,0.6,0.0031415580453448603,"FGFR1, FGFR2, FGFR3",RTK signaling,0.032770543823175395,0.016500640321369157
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,AZD8186,10,2,5,-0.03942170915855127,-0.0735709596235912,0.6,0.009629740552354117,"PI3Kbeta, PI3Kdelta",PI3K/MTOR signaling,0.02365302549513076,0.026328120446329872
