ChemicalID,ChemicalName,phase1_unfiltered_rank,molecular_level,eligible_permissive,eligible_moderate,eligible_strict,disposition,manual_review_required,manual_review_reason
C027561,butylbenzyl phthalate,1,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C103325,mono-benzyl phthalate,2,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C028007,nickel monoxide,3,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D003300,Copper,4,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C028577,monobutyl phthalate,5,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D012834,Silver,6,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C016599,mono-(2-ethylhexyl)phthalate,7,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C000611729,"ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-propanoate",8,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C074702,chromium hexavalent ion,9,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D015127,"9,10-Dimethyl-1,2-benzanthracene",10,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C581825,monoethyl phthalate,11,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D015032,Zinc,12,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D055549,Volatile Organic Compounds,13,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C017461,lead nitrate,14,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C569492,cobalt ferrite,15,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C517284,monomethyl phthalate,16,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C479069,mono(2-ethyl-5-hydroxyhexyl) phthalate,17,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C043055,gallium arsenide,18,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C494622,CPS 49,19,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C020809,tetrathiomolybdate,20,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C028031,cadmium acetate,21,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C575690,mono-isobutyl phthalate,22,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C576262,"bis(2-ethylhexyl) 2,3,4,5-tetrabromophthalate",23,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C471400,monoisononylphthalate,24,M2,False,False,False,retain_as_molecular_axis_candidate_but_fail_direct_detectability_gate,True,Novelty/collision review remains to be completed; direct analyte detectability is insufficient.
C030935,benz(a)anthracene,25,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D000395,"Air Pollutants, Occupational",26,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C076994,perfluorooctane sulfonic acid,27,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C022838,nickel chloride,28,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C006718,"1,12-benzoperylene",29,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C494620,CPS 11,30,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C026105,butylidenephthalide,31,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C019273,bisphenol A diglycidyl ether,32,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C026487,benzo(e)pyrene,33,M2,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D010575,Pesticides,34,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C047971,"2,4'-bisphenol F",35,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C539348,perfluorobutanesulfonic acid,36,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C027387,di-n-hexyl phthalate,37,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D014873,Water Pollutants,38,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D014874,"Water Pollutants, Chemical",39,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
C080276,mono(2-ethyl-5-oxohexyl)phthalate,40,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
D005411,Flame Retardants,41,M1,False,False,False,manual_review_required,True,"No local human biomarker, detectability, cycle-coverage, or testability audit."
