Quartile,N,CRC_cases,Controls,CRC_pct_unweighted,CRC_prevalence_weighted,MCOP_log2_min,MCOP_log2_max,MCOP_ng_mL_median
Q1,2523,16,2507,0.6341656757827983,0.003832396190537079,-2.8365012677171206,1.765534746362977,2.0
Q2,2447,14,2433,0.5721291377196567,0.005450147486985301,1.7865963618908067,2.963474123974886,5.2
Q3,2479,21,2458,0.8471157724889069,0.008577378016285976,2.967168607532628,4.412781525338476,12.4
Q4,2487,19,2468,0.7639726578206675,0.006500354447276735,4.414135532984451,11.682731294139774,49.2
