drug,role,drug_line,signature_id,cell_line,pert_time,pert_dose,rrs_global,rho_global,n_genes_scored
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A024_HT29_24H_M19_leflunomide_10uM,HT29,24 h,10uM,0.6024694055944055,-0.2049388111888112,65
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A024_HT29_24H_M20_leflunomide_3.33uM,HT29,24 h,3.33uM,0.6013111888111888,-0.20262237762237761,65
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A024_HT29_24H_M21_leflunomide_1.11uM,HT29,24 h,1.11uM,0.3865821678321678,0.22683566433566435,65
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A024_HT29_24H_M22_leflunomide_0.37uM,HT29,24 h,0.37uM,0.5764641608391609,-0.15292832167832168,65
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A024_HT29_24H_M23_leflunomide_0.125uM,HT29,24 h,0.125uM,0.572923951048951,-0.1458479020979021,65
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A024_HT29_24H_M24_leflunomide_0.04uM,HT29,24 h,0.04uM,0.44246066433566433,0.11507867132867133,65
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B024_HT29_24H_M19_leflunomide_2.22uM,HT29,24 h,2.22uM,0.48710664335664333,0.025786713286713288,65
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B024_HT29_24H_M20_leflunomide_0.74uM,HT29,24 h,0.74uM,0.6652097902097902,-0.3304195804195804,65
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B024_HT29_24H_M21_leflunomide_0.25uM,HT29,24 h,0.25uM,0.38441870629370634,0.23116258741258738,65
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B024_HT29_24H_M22_leflunomide_0.08uM,HT29,24 h,0.08uM,0.41350524475524475,0.1729895104895105,65
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B024_HT29_24H_M23_leflunomide_0.03uM,HT29,24 h,0.03uM,0.5567526223776224,-0.11350524475524475,65
leflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B024_HT29_24H_M24_leflunomide_0.01uM,HT29,24 h,0.01uM,0.4017263986013986,0.19654720279720278,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A007_HT29_24H_B07_teriflunomide_10uM,HT29,24 h,10uM,0.4752403846153846,0.04951923076923077,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A007_HT29_24H_B08_teriflunomide_3.33uM,HT29,24 h,3.33uM,0.6834790209790209,-0.36695804195804194,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A007_HT29_24H_B09_teriflunomide_1.11uM,HT29,24 h,1.11uM,0.525590034965035,-0.051180069930069925,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A007_HT29_24H_B10_teriflunomide_0.37uM,HT29,24 h,0.37uM,0.5072770979020979,-0.014554195804195806,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A007_HT29_24H_B11_teriflunomide_0.125uM,HT29,24 h,0.125uM,0.5504152097902097,-0.10083041958041958,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.A007_HT29_24H_B12_teriflunomide_0.04uM,HT29,24 h,0.04uM,0.5381774475524476,-0.0763548951048951,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B007_HT29_24H_B07_teriflunomide_2.22uM,HT29,24 h,2.22uM,0.4188155594405594,0.16236888111888112,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B007_HT29_24H_B08_teriflunomide_0.74uM,HT29,24 h,0.74uM,0.5230113636363636,-0.04602272727272727,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B007_HT29_24H_B09_teriflunomide_0.25uM,HT29,24 h,0.25uM,0.44829545454545455,0.10340909090909091,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B007_HT29_24H_B10_teriflunomide_0.08uM,HT29,24 h,0.08uM,0.41455419580419584,0.17089160839160839,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B007_HT29_24H_B11_teriflunomide_0.03uM,HT29,24 h,0.03uM,0.5312937062937063,-0.06258741258741259,65
teriflunomide,primary,DHODH/pyrimidine,L1000_LINCS_DCIC_REP.B007_HT29_24H_B12_teriflunomide_0.01uM,HT29,24 h,0.01uM,0.5511363636363636,-0.10227272727272727,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_CPC006_HT29_24H_M24_bortezomib_0.04uM,HT29,24 h,0.04uM,0.5154283216783216,-0.03085664335664336,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_C21_bortezomib_10uM,HT29,24 h,10uM,0.509965034965035,-0.01993006993006993,65
bortezomib,mechanistic_positive_control,proteasome/proteostasis,L1000_LINCS_DCIC_PBIOA013_HT29_24H_C24_bortezomib_10uM,HT29,24 h,10uM,0.42025786713286717,0.15948426573426572,65
