ModelID,GSE77932|HCT116__weighted,GSE77932|HCT116__rank,GSE77932|DLD1__weighted,GSE77932|DLD1__rank,GSE42387|HCT116__weighted,GSE42387|HCT116__rank,GSE42387|HT29__weighted,GSE42387|HT29__rank,GSE42387|LoVo__weighted,GSE42387|LoVo__rank,GSE119603|HCT116__weighted,GSE119603|HCT116__rank
ACH-000007,0.032892596639456026,-0.14370482059699013,-0.0015838098790780266,-0.004117180537313301,-0.011577097256207916,0.020161444000568414,-0.12799511540760952,-0.02245743661072421,0.04333248228154693,0.019669993192166675,-0.08465009041829574,-0.0026328764924458117
ACH-000009,-0.19408431969495216,-0.14829898711362396,0.034811562539109074,0.00496091053184726,-0.1035562096546715,0.016514606867730992,0.09982465502265145,0.0040987127852692914,0.00495934621061025,0.014053649465553788,-0.02278391635086769,0.012227295609296708
ACH-000202,-0.24394698569057569,-0.1623407914596724,-0.10402589688041422,-0.007511332389237003,-0.20921597816889823,0.008785455643409533,0.16967273584635437,0.02329923895342497,0.06589744857776815,0.016710131497637698,0.09191023533453425,0.013233848845058025
ACH-000249,-0.08225598462164864,-0.14083058252694208,0.03691884962908908,0.006712045672657217,-0.0008653418042833362,0.023192861553073107,0.12880111890890114,0.017761232160489093,-0.04997047234713163,0.009631506290164108,0.05407669238856947,0.016350487064694382
ACH-000252,-0.03679491208284805,-0.14399028764321642,-0.023033173765048393,-0.0020900588785946073,-0.005146942789006741,0.022839259616876977,-0.08163705908624534,-0.016429354533405473,-0.03974239045433415,0.01107498038764636,-0.12795066357317314,-0.010256032923949126
ACH-000253,0.08325381611564761,-0.12705980129174643,-0.05584912712054092,-0.004044878429528845,0.08488528740665921,0.02417992816301966,0.07576640337427853,0.007427402882723134,0.008500082897230697,0.016187114615662423,-0.08893769810596319,-0.0018462400570280143
ACH-000286,0.11526439284741233,-0.14598764842657835,0.09753125776265409,0.004222963450691131,-0.005122612498309317,0.027078181962768472,0.04851972439040502,0.007454816613949513,0.043562504041156226,0.021158736845535864,0.05163694663000392,0.011877388066796373
ACH-000296,0.15443813625344996,-0.14175140967432162,-0.044877227647118566,0.000745980648687757,-0.07993785510289025,0.022296328221667605,-0.06818167642394006,0.00793329983841085,-0.05632713280139368,0.009692616924409777,0.043138881944849494,0.01164882575998595
ACH-000350,0.10879867081833744,-0.12693572065564962,-0.18778320703560686,-0.00943253419876765,0.06917381187196021,0.026882320688250593,-0.008736388668685945,0.012548461109893222,-0.1488329306476596,0.0019736112992146284,-0.005504228509455982,0.011098336071987916
ACH-000381,0.005080323714888559,-0.1442142149955985,-0.06277304681972666,-0.009798023483730696,0.04878976125076348,0.026488017041345683,0.014200209469351542,-0.00800003995632881,0.025101992560740187,0.01812236289099805,-0.09479111268204303,-0.006324920552039835
ACH-000403,0.03528234624791053,-0.13516762041758115,0.10136320881617131,0.0040115269522006496,0.07028600771719876,0.038392958200221323,0.10921439068879683,0.020756992222554577,-0.08735089019734987,0.00028362804984109063,-0.17690672290023796,-0.010491711639579664
ACH-000421,0.014139386871956532,-0.13632120073664689,-0.10424792236823116,-0.010389624221510413,-0.05726875216105486,0.020258438495657092,0.06542192933780656,0.0066541292436050935,-0.05212558931469004,0.006331469686138326,0.03191211551895048,0.02311324990204475
ACH-000467,0.017258403563634273,-0.1494359850284932,-0.10345331091694848,-0.008298530716794305,-0.024970514404443877,0.017958846907799562,-0.20235155323139625,-0.028516889243216326,0.012971310561244667,0.01803198708931031,-0.02185201562467522,0.0025897826834796233
ACH-000470,-0.11517905872605147,-0.15466796532293564,0.08110817866858301,0.0006739295898886583,-0.0065721494227419025,0.024609127462406902,-0.13361793926672008,-0.03053001552717338,0.17845345731694276,0.03455445154374175,0.0002753777554325879,-0.0005743971006355062
ACH-000489,0.40609945419320537,-0.1382649267441546,-0.031656518052885656,-0.003212719510956574,-0.0732741610769466,0.022224147847996947,-0.14586855053661185,-0.020898746073210794,-0.11171696676419822,0.010807695223519658,-0.10377858440956376,-0.006976615573642087
ACH-000491,-0.04031914526053078,-0.14499336549318503,-0.08761945117512916,-0.013775400166377015,-0.00963618220611587,0.02578683102405085,0.09346987618955988,-0.0004271401293649102,0.14869648170655878,0.02680099639818713,0.014434325647026996,0.00550697249921952
ACH-000501,0.29375832587896156,-0.13226876523388634,0.10397836872739243,0.008753439085816528,0.0674431110034711,0.029376463233983484,0.1630392760300027,0.03540024992503688,-0.13633283590150294,-0.0007823800222854734,-0.07508787974443683,-0.003962862950803565
ACH-000532,0.25024403206093965,-0.14380907404238172,0.0590136851038732,-0.007610816255345735,0.05322087468291955,0.03160850009183513,-0.12716182192402486,-0.018438256830462428,-0.07096164284893695,0.006298234598965127,0.09300874888630523,0.004589307512025335
