drug,n_signatures,multi_context_RRS,DHODH_subtype_RRS,ERAD_subtype_RRS,EMT_subtype_RRS,multi_context_IQR,DHODH_IQR,ERAD_IQR,HT29_global_RRS,n_contexts,context_RRS_SD,context_RRS_min,context_RRS_max,DHODH_subtype_selectivity,ERAD_subtype_selectivity,EMT_subtype_selectivity,role,lead_gate,cross_context_confidence
minocycline,2,0.5494208916083916,0.5933697881066302,0.5490493881118881,0.5195734536695702,0.017733828671328666,0.023226247436773706,0.012882430069930173,,2,0.025079421019793845,0.5316870629370629,0.5671547202797202,0.04394889649823863,-0.00037150349650350023,-0.029847437938821386,approved non-oncology panel,False,insufficient_contexts
atorvastatin,19,0.535118006993007,0.5056049213943951,0.5297202797202797,0.5002424881818651,0.07645323426573425,0.07224196855775805,0.07729458041958048,0.5373142482517483,5,0.0373008288704511,0.472618006993007,0.5546547202797203,-0.029513085598611988,-0.0053977272727273595,-0.034875518811141926,approved non-oncology panel,False,supported
sulfasalazine,14,0.5272290209790209,0.5172043745727957,0.5224431818181818,0.5083509082422695,0.06452141608391604,0.10349965823650031,0.06456512237762235,0.5272290209790209,4,0.025393510229265642,0.49667832167832165,0.557145979020979,-0.010024646406225246,-0.004785839160839078,-0.01887811273675144,approved non-oncology panel,False,supported
topiramate,16,0.5197333916083916,0.4874641148325359,0.5210773601398602,0.48150534030862313,0.0825994318181818,0.06879357484620635,0.07610904720279721,0.565395541958042,4,0.027052929245237684,0.5048186188811189,0.565395541958042,-0.032269276775855726,0.0013439685314685645,-0.03822805129976847,approved non-oncology panel,False,supported
amlodipine,17,0.5202141608391608,0.5016678058783322,0.5196896853146853,0.4955795265051226,0.11322115384615389,0.054682159945317776,0.10815122377622377,0.48238636363636367,5,0.02913585238382777,0.48238636363636367,0.5525677447552448,-0.01854635496082868,-0.0005244755244755428,-0.02463463433403823,approved non-oncology panel,False,supported
teriflunomide,15,0.5104020979020979,0.4623376623376623,0.5175917832167832,0.508540241394707,0.0766280594405595,0.06075871496924129,0.08328234265734269,0.5347355769230769,4,0.022692004317574323,0.48344624125874125,0.5347355769230769,-0.04806443556443557,0.0071896853146853346,-0.0018618565073909021,DHODH comparator,False,supported
ivermectin,15,0.5175262237762238,0.45734791524265206,0.5168706293706293,0.4933338530713988,0.1335882867132867,0.0951264524948735,0.13864729020979016,0.5357845279720279,5,0.08630857066533525,0.38114073426573425,0.5944274475524476,-0.060178308533571756,-0.000655594405594484,-0.024192370704824995,approved non-oncology panel,False,exploratory
allopurinol,16,0.5131555944055943,0.5058714969241285,0.5157561188811188,0.4949938087046676,0.10380791083916086,0.06424470266575533,0.09554742132867133,0.4167832167832168,4,0.05675277875180524,0.4167832167832168,0.5339925699300699,-0.0072840974814658566,0.0026005244755245016,-0.018161785700926747,approved non-oncology panel,False,exploratory
disulfiram,16,0.5098994755244756,0.5151264524948735,0.5140515734265734,0.4936543019630912,0.10348011363636356,0.0941285030758715,0.1043269230769231,0.45446896853146856,4,0.05311758400518745,0.45446896853146856,0.5737980769230768,0.0052269769703979785,0.004152097902097807,-0.016245173561384385,approved non-oncology panel,False,exploratory
doxycycline,17,0.5155594405594406,0.5358304853041695,0.5092657342657343,0.5160573750325258,0.05157342657342656,0.09450444292549554,0.04831730769230763,0.5474431818181817,5,0.02421010295607982,0.4844733391608392,0.5474431818181817,0.02027104474472896,-0.0062937062937062915,0.0004979344730852153,approved non-oncology panel,False,supported
