unit_index,state,state_score,n_genes_present,donor_key,donor_id,group,PPAR_group
0,EMT,0.004456748338975811,199,16023185-de21-4c0d-a9c8-73abdd52d142::C106,C106,normal,PPAR-high
1,EMT,0.07237105566214323,199,16023185-de21-4c0d-a9c8-73abdd52d142::C106,C106,normal,PPAR-low
4,EMT,-0.04192822934621148,199,16023185-de21-4c0d-a9c8-73abdd52d142::C106,C106,tumor,PPAR-high
5,EMT,0.03376530906953946,199,16023185-de21-4c0d-a9c8-73abdd52d142::C106,C106,tumor,PPAR-low
8,EMT,-0.1893775477923623,199,16023185-de21-4c0d-a9c8-73abdd52d142::C107,C107,normal,PPAR-high
9,EMT,-0.10220326552211606,199,16023185-de21-4c0d-a9c8-73abdd52d142::C107,C107,normal,PPAR-low
12,EMT,0.1688783952959235,199,16023185-de21-4c0d-a9c8-73abdd52d142::C107,C107,tumor,PPAR-high
13,EMT,0.4022202766939604,199,16023185-de21-4c0d-a9c8-73abdd52d142::C107,C107,tumor,PPAR-low
16,EMT,0.03499740435226957,199,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,normal,PPAR-high
17,EMT,0.08577830214117112,199,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,normal,PPAR-low
20,EMT,0.14077150471396527,199,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,tumor,PPAR-high
21,EMT,-0.0131101361010379,199,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,tumor,PPAR-low
24,EMT,-0.29699467321553774,199,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,normal,PPAR-high
25,EMT,-0.12502632651855924,199,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,normal,PPAR-low
28,EMT,0.08713620704602483,199,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,tumor,PPAR-high
29,EMT,0.2025590404907619,199,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,tumor,PPAR-low
32,EMT,0.06015081254258026,199,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,normal,PPAR-high
33,EMT,-0.09746076941579858,199,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,normal,PPAR-low
36,EMT,0.12587920908629718,199,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,tumor,PPAR-high
37,EMT,0.10828617445023857,199,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,tumor,PPAR-low
40,EMT,0.03179415304987552,199,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,normal,PPAR-high
41,EMT,0.1700800612812853,199,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,normal,PPAR-low
44,EMT,0.11244618703362247,199,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,tumor,PPAR-high
45,EMT,0.007805714450857669,199,16023185-de21-4c0d-a9c8-73abdd52d142::C112,C112,tumor,PPAR-low
48,EMT,-0.2537757267476137,199,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,normal,PPAR-high
49,EMT,-0.010015435848790269,199,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,normal,PPAR-low
52,EMT,0.10405661267920444,199,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,tumor,PPAR-high
53,EMT,0.3860510779753495,199,16023185-de21-4c0d-a9c8-73abdd52d142::C113,C113,tumor,PPAR-low
56,EMT,-0.17346454095256247,199,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,normal,PPAR-high
57,EMT,-0.14246574087738825,199,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,normal,PPAR-low
60,EMT,0.01454346512998716,199,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,tumor,PPAR-high
61,EMT,0.20396632680673335,199,16023185-de21-4c0d-a9c8-73abdd52d142::C114,C114,tumor,PPAR-low
64,EMT,-0.10446282483690025,199,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,normal,PPAR-high
65,EMT,-0.23023149938848436,199,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,normal,PPAR-low
68,EMT,-0.3047948421904739,199,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,tumor,PPAR-high
69,EMT,-0.19922509153832368,199,16023185-de21-4c0d-a9c8-73abdd52d142::C115,C115,tumor,PPAR-low
72,EMT,-0.18344696062233493,199,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,normal,PPAR-high
73,EMT,-0.032761834112210765,199,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,normal,PPAR-low
76,EMT,0.46072585425870566,199,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,tumor,PPAR-high
77,EMT,-0.008433142727570328,199,16023185-de21-4c0d-a9c8-73abdd52d142::C116,C116,tumor,PPAR-low
80,EMT,-0.5020107059337462,199,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,normal,PPAR-high
81,EMT,-0.7962065130357785,199,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,normal,PPAR-low
83,EMT,-0.5432199266765417,199,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,tumor,PPAR-high
84,EMT,-0.13676601243542175,199,16023185-de21-4c0d-a9c8-73abdd52d142::C119,C119,tumor,PPAR-low
87,EMT,-0.09147880207062176,199,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,normal,PPAR-high
88,EMT,0.0806674185959479,199,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,normal,PPAR-low
91,EMT,0.009471330889894549,199,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,tumor,PPAR-high
92,EMT,0.20361907455072858,199,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,tumor,PPAR-low
95,EMT,-0.12219702147807522,199,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,normal,PPAR-high
96,EMT,-0.08625551096350063,199,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,normal,PPAR-low
99,EMT,0.15231806090881472,199,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,tumor,PPAR-high
100,EMT,0.3073133617887124,199,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,tumor,PPAR-low
103,EMT,0.2455241428214025,199,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,normal,PPAR-high
104,EMT,0.3223996007192489,199,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,normal,PPAR-low
107,EMT,0.23939950705432358,199,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,tumor,PPAR-high
108,EMT,0.25142827297537335,199,16023185-de21-4c0d-a9c8-73abdd52d142::C124,C124,tumor,PPAR-low
111,EMT,0.08635310090704455,199,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,normal,PPAR-high
112,EMT,0.16724493392070736,199,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,normal,PPAR-low
115,EMT,0.14212612147635603,199,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,tumor,PPAR-high
116,EMT,0.15193089265357254,199,16023185-de21-4c0d-a9c8-73abdd52d142::C125,C125,tumor,PPAR-low
119,EMT,0.1150562749771006,199,16023185-de21-4c0d-a9c8-73abdd52d142::C126,C126,normal,PPAR-high
120,EMT,0.01911162279322916,199,16023185-de21-4c0d-a9c8-73abdd52d142::C126,C126,normal,PPAR-low
123,EMT,0.08971147683807965,199,16023185-de21-4c0d-a9c8-73abdd52d142::C126,C126,tumor,PPAR-high
124,EMT,0.3141146176753416,199,16023185-de21-4c0d-a9c8-73abdd52d142::C126,C126,tumor,PPAR-low
127,EMT,-0.17679858116403133,199,16023185-de21-4c0d-a9c8-73abdd52d142::C129,C129,normal,PPAR-high
128,EMT,-0.07307125859255816,199,16023185-de21-4c0d-a9c8-73abdd52d142::C129,C129,normal,PPAR-low
131,EMT,0.2530927810176859,199,16023185-de21-4c0d-a9c8-73abdd52d142::C129,C129,tumor,PPAR-high
132,EMT,0.1950860011436021,199,16023185-de21-4c0d-a9c8-73abdd52d142::C129,C129,tumor,PPAR-low
135,EMT,-0.000762153556508259,199,16023185-de21-4c0d-a9c8-73abdd52d142::C130,C130,normal,PPAR-high
136,EMT,-0.008688015952082465,199,16023185-de21-4c0d-a9c8-73abdd52d142::C130,C130,normal,PPAR-low
139,EMT,0.13590202824598416,199,16023185-de21-4c0d-a9c8-73abdd52d142::C130,C130,tumor,PPAR-high
140,EMT,0.12052895649783262,199,16023185-de21-4c0d-a9c8-73abdd52d142::C130,C130,tumor,PPAR-low
143,EMT,-0.6615633402607601,199,16023185-de21-4c0d-a9c8-73abdd52d142::C132,C132,normal,PPAR-high
144,EMT,-0.07180198194631851,199,16023185-de21-4c0d-a9c8-73abdd52d142::C132,C132,normal,PPAR-low
147,EMT,-0.2666835386782726,199,16023185-de21-4c0d-a9c8-73abdd52d142::C132,C132,tumor,PPAR-high
148,EMT,-0.6423000951445328,199,16023185-de21-4c0d-a9c8-73abdd52d142::C132,C132,tumor,PPAR-low
151,EMT,-0.13128904430760843,199,16023185-de21-4c0d-a9c8-73abdd52d142::C133,C133,normal,PPAR-high
152,EMT,-0.09899987213508238,199,16023185-de21-4c0d-a9c8-73abdd52d142::C133,C133,normal,PPAR-low
155,EMT,0.4281584995934432,199,16023185-de21-4c0d-a9c8-73abdd52d142::C133,C133,tumor,PPAR-high
158,EMT,-0.0036311938940074653,199,16023185-de21-4c0d-a9c8-73abdd52d142::C134,C134,normal,PPAR-high
161,EMT,-0.8439890699169874,199,16023185-de21-4c0d-a9c8-73abdd52d142::C134,C134,tumor,PPAR-high
164,EMT,-0.15703843538959184,199,16023185-de21-4c0d-a9c8-73abdd52d142::C135,C135,normal,PPAR-high
167,EMT,-0.4114340967332413,199,16023185-de21-4c0d-a9c8-73abdd52d142::C135,C135,tumor,PPAR-high
