cohort,compartment,metric,n_right,n_left,right_mean,left_mean,right_minus_left,welch_p,mannwhitney_p,welch_fdr_within_cohort,mannwhitney_fdr_within_cohort
GSE132465,T_B,SLC7A11,11,12,1.0846777602632576,1.048892602959091,0.03578515730416654,0.9043935867976733,0.950912471242483,0.9043935867976733,0.950912471242483
GSE132465,T_B,GCH1,11,12,4.304206152768825,4.658261350250975,-0.3540551974821504,0.02147480330600778,0.015054848142722312,0.07441241396393429,0.06021939257088924
GSE132465,T_B,antioxidant_buffering_score,11,12,-0.29129006241521427,0.267015890547279,-0.5583059529624932,0.01398869994929276,0.015054848142722312,0.07441241396393429,0.06021939257088924
GSE132465,malignant_epithelial,SLC7A11,11,12,4.322939400370589,3.4872541639522034,0.8356852364183855,0.024804137987978096,0.021001057890991107,0.07441241396393429,0.06300317367297333
GSE132465,malignant_epithelial,GCH1,11,12,4.105322571638209,3.916525207719399,0.18879736391880986,0.34747853120470057,0.18575772936738766,0.4633047082729341,0.2786365940510815
GSE132465,malignant_epithelial,antioxidant_buffering_score,11,12,0.12044109432060379,-0.11040433646055343,0.2308454307811572,0.22523653432332708,0.3098652593617933,0.3378548014849906,0.41315367914905776
GSE132465,myeloid,SLC7A11,11,12,4.673683240981694,5.283371748949256,-0.6096885079675625,0.10094729362761971,0.0604981907185908,0.17305250336163377,0.1451956577246179
GSE132465,myeloid,GCH1,11,12,5.761812077762304,6.125745609148548,-0.36393353138624374,0.09272469579219071,0.09054915588749132,0.17305250336163377,0.15522712437855654
GSE132465,myeloid,antioxidant_buffering_score,11,12,-0.30333327169523144,0.2780554990539629,-0.5813887707491943,0.00948915483190878,0.015054848142722312,0.07441241396393429,0.06021939257088924
GSE132465,stromal,SLC7A11,11,12,1.738129666392326,3.0712292869413282,-1.3330996205490022,0.060689535417406494,0.07357421131650788,0.1456548850017756,0.14714842263301575
GSE132465,stromal,GCH1,11,12,3.846572488698965,3.469102158234137,0.37747033046482814,0.391790802787243,0.4790843272053482,0.4701489633446916,0.5749011926464178
GSE132465,stromal,antioxidant_buffering_score,11,12,0.022940742538188893,-0.021029013993339354,0.04396975653152825,0.8569208033118317,0.7349852214121391,0.9043935867976733,0.8018020597223334
GSE200997,T_B,SLC7A11,8,8,0.06759213632283717,0.11614179467109759,-0.048549658348260416,0.6133961361944612,0.4077747606225913,0.9716832492411193,0.9238409566475939
GSE200997,T_B,GCH1,8,8,3.6261371922747982,4.039483786918849,-0.41334659464405066,0.6270884131887696,0.461920478323797,0.9716832492411193,0.9238409566475939
GSE200997,T_B,antioxidant_buffering_score,8,8,-0.05572126846607432,0.05572126846607453,-0.11144253693214885,0.7537354013555364,0.23449883449883446,0.9716832492411193,0.9238409566475939
GSE200997,malignant_epithelial,SLC7A11,8,8,3.1335157294220046,2.348909442040984,0.7846062873810205,0.3588920335133808,0.3706183398171955,0.9716832492411193,0.9238409566475939
GSE200997,malignant_epithelial,GCH1,8,8,3.8129509121645553,3.9763058280966246,-0.1633549159320693,0.8726386303662462,0.8335142129533152,0.9716832492411193,1.0
GSE200997,malignant_epithelial,antioxidant_buffering_score,8,8,0.01206929101967992,-0.012069291019679906,0.024138582039359827,0.9340541609906571,0.959129759129759,0.9716832492411193,1.0
GSE200997,myeloid,SLC7A11,8,8,1.4719009197390283,1.2971514741003543,0.174749445638674,0.8093043876366022,0.8729594252880423,0.9716832492411193,1.0
GSE200997,myeloid,GCH1,8,8,2.68990041730485,4.619897802284973,-1.9299973849801226,0.030718093139309406,0.04042134638061625,0.3686171176717129,0.485056156567395
GSE200997,myeloid,antioxidant_buffering_score,8,8,-0.19112392401537454,0.1911239240153745,-0.38224784803074907,0.25295475794105193,0.32820512820512815,0.9716832492411193,0.9238409566475939
GSE200997,stromal,SLC7A11,7,7,1.6682565400488767,1.0020304499081558,0.6662260901407209,0.539165032279381,0.5514098976942876,0.9716832492411193,0.9452741103330645
GSE200997,stromal,GCH1,7,7,1.0058854726682993,0.9729205046272119,0.032964968041087395,0.9716832492411192,0.9362176694638813,0.9716832492411193,1.0
GSE200997,stromal,antioxidant_buffering_score,7,7,-0.015487106155424363,0.015487106155423045,-0.030974212310847408,0.9254202737742323,1.0,0.9716832492411193,1.0
