ChemicalName,ChemicalID,GeneSymbol,GeneID,GeneForms,Interaction,InteractionActions,PubMedIDs,is_co_treatment,is_single_chemical,evidence_context
diisononyl phthalate,C012125,ABCC4,10257,mRNA,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate co-treated with CGA protein] results in decreased expression of ABCC4 mRNA,affects^cotreatment|decreases^expression,40456493,True,False,co-treatment
diisononyl phthalate,C012125,ABCC4,10257,mRNA,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of ABCC4 mRNA],affects^cotreatment|decreases^reaction|increases^expression,40456493,True,False,co-treatment
diisononyl phthalate,C012125,ADAMTS1,9510,mRNA,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of ADAMTS1 mRNA],affects^cotreatment|affects^expression|affects^reaction,37552060,True,False,co-treatment
diisononyl phthalate,C012125,AHSG,197,mRNA,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of AHSG mRNA,affects^cotreatment|decreases^expression,32949613,True,False,co-treatment
diisononyl phthalate,C012125,AKR1C1,1645,mRNA,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of AKR1C1 mRNA]],affects^cotreatment|affects^expression|affects^reaction,40456493,True,False,co-treatment
diisononyl phthalate,C012125,AKR1C1,1645,mRNA,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of AKR1C1 mRNA],affects^cotreatment|affects^expression|affects^reaction,40456493,True,False,co-treatment
diisononyl phthalate,C012125,AKR1C3,8644,mRNA,8-Bromo Cyclic Adenosine Monophosphate inhibits the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in decreased expression of AKR1C3 mRNA]],affects^cotreatment|decreases^expression|decreases^reaction,40456493,True,False,co-treatment
diisononyl phthalate,C012125,AKR1C3,8644,mRNA,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in decreased expression of AKR1C3 mRNA],affects^cotreatment|decreases^expression|decreases^reaction,40456493,True,False,co-treatment
diisononyl phthalate,C012125,ATF4,468,protein,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of ATG5 protein],increases^expression|increases^reaction,37976928,False,False,indirect/other
diisononyl phthalate,C012125,ATF4,468,protein,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of BECN1 protein],increases^expression|increases^reaction,37976928,False,False,indirect/other
diisononyl phthalate,C012125,ATF4,468,protein,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of DDIT4 protein],increases^expression|increases^reaction,37976928,False,False,indirect/other
diisononyl phthalate,C012125,ATF4,468,protein,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of MAP1LC3B protein],increases^expression|increases^reaction,37976928,False,False,indirect/other
diisononyl phthalate,C012125,ATF4,468,protein,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of SQSTM1 protein],increases^expression|increases^reaction,37976928,False,False,indirect/other
diisononyl phthalate,C012125,ATG5,9474,protein,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of ATG5 protein],increases^expression|increases^reaction,37976928,False,False,indirect/other
diisononyl phthalate,C012125,ATG5,9474,protein,DDIT4 protein promotes the reaction [diisononyl phthalate results in increased expression of ATG5 protein],increases^expression|increases^reaction,37976928,False,False,indirect/other
diisononyl phthalate,C012125,ATG5,9474,protein,diisononyl phthalate results in increased expression of ATG5 protein,increases^expression,37976928,False,True,single-chemical statement
diisononyl phthalate,C012125,BECN1,8678,protein,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of BECN1 protein],increases^expression|increases^reaction,37976928,False,False,indirect/other
diisononyl phthalate,C012125,BECN1,8678,protein,DDIT4 protein promotes the reaction [diisononyl phthalate results in increased expression of BECN1 protein],increases^expression|increases^reaction,37976928,False,False,indirect/other
diisononyl phthalate,C012125,BECN1,8678,protein,diisononyl phthalate results in increased expression of BECN1 protein,increases^expression,37976928,False,True,single-chemical statement
diisononyl phthalate,C012125,C4BPA,722,mRNA,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of C4BPA mRNA,affects^cotreatment|decreases^expression,32949613,True,False,co-treatment
diisononyl phthalate,C012125,CA5B,11238,gene,diisononyl phthalate metabolite results in increased methylation of CA5B gene,increases^methylation,35032864,False,True,single-chemical statement
diisononyl phthalate,C012125,CA9,768,mRNA,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CA9 mRNA,affects^cotreatment|decreases^expression,32949613,True,False,co-treatment
diisononyl phthalate,C012125,CADM3,57863,mRNA,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CADM3 mRNA,affects^cotreatment|decreases^expression,32949613,True,False,co-treatment
diisononyl phthalate,C012125,CASP14,23581,mRNA,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CASP14 mRNA,affects^cotreatment|decreases^expression,32949613,True,False,co-treatment
diisononyl phthalate,C012125,CCL20,6364,mRNA,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CCL20 mRNA,affects^cotreatment|decreases^expression,32949613,True,False,co-treatment
diisononyl phthalate,C012125,CGA,1081,protein,Cyclic AMP inhibits the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of PGR mRNA]],affects^cotreatment|decreases^reaction|increases^expression,37552060,True,False,co-treatment
diisononyl phthalate,C012125,CGA,1081,protein,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of ADAMTS1 mRNA],affects^cotreatment|affects^expression|affects^reaction,37552060,True,False,co-treatment
diisononyl phthalate,C012125,CGA,1081,protein,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of CXCR4 mRNA],affects^cotreatment|affects^reaction|increases^expression,37552060,True,False,co-treatment
diisononyl phthalate,C012125,CGA,1081,protein,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of CYP11A1 mRNA],affects^cotreatment|affects^reaction|increases^expression,37552060,True,False,co-treatment
diisononyl phthalate,C012125,CGA,1081,protein,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of HSD3B2 mRNA],affects^cotreatment|affects^reaction|increases^expression,37552060,True,False,co-treatment
diisononyl phthalate,C012125,CGA,1081,protein,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein results in increased expression of PTX3 mRNA],affects^cotreatment|affects^reaction|increases^expression,37552060,True,False,co-treatment
diisononyl phthalate,C012125,CGA,1081,protein,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of PGR mRNA],affects^cotreatment|decreases^reaction|increases^expression,37552060,True,False,co-treatment
diisononyl phthalate,C012125,CGA,1081,protein,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of RGS2 mRNA],affects^cotreatment|decreases^reaction|increases^expression,37552060,True,False,co-treatment
