Analysis,Exposure,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message
Primary_CRC_vs_cancer_free,log2(MCOP),ok,9936,70,9866,0.219542496313676,0.07309672751901093,1.2455067762777348,1.0775254462916757,1.4396756337333279,0.003311358522765674,109,214,105,Newton-IRLS converged
Age_ge_40_CRC_vs_cancer_free,log2(MCOP),ok,6178,69,6109,0.20003440703834824,0.0771650401678628,1.2214447837346922,1.0482224303526182,1.423292725391127,0.010840487594437963,109,214,105,Newton-IRLS converged
