gene,observed_global_T_median_vulnerability_rho,global_empirical_p_value,n_permutations,permutation_unit,self_line_exclusion,global_empirical_q_value
AANAT,-0.09927849927849924,0.17782217782217782,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.676061518362075
AAR2,0.03571428571428565,0.6443556443556444,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9406245962364375
AARD,0.07251082251082244,0.2987012987012987,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7958607413967137
AARS1,0.00021645021645025006,0.997002997002997,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9993872641842639
AARS2,0.12546897546897545,0.08091908091908091,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.49011185858476497
AARSD1,0.11940836940836941,0.1088911088911089,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.5587865112072125
AASDH,-0.009090909090909101,0.9040959040959041,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932237764618036
AASDHPPT,0.04974747474747475,0.5254745254745254,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9087890728925987
AASS,-0.08185425685425679,0.23676323676323677,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.74503060495212
AATF,-0.02806637806637805,0.7022977022977023,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9559728779597405
AATK,0.052236652236652255,0.46653346653346656,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8850315494010208
ABAT,0.0374098124098124,0.5844155844155844,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9265345674698379
ABCA1,-0.13120490620490616,0.07192807192807193,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.46093447900258194
ABCA10,0.021681096681096648,0.7312687312687313,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9634194454425585
ABCA12,-0.08134920634920631,0.2597402597402597,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7647492992320577
ABCA13,-0.015764790764790752,0.8491508491508492,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9865748463455406
