cohort,scope,n_high,n_low,high_minus_low_mean_log2_CPM_plus1,welch_p,mannwhitney_p
GSE200997,Right,3,5,2.0720733693565387,0.05670655955886028,0.03571428571428571
GSE132465,Right,8,3,0.010237187839035045,0.9781879818866032,0.9212121212121214
