ChemicalID,ChemicalName,phase1_scope,gene_cards_k,phase1_unfiltered_rank,phase1_bh_fdr,phase1_degree_matched_bh_fdr,phase1_n_ctd_human_genes,phase1_crc_overlap,molecular_level,molecular_M2_definition_met,entity_E_tag,entity_E_reason,entity_manual_review_required,canonical_name,synonyms,entity_type,parent_compound,metabolite_of,exposure_family,exposure_axis,candidate_to_axis_relationship,all_candidate_biomarkers,mapping_confidence,mapping_source,searched_domain_count,searched_domains,mapping_status,selection_reason,all_biomarker_summary,above_lod_pct,min_cycle_above_lod_pct,median_cycle_above_lod_pct,max_cycle_above_lod_pct,n_measured,n_above_lod,D_tag,n_cycles_available,cycle_list,first_cycle,last_cycle,biological_matrix,nhanes_lab_component,analyte_available_n,crc_outcome_available_n,exposure_plus_outcome_n,complete_covariate_n,available_crc_cases,available_controls,survey_weight_available,strata_psu_available,creatinine_available_if_urine,core_covariates_available,T_tag,T_reason,selected_primary_biomarker,chemical_class,CasRN,PubChemCID,DTXSID,X_tag,B_tag,human_biomarker,nhanes_variable,biomarker_type,nhanes_cycles,n_cycles,C_tag,E_tag,N_tag,M_tag,eligible_permissive,eligible_moderate,eligible_strict,audit_status,audit_evidence,what_was_checked,databases_checked,possible_proxy,reason_unresolved,manual_review_required,manual_review_reason,priority_tier,final_disposition,PRIORITIZATION_OUTCOME_BLINDED
C032279,phthalic acid,GeneCards_Disorders,1000,72,0.2573944694418675,0.8232508232508233,17,2,M0,False,0,broad_or_umbrella_name:\bphthalic acids?\b,True,phthalic acid,phthalic acid;88-99-3,CTD entity,,,phthalates,,none,,unresolved,,0,,resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0,,,,,,0,0,0,0,0,0,False,False,False,False,0,no analyte mapping,,phthalates,88-99-3,,DTXSID8021484,0,0,,,,,0,0,0,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: none matched; ; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 0 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,,,True,broad_or_umbrella_name:\bphthalic acids?\b,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
C479228,perfluorohexanoic acid,GeneCards_Disorders,1000,119,0.658278641300585,1.0,42,2,M0,False,1,specific_ctd_entity_id:C479228,False,perfluorohexanoic acid,perfluorohexanoic acid;PFAS;PFhexanoic acid,PFAS or fluorinated compound,,,pfas_perfluoro,PFAS exposure axis,direct serum PFAS analyte,,high,CDC NHANES PFAS serum panel and codebook,27,Perfluoroalkyl and Polyfluoroalkyl;Perfluoroalkyl and Polyfluoroalkyl Substances;Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),unresolved_registry_gap,no analyte rows,,,,,,,,,0,,,,,,0,0,0,0,0,0,False,False,False,False,0,no analyte mapping,,pfas_perfluoro,,,,1,0,,,,,0,0,1,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: Perfluoroalkyl and Polyfluoroalkyl;Perfluoroalkyl and Polyfluoroalkyl Substances;Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC); CDC NHANES PFAS serum panel and codebook; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 27 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,direct serum PFAS analyte,CDC NHANES PFAS serum panel and codebook,True,CDC NHANES PFAS serum panel and codebook,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
D019216,"Metals, Heavy",GeneCards_Disorders,1000,130,1.0,1.0,149,4,M0,False,0,broad_or_umbrella_name:\bmetals?\b,True,metals heavy,"Metals, Heavy",elemental species or metal compound,,,heavy_metals,metal exposure axis,metal family searched; no mapped elemental analyte,,unresolved,CDC NHANES Metals - Urine and blood metal panels searched,119,Metals - Urine,resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0,,,,,,0,0,0,0,0,0,False,False,False,False,0,no analyte mapping,,heavy_metals,,,,0,0,,,,,0,0,0,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: Metals - Urine; CDC NHANES Metals - Urine and blood metal panels searched; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 119 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,metal family searched; no mapped elemental analyte,CDC NHANES Metals - Urine and blood metal panels searched,True,broad_or_umbrella_name:\bmetals?\b,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
D000395,"Air Pollutants, Occupational",GeneCards_Disorders,1000,26,0.003908549913217,0.0862960568842921,940,42,M1,False,0,broad_or_umbrella_name:\bair pollutants?\b,True,air pollutants occupational,"Air Pollutants, Occupational",umbrella exposure class,,,environmental_pollutants,,none,,unresolved,,0,,resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0,,,,,,0,0,0,0,0,0,False,False,False,False,0,no analyte mapping,,environmental_pollutants,,,,0,0,,,,,0,0,0,pending_manual_review,M1,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: none matched; ; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 0 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,,,True,broad_or_umbrella_name:\bair pollutants?\b,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
D010575,Pesticides,GeneCards_Disorders,1000,34,0.0122601751133211,0.3282870975178668,242,15,M1,False,0,broad_or_umbrella_name:\bpesticides?\b,True,pesticides,Pesticides,umbrella exposure class,,,pesticides,pesticide exposure axis,candidate-specific pesticide biomarker not established from NHANES domains,,unresolved,"CDC NHANES pesticide, organophosphate, carbamate, and organochlorine panels searched",168,"Pesticides - Carbamates & Organophosphorus Metabolites - Urine;Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites);Pesticides - Environmental - Urine;Pesticides - Organochlorine Metabolites - Serum (Surplus)",resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0,,,,,,0,0,0,0,0,0,False,False,False,False,0,no analyte mapping,,pesticides,,,,0,0,,,,,0,0,0,pending_manual_review,M1,False,False,False,resolved_no_supported_candidate_specific_analyte,"CDC NHANES catalog domains checked: Pesticides - Carbamates & Organophosphorus Metabolites - Urine;Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites);Pesticides - Environmental - Urine;Pesticides - Organochlorine Metabolites - Serum (Surplus); CDC NHANES pesticide, organophosphate, carbamate, and organochlorine panels searched; local XPT registry variables checked for candidate aliases.",CTD identifiers/name; CDC NHANES laboratory catalog; 168 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,candidate-specific pesticide biomarker not established from NHANES domains,"CDC NHANES pesticide, organophosphate, carbamate, and organochlorine panels searched",True,broad_or_umbrella_name:\bpesticides?\b,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
D005411,Flame Retardants,GeneCards_Disorders,1000,41,0.0214165090219212,0.6409560588665065,211,13,M1,False,0,broad_or_umbrella_name:\bflame retardants?\b,True,flame retardants,Flame Retardants,CTD entity,,,flame_retardants,flame-retardant exposure axis,family-level flame-retardant metabolite proxy,LBXBB1,low,CDC NHANES flame-retardant metabolite panels searched; candidate-specific identity not verified,28,Brominated Flame Retardants (BFRs);Flame Retardants - Urine,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""LBXBB1"", ""n_cycles_available"": 1, ""total_measured"": 2032, ""total_above_lod"": 1485, ""pooled_above_lod_pct"": 73.08070866141732, ""min_cycle_above_lod_pct"": 73.08070866141732, ""median_cycle_above_lod_pct"": 73.08070866141732, ""max_cycle_above_lod_pct"": 73.08070866141732}]",73.08070866141732,73.08070866141732,73.08070866141732,73.08070866141732,2032.0,1485.0,1.0,1,2003-2004,2003-2004,2003-2004,serum_or_blood,Brominated Flame Retardants (BFRs),2032,17382,1410,1303,13,1184,True,True,True,True,0,insufficient complete-case events/sample or survey infrastructure,LBXBB1,flame_retardants,,CID:136917,,1,1,LBXBB1,LBXBB1,serum/blood biomarker,2003-2004,1,0,0,pending_manual_review,M1,False,False,False,resolved_mapped,CDC NHANES catalog domains checked: Brominated Flame Retardants (BFRs);Flame Retardants - Urine; CDC NHANES flame-retardant metabolite panels searched; candidate-specific identity not verified; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 28 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,family-level flame-retardant metabolite proxy,,True,broad_or_umbrella_name:\bflame retardants?\b,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
D000393,Air Pollutants,GeneCards_Disorders,1000,58,0.0849825749645711,0.0121242393969666,10425,293,M1,False,0,broad_or_umbrella_name:\bair pollutants?\b,True,air pollutants,Air Pollutants,umbrella exposure class,,,environmental_pollutants,,none,,unresolved,,0,,resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0,,,,,,0,0,0,0,0,0,False,False,False,False,0,no analyte mapping,,environmental_pollutants,,,,0,0,,,,,0,0,0,pending_manual_review,M1,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: none matched; ; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 0 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,,,True,broad_or_umbrella_name:\bair pollutants?\b,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
D010795,Phthalic Acids,GeneCards_Disorders,1000,65,0.137393916710684,0.3457653457653458,1598,53,M1,False,0,broad_or_umbrella_name:\bphthalic acids?\b,True,phthalic acids,Phthalic Acids,CTD entity,,,phthalates,,none,,unresolved,,0,,resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0,,,,,,0,0,0,0,0,0,False,False,False,False,0,no analyte mapping,,phthalates,,CID:37013,,0,0,,,,,0,0,0,pending_manual_review,M1,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: none matched; ; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 0 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,,,True,broad_or_umbrella_name:\bphthalic acids?\b,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
D055549,Volatile Organic Compounds,GeneCards_Disorders,1000,13,0.0010119325816518,0.0355644355644355,1909,77,M2,True,0,broad_or_umbrella_name:\bvolatile organic compounds?\b,True,volatile organic compounds,Volatile Organic Compounds,CTD entity,,,vocs,VOC exposure axis,candidate not matched to NHANES VOC biomarker variable,,unresolved,CDC NHANES VOC blood and urinary metabolite panels searched,587,"Volatile Organic Compound (VOC) Metabolites - Urine;Volatile Organic Compound (VOC) Metabolites - Urine (Surplus);Volatile Organic Compounds (VOC) - Personal Exposure Badge;Volatile Organic Compounds (VOCs) - Blood;Volatile Organic Compounds (VOCs) - Trihalomethanes/MTBE/Nitromethane - Blood;Volatile Organic Compounds (VOCs) - Water;Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample;Volatile Organic Compounds - Blood & Related Questionnaire Items;Volatile Organic Compounds - Blood & Water;Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items;Volatile Organic Compounds - Trihalomethanes/MTBE/Nitromethane - Blood;Volatile Organic Compounds - Water & Related Questionnaire Items;Volatile Organic Compounds and Trihalomethanes/MTBE - Blood;Volatile Organic Compounds and Trihalomethanes/MTBE – Blood – Special Sample",resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0,,,,,,0,0,0,0,0,0,False,False,False,False,0,no analyte mapping,,vocs,,,,0,0,,,,,0,0,0,pending_manual_review,M2,False,False,False,resolved_no_supported_candidate_specific_analyte,"CDC NHANES catalog domains checked: Volatile Organic Compound (VOC) Metabolites - Urine;Volatile Organic Compound (VOC) Metabolites - Urine (Surplus);Volatile Organic Compounds (VOC) - Personal Exposure Badge;Volatile Organic Compounds (VOCs) - Blood;Volatile Organic Compounds (VOCs) - Trihalomethanes/MTBE/Nitromethane - Blood;Volatile Organic Compounds (VOCs) - Water;Volatile Organic Compounds (VOCs) and Trihalomethanes/MTBE - Blood - Special Sample;Volatile Organic Compounds - Blood & Related Questionnaire Items;Volatile Organic Compounds - Blood & Water;Volatile Organic Compounds - Blood, Water, & Related Questionnaire Items;Volatile Organic Compounds - Trihalomethanes/MTBE/Nitromethane - Blood;Volatile Organic Compounds - Water & Related Questionnaire Items;Volatile Organic Compounds and Trihalomethanes/MTBE - Blood;Volatile Organic Compounds and Trihalomethanes/MTBE – Blood – Special Sample; CDC NHANES VOC blood and urinary metabolite panels searched; local XPT registry variables checked for candidate aliases.",CTD identifiers/name; CDC NHANES laboratory catalog; 587 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,candidate not matched to NHANES VOC biomarker variable,CDC NHANES VOC blood and urinary metabolite panels searched,True,broad_or_umbrella_name:\bvolatile organic compounds?\b,Tier_C_molecular_only,retain_with_resolved_audit_no_primary_screen,True
