modality,gene,k,right_high_cohorts,left_high_cohorts,same_direction,pooled_hedges_g,se,ci_low,ci_high,meta_p,tau2,i2_percent,nominal_welch_p_lt_0.05,meta_fdr,stable_right_high,stable_left_high
bulk,PRAC,1,0,1,True,-1.6589814433097192,0.14520227635445307,-1.9435779049644473,-1.3743849816549911,3.1252783289441707e-30,0.0,0.0,1,9.199256761247167e-26,False,False
bulk,HSPA4L,4,4,0,True,0.5761806701872582,0.059959512823336586,0.45866002505351844,0.6937013153209979,7.290529683498922e-22,0.0,0.0,3,1.0729837061689538e-17,True,False
bulk,USP7,4,0,4,True,-0.5589615054173309,0.05988815311859093,-0.6763422855297692,-0.4415807253048927,1.0250514206814149e-20,0.0,0.0,4,1.0057462855919149e-16,False,True
bulk,CTSE,4,4,0,True,0.5257910322136164,0.05975661460179011,0.40866806759410784,0.6429139968331251,1.381934822435041e-18,0.0,0.0,4,8.135450299675086e-15,True,False
bulk,SLC35C2,4,0,4,True,-0.5264891838672221,0.05976409489375108,-0.6436268098589742,-0.40935155787547,1.2575426980065019e-18,0.0,0.0,4,8.135450299675086e-15,False,True
bulk,ZNF681,3,0,3,True,-0.5854497576287943,0.06714855781869603,-0.7170609309534385,-0.45383858430415003,2.8135391721219895e-18,0.0,0.0,2,1.3802754255235128e-14,False,True
bulk,LYZ,4,4,0,True,0.5169945690812641,0.05973234477318263,0.3999191733258261,0.634069964836702,4.921074061395157e-18,0.0,0.0,3,1.8576712763234563e-14,True,False
bulk,PRSS23,4,0,4,True,-0.5166824063132043,0.05971645721660515,-0.6337266624577503,-0.39963815016865817,5.048877258565534e-18,0.0,0.0,4,1.8576712763234563e-14,False,True
bulk,DUSP18,3,0,3,True,-0.5725109774684952,0.06709124632520681,-0.7040098202659005,-0.4410121346710899,1.422084072579522e-17,0.0,0.0,3,4.6510049640420254e-14,False,True
bulk,AOAH,4,0,4,True,-0.5511614289361454,0.06489110420396767,-0.678347993175922,-0.4239748646963688,2.00270601859034e-17,0.001954791783850003,10.833371236911326,3,5.894965165720666e-14,False,True
bulk,STK17B,4,4,0,True,0.5063530806056515,0.05969508037425822,0.38935072307210544,0.6233554381391977,2.2073770557356536e-17,0.0,0.0,3,5.906740330507179e-14,True,False
bulk,PCMTD2,4,0,4,True,-0.5874210924303355,0.06998380624982001,-0.7245893526799827,-0.45025283218068823,4.71190793593456e-17,0.004165476298384232,20.520474880908566,4,1.1557917507852814e-13,False,True
bulk,ZNF345,4,0,4,True,-0.5008315983487917,0.0608435956223168,-0.6200850457685326,-0.38157815092905073,1.8494592381092022e-16,0.00042802061377499533,2.616870065954387,3,4.187602513364952e-13,False,True
