,EMT_total_hallmark,pyrimidine_original_matrix,UPR_total_hallmark
EMT_total_hallmark,1.0,-0.48571428571428577,0.08571428571428573
pyrimidine_original_matrix,-0.48571428571428577,1.0,0.5428571428571429
UPR_total_hallmark,0.08571428571428573,0.5428571428571429,1.0
