database,signature_size,scoring_method,DRUG_NAME,drug_key,background,n_trajectory_values,n_positive_trajectory_values,median_rho,min_rho,max_rho,median_n,median_p
PRISM,100,weighted,1-azakenpaullone,1AZAKENPAULLONE,HCT116,3,0,-0.3427442123094297,-0.365330321852061,-0.10671936758893281,22.0,0.11840466287505186
PRISM,100,weighted,1-naphthyl-PP1,1NAPHTHYLPP1,HCT116,3,3,0.3320158102766798,0.24110671936758896,0.44169960474308306,23.0,0.12167518213281325
PRISM,100,weighted,1-phenylbiguanide,1PHENYLBIGUANIDE,HCT116,3,1,-0.02766798418972332,-0.10671936758893281,0.45652173913043476,23.0,0.6279215092073558
PRISM,100,weighted,10-deacetylbaccatin,10DEACETYLBACCATIN,HCT116,3,0,-0.1323076923076923,-0.24384615384615385,-0.10384615384615385,25.0,0.5283992800855006
PRISM,100,weighted,10-hydroxycamptothecin,10HYDROXYCAMPTOTHECIN,HCT116,3,1,-0.2792307692307692,-0.31384615384615383,0.12307692307692307,25.0,0.17645690072440764
PRISM,100,weighted,12-O-tetradecanoylphorbol-13-acetate,12OTETRADECANOYLPHORBOL13ACETATE,HCT116,3,1,-0.03670242800677584,-0.34161490683229817,0.5674760022586111,22.0,0.11970214821095865
PRISM,100,weighted,"2,3-DCPE",23DCPE,HCT116,3,1,-0.05846153846153846,-0.21846153846153843,0.2530769230769231,25.0,0.2941205702947026
PRISM,100,weighted,2-methoxyestradiol,2METHOXYESTRADIOL,HCT116,3,2,0.006633217425302604,-0.22029264186136543,0.1742092365908421,26.0,0.3946887757526427
PRISM,100,weighted,3'-fluorobenzylspiperone,3FLUOROBENZYLSPIPERONE,HCT116,3,2,0.09220779220779221,-0.2753246753246753,0.16753246753246753,21.0,0.4679157387083451
PRISM,100,weighted,3-amino-benzamide,3AMINOBENZAMIDE,HCT116,3,3,0.12239877818435758,0.09389995818919372,0.15893572689610613,26.0,0.5513984310573561
PRISM,100,weighted,3-deazaneplanocin-A,3DEAZANEPLANOCINA,HCT116,3,0,-0.44478632478632474,-0.5473504273504273,-0.02358974358974359,26.0,0.022801672485381647
PRISM,100,weighted,4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,44FLUOROBENZOYL14PHENYLBUTYLPIPERIDINE,HCT116,3,1,-0.033846153846153845,-0.09333333333333332,0.33196581196581193,26.0,0.6501924085712949
PRISM,100,weighted,4-chlorophenylguanidine,4CHLOROPHENYLGUANIDINE,HCT116,3,2,0.163184641445511,-0.2659514398644834,0.16544325239977417,22.0,0.4618555310376701
PRISM,100,weighted,4-hydroxy-phenazone,4HYDROXYPHENAZONE,HCT116,3,1,-0.0009881422924901185,-0.03853754940711463,0.08201581027667984,23.0,0.861411866221951
PRISM,100,weighted,4-iodo-6-phenylpyrimidine,4IODO6PHENYLPYRIMIDINE,HCT116,3,1,-0.2049689440993789,-0.22303783173348396,0.4488989271597968,22.0,0.31841675008781406
PRISM,100,weighted,4-methylgenistein,4METHYLGENISTEIN,HCT116,3,2,0.02992659514398645,-0.27159796725014124,0.22868435911914178,22.0,0.30599593936021563
PRISM,100,weighted,4-methylhistamine,4METHYLHISTAMINE,HCT116,3,2,0.2727272727272727,-0.24285714285714283,0.37792207792207794,21.0,0.2316557954857192
PRISM,100,weighted,4-pyrimidinecarbonitrile,4PYRIMIDINECARBONITRILE,HCT116,3,0,-0.17130434782608694,-0.29130434782608694,-0.1643478260869565,24.0,0.42350313678440465
