analysis_group,n_cells,n_donors,tumor_cells,normal_cells,PGE2_synthesis_mean,PGE2_synthesis_median,PGE2_synthesis_high_fraction,PLA2G4A_mean,PLA2G4A_detection_fraction,PTGS1_mean,PTGS1_detection_fraction,PTGS2_mean,PTGS2_detection_fraction,PTGES_mean,PTGES_detection_fraction,PTGES2_mean,PTGES2_detection_fraction,PTGES3_mean,PTGES3_detection_fraction
mast_cells,248,6,78,62,0.67652779652796,0.6452181691434441,0.6088709677419355,0.06322909500836313,0.05241935483870968,0.6873112884790997,0.3951612903225806,0.6020217658913413,0.2862903225806452,0.0,0.0,0.06838509514940525,0.05241935483870968,0.8238109362914805,0.47580645161290325
SPP1_like_TAM,416,6,185,1,0.3465096273433398,0.17161683368150493,0.5192307692307693,0.012332743401438775,0.019230769230769232,0.27099447774136115,0.30528846153846156,0.5198123596393208,0.25,0.008635507175249078,0.002403846153846154,0.16143954663195842,0.2091346153846154,0.8626316449432717,0.6538461538461539
C1QC_like_TAM,534,6,208,153,0.25505084330723826,0.132434370139109,0.50187265917603,0.04476344519498833,0.05805243445692884,0.29618868510818763,0.31835205992509363,0.15918573878448372,0.14794007490636704,0.002739913845843144,0.0056179775280898875,0.22056564445741683,0.27715355805243447,1.002410902321411,0.7097378277153558
fibroblast_like,4582,6,1282,2357,0.21919423173786257,0.030177204030808594,0.41924923614142295,0.05019357274496637,0.06045395024006984,0.07845935165750992,0.07965953731994763,0.10074813907804438,0.08686163247490179,0.25392867437506134,0.24596246180707115,0.15423588400914945,0.19947621126145787,0.9947789777442582,0.7309035355739851
other_myeloid,162,6,51,60,0.20762412509893238,0.1330287962727128,0.5061728395061729,0.04781270002617604,0.07407407407407407,0.16992658744873024,0.22839506172839505,0.21816953996429184,0.19135802469135801,0.0,0.0,0.3282407307590097,0.41358024691358025,0.7939944983115697,0.7160493827160493
FCN1_inflammatory_monocyte_like,985,6,380,255,0.11569183413550754,-0.01930341186276315,0.3634517766497462,0.025298019465534522,0.023350253807106598,0.14232962957428716,0.1350253807106599,0.22951670892789555,0.1532994923857868,0.005855095295366715,0.005076142131979695,0.15422052743118903,0.15431472081218275,0.8701661116829766,0.601015228426396
border_epithelial,2812,6,0,0,0.09185689288266086,0.050703369448304905,0.40007112375533427,0.024883738221790738,0.04338549075391181,0.002998229268081066,0.005689900426742532,0.009062009765517588,0.021692745376955903,0.06580469504820169,0.1073968705547653,0.35465140520630156,0.4470128022759602,1.2010499313735554,0.7948079658605974
tumor_epithelial,2212,6,2212,0,0.06239574887266426,0.03381657277773607,0.3679927667269439,0.018641637426290575,0.03481012658227848,0.005936039277891073,0.010397830018083183,0.010943904347559513,0.017179023508137433,0.07656338911243708,0.10669077757685352,0.29177189352436844,0.35578661844484627,1.172610853524402,0.7296564195298373
resident_like,579,6,105,354,0.06218226839641287,-0.08150667923990633,0.3005181347150259,0.0320733468906119,0.025906735751295335,0.19748348452320644,0.16062176165803108,0.08057317139931311,0.05699481865284974,0.004189670147983299,0.0034542314335060447,0.11634808299531003,0.1070811744386874,0.8691937009770765,0.5630397236614854
smooth_muscle_like,591,6,192,273,0.020962377410211473,-0.04755038479285034,0.24534686971235195,0.02273539436602775,0.021996615905245348,0.062221832437659226,0.05245346869712352,0.018632240646844968,0.015228426395939087,0.015464062836044137,0.015228426395939087,0.2000901719373496,0.1844331641285956,1.1209871865676793,0.7106598984771574
normal_epithelial,1144,6,0,1144,-0.019613623180620262,-0.037407023221390716,0.2561188811188811,0.0074891403363513956,0.016608391608391608,0.041452533276165555,0.021853146853146852,0.0022454140464326653,0.0017482517482517483,0.0037100452046286295,0.004370629370629371,0.33753300717570156,0.4117132867132867,0.884335057523031,0.6756993006993007
endothelial_like,1576,6,615,471,-0.04004894139188766,-0.09376126142234242,0.20812182741116753,0.007983031443310326,0.008883248730964468,0.05802218289407044,0.056472081218274114,0.038563134207768274,0.030456852791878174,0.03109828682811999,0.03553299492385787,0.15125525878723153,0.16624365482233502,0.9202491640790411,0.6345177664974619
enteric_glial_like,463,6,31,391,-0.07258026846299173,-0.04921391646851009,0.15766738660907129,0.030452648962544432,0.019438444924406047,0.0020272309580764377,0.0021598272138228943,0.014983744963005799,0.0064794816414686825,0.0,0.0,0.08326115894023121,0.05399568034557235,1.105961970156452,0.5377969762419006
pericyte_like,438,6,201,72,-0.07664622658878223,-0.1113287351393063,0.19406392694063926,0.019927181973522494,0.0182648401826484,0.0056529170841547955,0.0091324200913242,0.02589344156376579,0.02511415525114155,0.027742991762968912,0.02968036529680365,0.14764181678194882,0.1735159817351598,0.8907383430361102,0.6118721461187214
T_cells,5770,6,1937,1539,-0.14422243382076785,-0.12194727906593356,0.09514731369150779,0.0002505903944699409,0.0001733102253032929,0.0030114772957942153,0.0020797227036395147,0.0034210023766240516,0.0017331022530329288,0.0008189422235845412,0.0005199306759098787,0.1183210793112699,0.08145580589254767,0.8903931350963695,0.5270363951473137
B_cells,4902,6,777,2604,-0.21621431865630872,-0.2707905136392424,0.0554875560995512,0.0007178378648553475,0.0008159934720522236,0.012659649874752895,0.011831905344757242,0.0027226430081122455,0.0032639738882088943,0.00137095230691784,0.0014279885760913912,0.09329877839821955,0.11811505507955937,0.5550035406439014,0.5216238270093839
