source_group,receiver_subtype,n_tumor_donors,n_donors_with_coverage,n_source_top_donors,n_C1QC_receiver_top_donors,n_directionally_consistent_donors,directional_consistency_fraction,mean_axis_score,interpretation
mast_cells,C1QC_like_TAM,6,6,3,2,1,0.16666666666666666,0.06466322576598088,insufficient or inconsistent donor-level support
tumor_epithelial,C1QC_like_TAM,6,6,0,2,0,0.0,0.00433095392863603,insufficient or inconsistent donor-level support
SPP1_like_TAM,C1QC_like_TAM,6,4,1,2,0,0.0,0.035957953723365965,insufficient or inconsistent donor-level support
C1QC_like_TAM,C1QC_like_TAM,6,6,1,2,1,0.16666666666666666,0.07112840820171211,insufficient or inconsistent donor-level support
fibroblast_like,C1QC_like_TAM,6,5,1,2,0,0.0,0.04269978944024152,insufficient or inconsistent donor-level support
endothelial_like,C1QC_like_TAM,6,6,0,2,0,0.0,-0.0004187784970323648,insufficient or inconsistent donor-level support
normal_epithelial,C1QC_like_TAM,6,0,0,2,0,0.0,,insufficient or inconsistent donor-level support
