donor_id,condition,source_group,receiver_subtype,source_cells,receiver_cells,source_mean_score,source_high_fraction,receiver_PTGER4_mean,receiver_detection_fraction,receiver_high_fraction,source_top_among_major,receiver_top_among_macrophages,coverage,axis_score,pair_is_directionally_consistent
KUL01,tumor,mast_cells,SPP1_like_TAM,8,156,0.5486755269535396,0.625,0.1026994633316263,0.10897435897435898,0.10897435897435898,True,False,True,0.056348682161325776,False
KUL01,tumor,mast_cells,C1QC_like_TAM,8,16,0.5486755269535396,0.625,0.0,0.0,0.0,True,False,True,0.0,False
KUL01,tumor,mast_cells,FCN1_inflammatory_monocyte_like,8,161,0.5486755269535396,0.625,0.1672576892377285,0.14906832298136646,0.14906832298136646,True,True,True,0.09177020077954205,True
KUL01,tumor,mast_cells,resident_like,8,7,0.5486755269535396,0.625,0.0,0.0,0.0,True,False,True,0.0,False
KUL01,tumor,tumor_epithelial,SPP1_like_TAM,730,156,0.11587717355886769,0.43561643835616437,0.1026994633316263,0.10897435897435898,0.10897435897435898,False,False,True,0.01190052353688143,False
KUL01,tumor,tumor_epithelial,C1QC_like_TAM,730,16,0.11587717355886769,0.43561643835616437,0.0,0.0,0.0,False,False,True,0.0,False
KUL01,tumor,tumor_epithelial,FCN1_inflammatory_monocyte_like,730,161,0.11587717355886769,0.43561643835616437,0.1672576892377285,0.14906832298136646,0.14906832298136646,False,True,True,0.01938134828485542,False
KUL01,tumor,tumor_epithelial,resident_like,730,7,0.11587717355886769,0.43561643835616437,0.0,0.0,0.0,False,False,True,0.0,False
KUL01,tumor,SPP1_like_TAM,SPP1_like_TAM,156,156,0.3442205506154152,0.5961538461538461,0.1026994633316263,0.10897435897435898,0.10897435897435898,False,False,True,0.03535126581592005,False
KUL01,tumor,SPP1_like_TAM,C1QC_like_TAM,156,16,0.3442205506154152,0.5961538461538461,0.0,0.0,0.0,False,False,True,0.0,False
KUL01,tumor,SPP1_like_TAM,FCN1_inflammatory_monocyte_like,156,161,0.3442205506154152,0.5961538461538461,0.1672576892377285,0.14906832298136646,0.14906832298136646,False,True,True,0.0575735338840729,False
KUL01,tumor,SPP1_like_TAM,resident_like,156,7,0.3442205506154152,0.5961538461538461,0.0,0.0,0.0,False,False,True,0.0,False
KUL01,tumor,C1QC_like_TAM,SPP1_like_TAM,16,156,0.0019116175269467462,0.25,0.1026994633316263,0.10897435897435898,0.10897435897435898,False,False,True,0.00019632209411276152,False
KUL01,tumor,C1QC_like_TAM,C1QC_like_TAM,16,16,0.0019116175269467462,0.25,0.0,0.0,0.0,False,False,True,0.0,False
KUL01,tumor,C1QC_like_TAM,FCN1_inflammatory_monocyte_like,16,161,0.0019116175269467462,0.25,0.1672576892377285,0.14906832298136646,0.14906832298136646,False,True,True,0.00031973273026345396,False
KUL01,tumor,C1QC_like_TAM,resident_like,16,7,0.0019116175269467462,0.25,0.0,0.0,0.0,False,False,True,0.0,False
KUL01,tumor,fibroblast_like,SPP1_like_TAM,311,156,0.45553184520503126,0.5787781350482315,0.1026994633316263,0.10897435897435898,0.10897435897435898,False,False,True,0.046782876033022176,False
KUL01,tumor,fibroblast_like,C1QC_like_TAM,311,16,0.45553184520503126,0.5787781350482315,0.0,0.0,0.0,False,False,True,0.0,False
KUL01,tumor,fibroblast_like,FCN1_inflammatory_monocyte_like,311,161,0.45553184520503126,0.5787781350482315,0.1672576892377285,0.14906832298136646,0.14906832298136646,False,True,True,0.07619120380319216,False
KUL01,tumor,fibroblast_like,resident_like,311,7,0.45553184520503126,0.5787781350482315,0.0,0.0,0.0,False,False,True,0.0,False
KUL01,tumor,endothelial_like,SPP1_like_TAM,101,156,-0.003758775743723545,0.3069306930693069,0.1026994633316263,0.10897435897435898,0.10897435897435898,False,False,True,-0.00038602425166434263,False
KUL01,tumor,endothelial_like,C1QC_like_TAM,101,16,-0.003758775743723545,0.3069306930693069,0.0,0.0,0.0,False,False,True,-0.0,False
KUL01,tumor,endothelial_like,FCN1_inflammatory_monocyte_like,101,161,-0.003758775743723545,0.3069306930693069,0.1672576892377285,0.14906832298136646,0.14906832298136646,False,True,True,-0.0006286841452580245,False
KUL01,tumor,endothelial_like,resident_like,101,7,-0.003758775743723545,0.3069306930693069,0.0,0.0,0.0,False,False,True,-0.0,False
KUL01,tumor,normal_epithelial,SPP1_like_TAM,0,156,,,0.1026994633316263,0.10897435897435898,0.10897435897435898,False,False,False,,False
KUL01,tumor,normal_epithelial,C1QC_like_TAM,0,16,,,0.0,0.0,0.0,False,False,False,,False
KUL01,tumor,normal_epithelial,FCN1_inflammatory_monocyte_like,0,161,,,0.1672576892377285,0.14906832298136646,0.14906832298136646,False,True,False,,False
KUL01,tumor,normal_epithelial,resident_like,0,7,,,0.0,0.0,0.0,False,False,False,,False
KUL19,tumor,mast_cells,SPP1_like_TAM,31,8,0.770245233447724,0.6129032258064516,0.198759955703182,0.25,0.25,True,True,True,0.1530939084806567,True
KUL19,tumor,mast_cells,C1QC_like_TAM,31,129,0.770245233447724,0.6129032258064516,0.18923741233080454,0.27906976744186046,0.27906976744186046,True,False,True,0.14575921483778376,False
KUL19,tumor,mast_cells,FCN1_inflammatory_monocyte_like,31,35,0.770245233447724,0.6129032258064516,0.0523188641719899,0.05714285714285714,0.05714285714285714,True,False,True,0.040298355747874125,False
KUL19,tumor,mast_cells,resident_like,31,9,0.770245233447724,0.6129032258064516,0.14331758350710322,0.1111111111111111,0.1111111111111111,True,False,True,0.1103896855655924,False
KUL19,tumor,tumor_epithelial,SPP1_like_TAM,574,8,-0.004638509059730133,0.2979094076655052,0.198759955703182,0.25,0.25,False,True,True,-0.0009219498552407696,False
