donor_id,condition,analysis_group,n_cells,PGE2_synthesis_mean,PGE2_synthesis_median,PGE2_synthesis_high_fraction,PLA2G4A_mean,PLA2G4A_detection_fraction,PTGS1_mean,PTGS1_detection_fraction,PTGS2_mean,PTGS2_detection_fraction,PTGES_mean,PTGES_detection_fraction,PTGES2_mean,PTGES2_detection_fraction,PTGES3_mean,PTGES3_detection_fraction
KUL01,border,B_cells,11,-0.192871345053679,-0.3797972811438783,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2020878761389441,0.18181818181818182,0.5065162289438832,0.36363636363636365
KUL01,border,C1QC_like_TAM,11,0.06870346834903612,0.06282430509599353,0.36363636363636365,0.0,0.0,0.20188644323352392,0.18181818181818182,0.07725637039933556,0.09090909090909091,0.0,0.0,0.08825105457972696,0.18181818181818182,1.1571265239706956,0.6363636363636364
KUL01,border,FCN1_inflammatory_monocyte_like,144,0.1623392148101005,-0.0022614043194651434,0.4236111111111111,0.04334279342154716,0.041666666666666664,0.21344801567450328,0.2152777777777778,0.15396053965366485,0.13194444444444445,0.0,0.0,0.1973278473339248,0.2222222222222222,0.8941318926094787,0.6666666666666666
KUL01,border,SPP1_like_TAM,190,0.28235093313866977,0.11751598740597471,0.48947368421052634,0.015237697526539926,0.02631578947368421,0.2619240169700376,0.32105263157894737,0.4007275617373099,0.23157894736842105,0.0,0.0,0.1719793512037033,0.23157894736842105,0.8847110361001238,0.6894736842105263
KUL01,border,T_cells,393,-0.10759551361982289,-0.0997280036717894,0.10178117048346055,0.0,0.0,0.0,0.0,0.006685163485872823,0.005089058524173028,0.0,0.0,0.14212673011928798,0.10178117048346055,1.0265781091207813,0.6361323155216285
KUL01,border,border_epithelial,1102,0.17481765786372808,0.13770923590232706,0.5117967332123412,0.03990761012672875,0.07894736842105263,0.0039006825739774102,0.009074410163339383,0.015320353614267935,0.04083484573502722,0.05750776603356763,0.10254083484573502,0.4169190480084564,0.5199637023593466,1.3979944502289774,0.8239564428312159
KUL01,border,endothelial_like,112,-0.07823316424218194,-0.10553220639900407,0.17857142857142858,0.0031293709273530466,0.008928571428571428,0.06725273736868781,0.08035714285714286,0.01972338343573729,0.026785714285714284,0.0,0.0,0.12835989231411948,0.16071428571428573,0.927299421997134,0.6875
KUL01,border,enteric_glial_like,4,-0.07798995720759688,-0.19818783251156646,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534663712123589,0.25,0.9646633469303729,0.5
KUL01,border,fibroblast_like,92,0.34612342242279537,0.08838089817693393,0.41304347826086957,0.04308535641130935,0.08695652173913043,0.1943120873291034,0.1956521739130435,0.22061176119343923,0.14130434782608695,0.1832518926569823,0.21739130434782608,0.24225026681411413,0.42391304347826086,1.009417389739861,0.8369565217391305
KUL01,border,mast_cells,6,0.7173376109616262,0.5487596541559197,0.6666666666666666,0.20991667086531998,0.16666666666666666,0.506721089052568,0.3333333333333333,0.4352357036130328,0.16666666666666666,0.0,0.0,0.2929321899388842,0.16666666666666666,0.7228516589208175,0.5
KUL01,border,other_myeloid,2,0.08571963931561685,0.08571963931561685,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8246450162107284,1.0,0.6133457213597575,0.5
KUL01,border,pericyte_like,28,-0.10856641169121546,-0.08878020064613304,0.10714285714285714,0.011676281383149434,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.1459701582392963,0.17857142857142858,0.9621998034875539,0.6785714285714286
KUL01,border,resident_like,2,-0.2654745818459279,-0.2654745818459279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5590250856458041,0.5
KUL01,border,smooth_muscle_like,32,-0.004275548487522569,-0.048249745358179455,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.03496507293080402,0.03125,0.24272359332071206,0.25,1.2364576195618842,0.875
KUL01,normal,B_cells,362,-0.23218974950704072,-0.25395545355974053,0.013812154696132596,0.007927811074286426,0.008287292817679558,0.005501136502382125,0.013812154696132596,0.0015808121679728095,0.0055248618784530384,0.0009342094972866932,0.0027624309392265192,0.07764316596556368,0.18232044198895028,0.4929397863611541,0.7292817679558011
KUL01,normal,C1QC_like_TAM,69,0.19678355858622726,0.07974245982677619,0.4782608695652174,0.04808953991182202,0.057971014492753624,0.2529554034772942,0.2463768115942029,0.17195385231711843,0.15942028985507245,0.007840118051353586,0.014492753623188406,0.23215125019222263,0.2318840579710145,0.7636709896850999,0.5942028985507246
KUL01,normal,FCN1_inflammatory_monocyte_like,122,0.154041686025417,0.1048964696427823,0.47540983606557374,0.018295881420897907,0.01639344262295082,0.07919700650604904,0.09016393442622951,0.3616459361409282,0.28688524590163933,0.0,0.0,0.2277048807368048,0.22950819672131148,0.8209210001805554,0.6229508196721312
KUL01,normal,SPP1_like_TAM,1,0.9392064248283235,0.9392064248283235,1.0,0.0,0.0,1.4123494748672234,1.0,0.0,0.0,0.0,0.0,0.9371888495117716,1.0,0.0,0.0
KUL01,normal,T_cells,231,-0.1292466706518332,-0.1300951178980209,0.1341991341991342,0.0,0.0,0.005518612631670444,0.004329004329004329,0.0,0.0,0.0,0.0,0.1619559803546048,0.12121212121212122,0.8807465671183818,0.5627705627705628
KUL01,normal,endothelial_like,69,-0.10181659917057531,-0.1291257461384048,0.15942028985507245,0.0,0.0,0.03383507085068388,0.028985507246376812,0.01886680828753219,0.014492753623188406,0.0,0.0,0.15176802092058353,0.13043478260869565,0.8936384847561021,0.5217391304347826
KUL01,normal,enteric_glial_like,40,0.058080243156244785,-0.08556584736474321,0.175,0.11194266925639851,0.075,0.023465198339734768,0.025,0.07876995031378835,0.025,0.0,0.0,0.05402047768113878,0.05,1.077744738175507,0.675
KUL01,normal,fibroblast_like,701,0.23662450629750767,0.11640683034072012,0.4921540656205421,0.07363236073511999,0.10413694721825963,0.08690813371852348,0.09843081312410841,0.04036262662130224,0.04850213980028531,0.28364685435295744,0.35235378031383735,0.13395495332585008,0.20399429386590584,1.0210874102410417,0.8259629101283881
KUL01,normal,mast_cells,14,-0.04956040793345919,-0.3797972811438783,0.2857142857142857,0.0,0.0,0.3594162701491167,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.4544268793373433,0.21428571428571427
KUL01,normal,normal_epithelial,172,-0.03758138387261181,-0.14375237927662105,0.2441860465116279,0.011179633291506674,0.023255813953488372,0.13978992459760642,0.0755813953488372,0.0061258938561948705,0.005813953488372093,0.006996723284605172,0.005813953488372093,0.2692778294753092,0.31976744186046513,0.5738642296329661,0.4883720930232558
KUL01,normal,other_myeloid,7,0.13520376689637167,0.038606574276947046,0.2857142857142857,0.062493245121967626,0.14285714285714285,0.18864173116469776,0.2857142857142857,0.07656831332976446,0.14285714285714285,0.0,0.0,0.13898336637763736,0.2857142857142857,1.0514175064440034,1.0
