donor_id,condition,subtype,n_cells,PTGER4_mean,PTGER4_median,PTGER4_detection_fraction,PTGER4_high_fraction
KUL01,border,C1QC_like_TAM,11,0.1523746501069967,0.0,0.18181818181818182,0.18181818181818182
KUL01,border,FCN1_inflammatory_monocyte_like,144,0.13019866581098274,0.0,0.1388888888888889,0.1388888888888889
KUL01,border,SPP1_like_TAM,190,0.12970832243543137,0.0,0.1631578947368421,0.1631578947368421
KUL01,border,resident_like,2,0.0,0.0,0.0,0.0
KUL01,normal,C1QC_like_TAM,69,0.08036661440380205,0.0,0.08695652173913043,0.08695652173913043
KUL01,normal,FCN1_inflammatory_monocyte_like,122,0.15849822619687706,0.0,0.13934426229508196,0.13934426229508196
KUL01,normal,SPP1_like_TAM,1,0.0,0.0,0.0,0.0
KUL01,normal,resident_like,148,0.14213503614546388,0.0,0.11486486486486487,0.11486486486486487
KUL01,tumor,C1QC_like_TAM,16,0.0,0.0,0.0,0.0
KUL01,tumor,FCN1_inflammatory_monocyte_like,161,0.1672576892377285,0.0,0.14906832298136646,0.14906832298136646
KUL01,tumor,SPP1_like_TAM,156,0.1026994633316263,0.0,0.10897435897435898,0.10897435897435898
KUL01,tumor,resident_like,7,0.0,0.0,0.0,0.0
KUL19,border,C1QC_like_TAM,53,0.20847076957945634,0.0,0.2830188679245283,0.2830188679245283
KUL19,border,FCN1_inflammatory_monocyte_like,32,0.11174362852477865,0.0,0.125,0.125
KUL19,border,SPP1_like_TAM,3,0.17925969500237557,0.0,0.3333333333333333,0.3333333333333333
KUL19,border,resident_like,30,0.13038817103934333,0.0,0.13333333333333333,0.13333333333333333
KUL19,normal,C1QC_like_TAM,53,0.31902471461779874,0.0,0.3584905660377358,0.3584905660377358
KUL19,normal,FCN1_inflammatory_monocyte_like,59,0.12760243771688012,0.0,0.11864406779661017,0.11864406779661017
KUL19,normal,resident_like,128,0.0846356307353672,0.0,0.0703125,0.0703125
KUL19,tumor,C1QC_like_TAM,129,0.18923741233080454,0.0,0.27906976744186046,0.27906976744186046
KUL19,tumor,FCN1_inflammatory_monocyte_like,35,0.0523188641719899,0.0,0.05714285714285714,0.05714285714285714
KUL19,tumor,SPP1_like_TAM,8,0.198759955703182,0.0,0.25,0.25
KUL19,tumor,resident_like,9,0.14331758350710322,0.0,0.1111111111111111,0.1111111111111111
KUL21,border,C1QC_like_TAM,11,0.10364694905374185,0.0,0.18181818181818182,0.18181818181818182
KUL21,border,FCN1_inflammatory_monocyte_like,136,0.10604260644085407,0.0,0.08823529411764706,0.08823529411764706
KUL21,border,SPP1_like_TAM,9,0.45694929763439734,0.0,0.3333333333333333,0.3333333333333333
KUL21,border,resident_like,84,0.31467798934653973,0.0,0.2857142857142857,0.2857142857142857
KUL21,normal,C1QC_like_TAM,18,0.0,0.0,0.0,0.0
KUL21,normal,FCN1_inflammatory_monocyte_like,30,0.12649459924706574,0.0,0.1,0.1
KUL21,normal,resident_like,30,0.0,0.0,0.0,0.0
KUL21,tumor,C1QC_like_TAM,2,0.28592613803432404,0.28592613803432404,0.5,0.5
KUL21,tumor,FCN1_inflammatory_monocyte_like,139,0.08919908048620533,0.0,0.06474820143884892,0.06474820143884892
KUL21,tumor,SPP1_like_TAM,9,0.060547295923607684,0.0,0.1111111111111111,0.1111111111111111
KUL21,tumor,resident_like,84,0.25010621435274566,0.0,0.2261904761904762,0.2261904761904762
KUL28,border,C1QC_like_TAM,22,0.28402304368129533,0.0,0.22727272727272727,0.22727272727272727
KUL28,border,FCN1_inflammatory_monocyte_like,11,0.0,0.0,0.0,0.0
KUL28,border,SPP1_like_TAM,1,0.0,0.0,0.0,0.0
KUL28,normal,C1QC_like_TAM,5,0.4928053525796533,0.6810216546117982,0.6,0.6
KUL28,normal,FCN1_inflammatory_monocyte_like,2,0.0,0.0,0.0,0.0
KUL28,normal,resident_like,7,0.0,0.0,0.0,0.0
KUL28,tumor,C1QC_like_TAM,26,0.033953459557922984,0.0,0.038461538461538464,0.038461538461538464
KUL28,tumor,FCN1_inflammatory_monocyte_like,14,0.23005451916764666,0.0,0.14285714285714285,0.14285714285714285
KUL28,tumor,SPP1_like_TAM,12,0.0,0.0,0.0,0.0
KUL28,tumor,resident_like,4,0.0,0.0,0.0,0.0
KUL30,border,C1QC_like_TAM,37,0.18463158753718456,0.0,0.21621621621621623,0.21621621621621623
