atom_index_1based,atom_name,protein_aligned_rmsf_A,core_aligned_internal_rmsf_A,component
1,C1x,2.5730564271481686,4.046386714639714,branch_A
2,C2x,2.04400026162772,3.3950403634246484,branch_A
3,C3x,2.713216741083023,4.149582191668196,branch_A
4,C4x,1.987189900738743,2.7631652441252723,branch_A
5,C5x,1.8905879777130585,2.4046911226635768,branch_A
6,C6x,2.049416129110475,1.922276133637655,branch_A
7,C7x,2.1682971312737864,1.5291990801439719,branch_A
8,C8x,2.214796448292579,1.1396553364343105,branch_A
9,C9x,2.1473221774889466,0.8364152901910081,branch_A
10,O1x,1.9700278264151163,0.7774365395993086,branch_A
11,C10x,2.1134886014024157,0.18143082965583282,branch_A
12,O2x,2.6101666086010815,0.7219944723729103,branch_A
13,C11x,2.067240504653274,0.04705505118890092,core
14,C12x,2.2458413270012763,0.04654770275682818,core
15,C13x,2.4694587056244814,0.047342075839130665,core
16,C14x,2.4249240346416916,0.04690161938760262,core
17,C15x,2.2662522697120724,0.04617207125760674,core
18,C16x,2.146115887803714,0.04735017239270644,core
19,C17x,2.4247846221197076,0.1928436499417095,branch_B
20,O3x,2.8126074213778054,0.8863212038667438,branch_B
21,O4x,2.7581539781999873,0.98803163584144,branch_B
