cluster,n_samples,occupancy,time_min_ns,time_max_ns,medoid_time_ns
1,149,0.49666666666666665,70.01000020872821,99.91000029787224,70.2100002093245
2,129,0.43,78.1100002328776,99.8100002975741,85.01000025344929
3,16,0.05333333333333334,78.31000023347389,99.61000029697783,85.71000025553629
4,3,0.01,86.11000025672885,88.61000026418235,86.11000025672885
5,1,0.0033333333333333335,75.51000022512595,75.51000022512595,75.51000022512595
6,1,0.0033333333333333335,93.01000027730053,93.01000027730053,93.01000027730053
7,1,0.0033333333333333335,96.71000028833176,96.71000028833176,96.71000028833176
