cohort,Class,Side,cell_type,cell_type_source,n_cells,total_library_umi,total_umi,detected_cells,mean_cpm_per_cell,mean_log1p_cpm,gene_symbol,pseudobulk_cpm,log1p_pseudobulk_cpm,detection_rate,passes_min_cells
GSE200997,Normal,Right,T_NK,Marker-inferred from raw UMI,2931,10685882,0,0,0.0,0.0,CD36,0.0,0.0,0.0,True
GSE200997,Normal,Right,Unclassified,Marker-inferred from raw UMI,32,33161,1,1,44.26345609065156,0.2267687834803209,CD36,30.155906034196796,3.4390038270753904,0.03125,False
GSE200997,Tumor,Left,B_Plasma,Marker-inferred from raw UMI,2907,15982915,14,9,1.0864703855077067,0.01752805292842968,CD36,0.8759353346995838,0.6291073802135954,0.0030959752321981426,True
GSE200997,Tumor,Left,Endothelial,Marker-inferred from raw UMI,199,631357,106,32,195.2543907649109,1.0704189402858555,CD36,167.89233349752993,5.129261432005172,0.16080402010050251,True
GSE200997,Tumor,Left,Epithelial,Marker-inferred from raw UMI,2603,8637298,2,2,0.2800255925918095,0.004435279620979017,CD36,0.23155389567431853,0.20827670187118885,0.000768344218209758,True
GSE200997,Tumor,Left,Fibroblast,Marker-inferred from raw UMI,312,923183,19,10,33.1975685192767,0.2122156509040176,CD36,20.580968237066756,3.071811826157435,0.03205128205128205,True
GSE200997,Tumor,Left,Mast,Marker-inferred from raw UMI,107,332678,0,0,0.0,0.0,CD36,0.0,0.0,0.0,True
GSE200997,Tumor,Left,Myeloid,Marker-inferred from raw UMI,498,2567211,229,126,100.38643415072956,1.416744171037511,CD36,89.20186147535205,4.502050064054659,0.25301204819277107,True
GSE200997,Tumor,Left,Neutrophil,Marker-inferred from raw UMI,38,75184,19,12,218.42343279283762,1.9987090933234326,CD36,252.71334326452435,5.536205059879357,0.3157894736842105,False
GSE200997,Tumor,Left,T_NK,Marker-inferred from raw UMI,9651,35504428,4,3,0.10096097080766467,0.0016744464322944966,CD36,0.11266200373654801,0.1067553457927236,0.00031084861672365556,True
GSE200997,Tumor,Left,Unclassified,Marker-inferred from raw UMI,133,109932,0,0,0.0,0.0,CD36,0.0,0.0,0.0,True
GSE200997,Tumor,Right,B_Plasma,Marker-inferred from raw UMI,3451,21927673,5,3,0.20232820050109768,0.004642908963349082,CD36,0.22802237154849947,0.2054050474323782,0.0008693132425383947,True
GSE200997,Tumor,Right,Endothelial,Marker-inferred from raw UMI,212,664742,206,61,327.4099529037785,1.9246837318153591,CD36,309.89466590045464,5.739454159955335,0.28773584905660377,True
GSE200997,Tumor,Right,Epithelial,Marker-inferred from raw UMI,4553,19465363,4,4,0.1834788823789416,0.0044607486286804545,CD36,0.20549321376642193,0.186888789229981,0.0008785416209092906,True
GSE200997,Tumor,Right,Fibroblast,Marker-inferred from raw UMI,295,1181508,44,14,55.465058738176786,0.31219115201367315,CD36,37.240543441093926,3.6438962994078987,0.04745762711864407,True
GSE200997,Tumor,Right,Mast,Marker-inferred from raw UMI,49,80788,0,0,0.0,0.0,CD36,0.0,0.0,0.0,False
