cohort,Patient,Sample,Class,Side,cell_type,cell_type_source,n_cells,total_library_umi,total_umi,detected_cells,mean_cpm_per_cell,mean_log1p_cpm,gene_symbol,pseudobulk_cpm,log1p_pseudobulk_cpm,detection_rate,passes_min_cells
GSE132465,SMC01,SMC01-N,Normal,Left,B cells,GEO curated,788,10696387,382,237,43.49944290741104,1.3947173450177919,CEBPB,35.71299355567445,3.6031307402389188,0.30076142131979694,True
GSE132465,SMC01,SMC01-N,Normal,Left,Epithelial cells,GEO curated,159,2024254,143,68,71.67318653281242,1.9982121408767564,CEBPB,70.64330859664844,4.271699759775554,0.4276729559748428,True
GSE132465,SMC01,SMC01-N,Normal,Left,Mast cells,GEO curated,82,152733,7,7,50.34448651544869,0.5397945639092018,CEBPB,45.83161464778404,3.8465585015202213,0.08536585365853659,True
GSE132465,SMC01,SMC01-N,Normal,Left,Myeloids,GEO curated,67,515684,258,55,540.1748129119898,5.134734182634157,CEBPB,500.30638918407396,6.217217469418786,0.8208955223880597,True
GSE132465,SMC01,SMC01-N,Normal,Left,Stromal cells,GEO curated,440,2602060,1231,249,396.5694182885109,3.5360654837126364,CEBPB,473.0867082234845,6.161390233707183,0.5659090909090909,True
GSE132465,SMC01,SMC01-N,Normal,Left,T cells,GEO curated,899,2444664,176,144,69.15152426071708,0.9572944008158758,CEBPB,71.99353367170295,4.2903708573852795,0.16017797552836485,True
GSE132465,SMC01,SMC01-T,Tumor,Left,B cells,GEO curated,129,1008553,41,26,41.6747310205084,0.983788353438683,CEBPB,40.6523008706533,3.7293566100798903,0.20155038759689922,True
GSE132465,SMC01,SMC01-T,Tumor,Left,Epithelial cells,GEO curated,1093,22967787,7159,951,298.4214503357397,4.883404076353756,CEBPB,311.6974221330074,5.745236020531533,0.8700823421774931,True
GSE132465,SMC01,SMC01-T,Tumor,Left,Myeloids,GEO curated,171,1050982,460,111,471.1900150890722,4.040917209655392,CEBPB,437.6858975700821,6.083783661701708,0.6491228070175439,True
GSE132465,SMC01,SMC01-T,Tumor,Left,Stromal cells,GEO curated,154,1404139,984,115,691.5472942221348,4.83692181918171,CEBPB,700.7853211113714,6.553627546873619,0.7467532467532467,True
GSE132465,SMC01,SMC01-T,Tumor,Left,T cells,GEO curated,1244,3038843,227,192,75.1754144214972,0.940619106590915,CEBPB,74.69948266494846,4.326771326403518,0.15434083601286175,True
GSE132465,SMC02,SMC02-N,Normal,Left,B cells,GEO curated,500,6145194,402,198,67.16380369070434,1.8989918643153343,CEBPB,65.4169746309067,4.195952665843259,0.396,True
GSE132465,SMC02,SMC02-N,Normal,Left,Epithelial cells,GEO curated,119,1346121,109,47,58.38934111020942,1.8645848233388074,CEBPB,80.97340432249403,4.4063948571249,0.3949579831932773,True
GSE132465,SMC02,SMC02-N,Normal,Left,Mast cells,GEO curated,5,10812,2,1,93.19664492078286,1.2292586670809347,CEBPB,184.9796522382538,5.225637271160433,0.2,False
GSE132465,SMC02,SMC02-N,Normal,Left,Myeloids,GEO curated,21,175796,79,14,488.5746061349753,4.251512752526137,CEBPB,449.3845138683474,6.110101693171198,0.6666666666666666,False
GSE132465,SMC02,SMC02-N,Normal,Left,Stromal cells,GEO curated,265,1744153,679,160,360.29016897969035,3.6402017832556934,CEBPB,389.3007092841052,5.966917491464204,0.6037735849056604,True
GSE132465,SMC02,SMC02-N,Normal,Left,T cells,GEO curated,406,1404234,141,108,99.66317767154919,1.5504167351669438,CEBPB,100.4106153247963,4.619177773298982,0.2660098522167488,True
GSE132465,SMC02,SMC02-T,Tumor,Left,B cells,GEO curated,90,495560,19,16,48.35885754190145,0.9624463483836531,CEBPB,38.34046331423036,3.672253590070779,0.17777777777777778,True
GSE132465,SMC02,SMC02-T,Tumor,Left,Epithelial cells,GEO curated,352,8162628,1924,291,235.7284188381722,4.385932657841766,CEBPB,235.708401754925,5.466829011263567,0.8267045454545454,True
GSE132465,SMC02,SMC02-T,Tumor,Left,Myeloids,GEO curated,615,2674793,987,381,382.3043214828608,3.8409094665540846,CEBPB,369.00051704935674,5.9135044030679875,0.6195121951219512,True
GSE132465,SMC02,SMC02-T,Tumor,Left,Stromal cells,GEO curated,105,1315584,500,75,325.5318858669355,4.135738384613428,CEBPB,380.05935006810665,5.942955137452093,0.7142857142857143,True
GSE132465,SMC02,SMC02-T,Tumor,Left,T cells,GEO curated,527,1431570,124,98,91.0636752908617,1.1295154106725076,CEBPB,86.61818842250118,4.4729886067839875,0.1859582542694497,True
GSE132465,SMC03,SMC03-N,Normal,Right,B cells,GEO curated,697,6704654,350,189,53.85125910653419,1.3296668543488488,CEBPB,52.20254468015799,3.974106227537466,0.27116212338593976,True
