cohort,gene_symbol,cell_group,left_sample_n,right_sample_n,median_right_minus_left_log1p_pseudobulk_cpm,mannwhitney_statistic,mannwhitney_p_value,mannwhitney_fdr_bh,direction
GSE200997,CEBPB,B_Plasma,8,6,-0.4888413913113383,43.0,0.012654012654012654,0.10123210123210123,Left higher
GSE200997,CEBPB,Endothelial,1,1,-0.6066939319403359,,,,Left higher
GSE200997,CEBPB,Epithelial,8,6,-0.45050969400818053,35.0,0.18115218115218118,0.5074720938588587,Left higher
GSE200997,CEBPB,Fibroblast,1,2,-0.2738785731892195,,,,Left higher
GSE200997,CEBPB,Myeloid,3,3,-0.18535216649185848,5.0,1.0,1.0,Left higher
GSE200997,CEBPB,T_NK,7,7,-0.23663291672177822,27.0,0.8047785547785549,0.9197469197469198,Left higher
GSE200997,CEBPB,Unclassified,1,0,,,,,No difference
GSE200997,CD36,B_Plasma,8,6,-0.25996486787963635,34.0,0.190302035197072,0.5074720938588587,Left higher
GSE200997,CD36,Endothelial,1,1,0.380264167803567,,,,Right higher
GSE200997,CD36,Epithelial,8,6,0.0,20.0,0.5714091184007197,0.9142545894411516,No difference
GSE200997,CD36,Fibroblast,1,2,0.2161045500629286,,,,Right higher
GSE200997,CD36,Myeloid,3,3,0.34896342567746963,3.0,0.7,0.9197469197469198,Right higher
GSE200997,CD36,T_NK,7,7,0.0,28.0,0.39136593830755195,0.7827318766151039,No difference
GSE200997,CD36,Unclassified,1,0,,,,,No difference
GSE132465,CEBPB,B cells,10,9,-0.1665375169047163,70.0,0.04545529484905846,0.22727647424529232,Left higher
GSE132465,CEBPB,Epithelial cells,12,10,-0.8479928024662993,101.0,0.007574042066784554,0.07574042066784555,Left higher
GSE132465,CEBPB,Myeloids,12,8,-0.08139838901082896,50.0,0.910105580693816,0.9699293482575216,Left higher
GSE132465,CEBPB,Stromal cells,7,7,-0.3377017813091454,33.0,0.31759906759906764,0.6094876479837139,Left higher
GSE132465,CEBPB,T cells,12,11,0.06304444173938606,61.0,0.7818140034887688,0.9699293482575216,Right higher
GSE132465,CD36,B cells,10,9,0.40618573740431146,25.0,0.07633782732340778,0.25445942441135927,Right higher
GSE132465,CD36,Epithelial cells,12,10,0.21799389661587512,36.0,0.11756261242315165,0.2939065310578791,Right higher
GSE132465,CD36,Myeloids,12,8,0.019570778368091624,47.0,0.9699293482575216,0.9699293482575216,Right higher
GSE132465,CD36,Stromal cells,7,7,1.0128071406092731,20.0,0.6200466200466201,0.8857808857808859,Right higher
GSE132465,CD36,T cells,12,11,0.0,53.0,0.36569258879022837,0.6094876479837139,No difference
GSE188711,CEBPB,B_Plasma,3,3,0.06850484983715921,4.0,1.0,1.0,Right higher
GSE188711,CEBPB,Endothelial,3,3,0.19221657834050276,2.0,0.4,0.7000000000000001,Right higher
GSE188711,CEBPB,Epithelial,3,3,-0.09971679844839265,5.0,1.0,1.0,Left higher
GSE188711,CEBPB,Fibroblast,3,3,-0.21078098038051074,6.0,0.7,0.8909090909090908,Left higher
GSE188711,CEBPB,Mast,1,3,0.1540256401761919,,,,Right higher
GSE188711,CEBPB,Myeloid,3,3,-0.02255788817551707,5.0,1.0,1.0,Left higher
GSE188711,CEBPB,Neutrophil,3,2,0.46350214501981224,0.0,0.2,0.56,Right higher
GSE188711,CEBPB,T_NK,3,3,0.49328628175648426,0.0,0.1,0.56,Right higher
GSE188711,CEBPB,Unclassified,0,1,,,,,No difference
GSE188711,CD36,B_Plasma,3,3,-0.31785020518762985,6.0,0.7,0.8909090909090908,Left higher
GSE188711,CD36,Endothelial,3,3,0.7400254863943871,2.0,0.4,0.7000000000000001,Right higher
GSE188711,CD36,Epithelial,3,3,0.1432740536523629,1.0,0.2,0.56,Right higher
GSE188711,CD36,Fibroblast,3,3,1.0225445089741432,0.0,0.1,0.56,Right higher
GSE188711,CD36,Mast,1,3,0.8141204786929648,,,,Right higher
GSE188711,CD36,Myeloid,3,3,0.8468445366424806,1.0,0.2,0.56,Right higher
GSE188711,CD36,Neutrophil,3,2,-2.2285630314515195,5.0,0.4,0.7000000000000001,Left higher
GSE188711,CD36,T_NK,3,3,-0.22035549754784237,6.0,0.7,0.8909090909090908,Left higher
GSE188711,CD36,Unclassified,0,1,,,,,No difference
