frame,time_ps,protein_backbone_rmsd_A,ligand_heavy_rmsd_A,ligand_com_displacement_A,pocket_contact_retention,nearest_pocket_distance_A
4999,50000.000149070285,2.3135666304209437,2.4307510042834637,1.3453525897796923,0.6818181818181818,3.146057223378708
5000,50010.0001491001,2.362103651049801,2.2582816060518636,1.4390822152863176,0.6818181818181818,2.8818869347442067
5001,50020.00014912991,2.2936533343934125,2.101991007711856,0.9647062701781878,0.5909090909090909,3.09070661003441
5002,50030.00014915973,2.4012248265840204,2.0430081853977122,0.749182570933708,0.6363636363636364,3.011750036931612
5003,50040.00014918954,2.3447896169393383,2.2708028318718076,1.170903115252469,0.7727272727272727,2.805555206687277
5004,50050.000149219355,2.3978353770066545,2.29917834583641,1.4060772708576428,0.5454545454545454,3.089402598332569
5005,50060.00014924917,2.355502763377931,2.3666132409409077,1.30593595968928,0.5454545454545454,2.921800596456157
5006,50070.00014927898,2.494674709559188,2.179578611832577,0.8197214829021894,0.5909090909090909,2.9138213395330483
5007,50080.0001493088,2.5438849285056415,2.181165164537766,1.1386403766359032,0.8181818181818182,2.9295572914948833
5008,50090.00014933861,2.461929325442595,2.1934243684982078,1.00922361549189,0.6818181818181818,2.8418425490283563
5009,50100.000149368425,2.467015756726455,2.284928638711723,1.0040224053516984,0.7272727272727273,3.0835253446692117
5010,50110.00014939824,2.4819960320629444,2.2446809398115866,0.9025063127808178,0.5909090909090909,3.0565019217053226
5011,50120.00014942805,2.448378560722255,2.2167485740803006,1.121903505369023,0.7272727272727273,3.052221785117181
5012,50130.00014945787,2.4144129999803257,2.1276890677114615,0.6556429015316264,0.7727272727272727,2.948121068710266
5013,50140.000149487685,2.340652760766054,2.4762968672304435,1.2538651347510354,0.8181818181818182,3.2162798047145458
5014,50150.000149517495,2.3431203248510286,2.476170518723469,1.1606231429433849,0.6818181818181818,2.996811779056296
5015,50160.00014954731,2.4037344066210715,2.272450846416378,0.7804409316359163,0.6363636363636364,3.1513104526663134
5016,50170.00014957712,2.3464476003154546,2.366853997723564,1.235223199644217,0.5454545454545454,3.173356045620597
5017,50180.00014960694,2.200926755737401,2.1603333510733136,1.0188285307271976,0.7272727272727273,2.9571470957953254
5018,50190.000149636755,2.3941011844570292,2.3568595699768644,1.4242492765656598,0.7727272727272727,3.2293133963600855
5019,50200.000149666565,2.517444643879723,2.418215713481061,1.4234989091909345,0.6818181818181818,3.1324567771266016
5020,50210.00014969638,2.3181046606338613,2.0677922556773614,1.0831117721942365,0.5909090909090909,3.161450642566087
5021,50220.00014972619,2.4237391099489596,2.047459344871464,0.7996885615094456,0.6363636363636364,2.8961404117600282
