test_id,biomarker,matrix,exposure_axis,male_enhanced_outcome_id,male_enhanced_outcome_name,male_enhanced_male_beta,male_enhanced_female_beta,male_enhanced_interaction_beta,male_enhanced_interaction_p,male_enhanced_fixed406_q,male_enhanced_pooled_n,male_enhanced_cases,female_enhanced_outcome_id,female_enhanced_outcome_name,female_enhanced_male_beta,female_enhanced_female_beta,female_enhanced_interaction_beta,female_enhanced_interaction_p,female_enhanced_fixed406_q,female_enhanced_pooled_n,female_enhanced_cases,male_endpoint_sign_rule,female_endpoint_sign_rule,male_interaction_direction_supported,female_interaction_direction_supported,strict_directional_pair,male_endpoint_fixed406_q_lt_0_05,female_endpoint_fixed406_q_lt_0_05,both_endpoints_fixed406_q_lt_0_05,at_least_one_endpoint_fixed406_q_lt_0_05
NHANES_LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,myocardial_infarction,Myocardial infarction,0.081505411768862,-0.0354856896699706,-0.1665340673103753,0.0892260908156241,0.4312594389421832,11937,566,any_cancer_history,Any cancer history,-0.0612989263044024,0.0629596948213681,0.1031661533034596,0.2013877059920767,0.601201534064582,11948,1125,male_beta>0; female_beta<=0,female_beta>0; male_beta<=0,True,True,True,False,False,False,False
NHANES_LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,stroke,Stroke,0.1321425037644573,-0.1476948011048708,-0.2072941221869705,0.0539485955588979,0.3476687269351198,11936,468,any_cancer_history,Any cancer history,-0.0612989263044024,0.0629596948213681,0.1031661533034596,0.2013877059920767,0.601201534064582,11948,1125,male_beta>0; female_beta<=0,female_beta>0; male_beta<=0,True,True,True,False,False,False,False
NHANES_LBXPFHS,LBXPFHS,serum_or_blood,PFAS exposure axis,coronary_heart_disease,Coronary heart disease,0.0159186042146665,-0.0999709703008887,-0.1685436769236074,0.1898087776592785,0.6007087062030234,11917,498,any_cancer_history,Any cancer history,-0.0872337731474082,0.0222675384238449,0.0125454955789504,0.8387738121540256,0.9573168049977776,11948,1125,male_beta>0; female_beta<=0,female_beta>0; male_beta<=0,True,True,True,False,False,False,False
NHANES_LBXPFHS,LBXPFHS,serum_or_blood,PFAS exposure axis,coronary_heart_disease,Coronary heart disease,0.0159186042146665,-0.0999709703008887,-0.1685436769236074,0.1898087776592785,0.6007087062030234,11917,498,emphysema,Emphysema,-0.1959450228077788,0.0958455161108762,0.2687651431567571,0.0382484334001665,0.2892197661621588,11941,235,male_beta>0; female_beta<=0,female_beta>0; male_beta<=0,True,True,True,False,False,False,False
NHANES_LBXPFHS,LBXPFHS,serum_or_blood,PFAS exposure axis,thyroid_disease,Thyroid disease,0.0349304576898087,-0.0146333982582738,-0.0343778193869406,0.6741972478422459,0.936969384361705,11939,1215,any_cancer_history,Any cancer history,-0.0872337731474082,0.0222675384238449,0.0125454955789504,0.8387738121540256,0.9573168049977776,11948,1125,male_beta>0; female_beta<=0,female_beta>0; male_beta<=0,True,True,True,False,False,False,False
NHANES_LBXPFHS,LBXPFHS,serum_or_blood,PFAS exposure axis,thyroid_disease,Thyroid disease,0.0349304576898087,-0.0146333982582738,-0.0343778193869406,0.6741972478422459,0.936969384361705,11939,1215,emphysema,Emphysema,-0.1959450228077788,0.0958455161108762,0.2687651431567571,0.0382484334001665,0.2892197661621588,11941,235,male_beta>0; female_beta<=0,female_beta>0; male_beta<=0,True,True,True,False,False,False,False
NHANES_LBXPFNA,LBXPFNA,serum_or_blood,PFAS exposure axis,arthritis,Arthritis,0.0245702987536808,-0.1190124912982013,-0.1010770129564344,0.1194693414431029,0.4919225107746001,11925,3220,any_cancer_history,Any cancer history,-0.1110186389050536,0.0404749346586444,0.0765491581582167,0.2459874152031764,0.6310195602564094,11948,1125,male_beta>0; female_beta<=0,female_beta>0; male_beta<=0,True,True,True,False,False,False,False
NHANES_LBXPFNA,LBXPFNA,serum_or_blood,PFAS exposure axis,arthritis,Arthritis,0.0245702987536808,-0.1190124912982013,-0.1010770129564344,0.1194693414431029,0.4919225107746001,11925,3220,emphysema,Emphysema,-0.0577227219519707,0.0280946296119263,0.0019169847850758,0.9899085775652596,0.9912108849139134,11941,235,male_beta>0; female_beta<=0,female_beta>0; male_beta<=0,True,True,True,False,False,False,False
NHANES_LBXPFNA,LBXPFNA,serum_or_blood,PFAS exposure axis,coronary_heart_disease,Coronary heart disease,0.1210450278764133,-0.111938642814614,-0.2786414066651955,0.0084158345223331,0.1205133826997023,11917,498,any_cancer_history,Any cancer history,-0.1110186389050536,0.0404749346586444,0.0765491581582167,0.2459874152031764,0.6310195602564094,11948,1125,male_beta>0; female_beta<=0,female_beta>0; male_beta<=0,True,True,True,False,False,False,False
NHANES_LBXPFNA,LBXPFNA,serum_or_blood,PFAS exposure axis,coronary_heart_disease,Coronary heart disease,0.1210450278764133,-0.111938642814614,-0.2786414066651955,0.0084158345223331,0.1205133826997023,11917,498,emphysema,Emphysema,-0.0577227219519707,0.0280946296119263,0.0019169847850758,0.9899085775652596,0.9912108849139134,11941,235,male_beta>0; female_beta<=0,female_beta>0; male_beta<=0,True,True,True,False,False,False,False
NHANES_LBXPFNA,LBXPFNA,serum_or_blood,PFAS exposure axis,liver_disease,Liver disease,0.0954739801133374,-0.1153951713686721,-0.117128423156152,0.3552281338072761,0.7396031914141237,11940,448,any_cancer_history,Any cancer history,-0.1110186389050536,0.0404749346586444,0.0765491581582167,0.2459874152031764,0.6310195602564094,11948,1125,male_beta>0; female_beta<=0,female_beta>0; male_beta<=0,True,True,True,False,False,False,False
