background,source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,raw_hypergeom_p,gprofiler_p_value,gprofiler_significant,intersection_genes,parents,BH_FDR_global_source_family,BH_FDR_global_significant,BH_FDR_within_source,BH_FDR_within_source_significant
primary_genecards881,KEGG,KEGG:04148,Efferocytosis,Efferocytosis,22,868,18,4,0.0007528792565054828,0.035385325055680907,True,,KEGG:00000,0.11901872585468877,False,0.14706241477073764,False
primary_genecards881,KEGG,KEGG:05200,Pathways in cancer,Pathways in cancer,137,868,18,9,0.0006468813190170048,0.035385325055680907,True,,KEGG:00000,0.10585021162230884,False,0.14706241477073764,False
primary_genecards881,KEGG,KEGG:00000,KEGG root term,KEGG root term,425,868,18,16,0.0004338786185344586,0.035385325055680907,True,,,0.08315313441926496,False,0.14706241477073764,False
primary_genecards881,KEGG,KEGG:03320,PPAR signaling pathway,PPAR signaling pathway,4,868,18,2,0.002379976346548252,0.07388181034919285,True,,KEGG:00000,0.23614935515165475,False,0.30705489974972255,False
primary_genecards881,KEGG,KEGG:04670,Leukocyte transendothelial migration,Leukocyte transendothelial migration,16,868,18,3,0.0035485538759787217,0.07388181034919285,True,,KEGG:00000,0.3192671575683621,False,0.30705489974972255,False
primary_genecards881,KEGG,KEGG:01100,Metabolic pathways,Metabolic pathways,55,868,18,5,0.003867613513549917,0.07388181034919285,True,,KEGG:00000,0.3342226535841768,False,0.30705489974972255,False
primary_genecards881,KEGG,KEGG:05207,Chemical carcinogenesis - receptor activation,Chemical carcinogenesis - receptor activation,56,868,18,5,0.0041918757645013315,0.07388181034919285,True,,KEGG:00000,0.35103420633098337,False,0.30705489974972255,False
primary_genecards881,KEGG,KEGG:05204,Chemical carcinogenesis - DNA adducts,Chemical carcinogenesis - DNA adducts,15,868,18,3,0.002921199763734819,0.07388181034919285,True,,KEGG:00000,0.2742888945941744,False,0.30705489974972255,False
primary_genecards881,KEGG,KEGG:00591,Linoleic acid metabolism,Linoleic acid metabolism,6,868,18,2,0.005804525589143014,0.08184381080668636,True,,KEGG:00000,0.4301901165478251,False,0.34014519952378064,False
primary_genecards881,KEGG,KEGG:00590,Arachidonic acid metabolism,Arachidonic acid metabolism,6,868,18,2,0.005804525589143014,0.08184381080668636,True,,KEGG:00000,0.4301901165478251,False,0.34014519952378064,False
primary_genecards881,KEGG,KEGG:04657,IL-17 signaling pathway,IL-17 signaling pathway,20,868,18,3,0.006855254665665302,0.0878719007142569,True,,KEGG:00000,0.4843860626262142,False,0.3651981121890788,False
primary_genecards881,KEGG,KEGG:00830,Retinol metabolism,Retinol metabolism,7,868,18,2,0.008026526805251052,0.09431168996154567,True,,KEGG:00000,0.5247435666769386,False,0.3919620589897597,False
primary_genecards881,KEGG,KEGG:05010,Alzheimer disease,Alzheimer disease,42,868,18,4,0.008849866061101944,0.09598700881629023,True,,KEGG:00000,0.5705716641836256,False,0.3989247316773646,False
primary_genecards881,KEGG,KEGG:00760,Nicotinate and nicotinamide metabolism,Nicotinate and nicotinamide metabolism,1,868,18,1,0.0207373271889683,0.11246012052463647,True,,KEGG:00000,0.863468976301372,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:04668,TNF signaling pathway,TNF signaling pathway,29,868,18,3,0.019531154705462704,0.11246012052463647,True,,KEGG:00000,0.863468976301372,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:04915,Estrogen signaling pathway,Estrogen signaling pathway,27,868,18,3,0.01604912143669636,0.11246012052463647,True,,KEGG:00000,0.8586433401915886,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:04917,Prolactin signaling pathway,Prolactin signaling pathway,28,868,18,3,0.01774132452057714,0.11246012052463647,True,,KEGG:00000,0.863468976301372,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:00140,Steroid hormone biosynthesis,Steroid hormone biosynthesis,9,868,18,2,0.013424205861679956,0.11246012052463647,True,,KEGG:00000,0.7423373601100136,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:04211,Longevity regulating pathway,Longevity regulating pathway,27,868,18,3,0.01604912143669636,0.11246012052463647,True,,KEGG:00000,0.8586433401915886,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:05417,Lipid and atherosclerosis,Lipid and atherosclerosis,51,868,18,4,0.01753808786220902,0.11246012052463647,True,,KEGG:00000,0.863468976301372,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:04923,Regulation of lipolysis in adipocytes,Regulation of lipolysis in adipocytes,11,868,18,2,0.02000980149392508,0.11246012052463647,True,,KEGG:00000,0.863468976301372,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:03260,Virion - Human immunodeficiency virus,Virion - Human immunodeficiency virus,1,868,18,1,0.0207373271889683,0.11246012052463647,True,,KEGG:00000,0.863468976301372,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:05022,Pathways of neurodegeneration - multiple diseases,Pathways of neurodegeneration - multiple diseases,45,868,18,4,0.011321893686157054,0.11246012052463647,True,,KEGG:00000,0.6655418219167238,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:05415,Diabetic cardiomyopathy,Diabetic cardiomyopathy,29,868,18,3,0.019531154705462704,0.11246012052463647,True,,KEGG:00000,0.863468976301372,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:00982,Drug metabolism - cytochrome P450,Drug metabolism - cytochrome P450,10,868,18,2,0.016574619036768563,0.11246012052463647,True,,KEGG:00000,0.863468976301372,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:05221,Acute myeloid leukemia,Acute myeloid leukemia,27,868,18,3,0.01604912143669636,0.11246012052463647,True,,KEGG:00000,0.8586433401915886,False,0.4673874512590548,False
primary_genecards881,KEGG,KEGG:05167,Kaposi sarcoma-associated herpesvirus infection,Kaposi sarcoma-associated herpesvirus infection,55,868,18,4,0.02269798565815796,0.1185339251034706,True,,KEGG:00000,0.9367438594408817,False,0.4926303553955765,False
primary_genecards881,KEGG,KEGG:00980,Metabolism of xenobiotics by cytochrome P450,Metabolism of xenobiotics by cytochrome P450,12,868,18,2,0.023717954692428024,0.11943684327229914,True,,KEGG:00000,0.9507909602418748,False,0.4963829089201008,False
primary_genecards881,KEGG,KEGG:04062,Chemokine signaling pathway,Chemokine signaling pathway,32,868,18,3,0.02549153145686923,0.11981019784692473,True,,KEGG:00000,1.0,False,0.497934581124179,False
primary_genecards881,KEGG,KEGG:04310,Wnt signaling pathway,Wnt signaling pathway,32,868,18,3,0.02549153145686923,0.11981019784692473,True,,KEGG:00000,1.0,False,0.497934581124179,False
primary_genecards881,KEGG,KEGG:05202,Transcriptional misregulation in cancer,Transcriptional misregulation in cancer,33,868,18,3,0.027676302904048093,0.12199848938313375,True,,KEGG:00000,1.0,False,0.5070291828276651,False
primary_genecards881,KEGG,KEGG:04726,Serotonergic synapse,Serotonergic synapse,13,868,18,2,0.027687600427449287,0.12199848938313375,True,,KEGG:00000,1.0,False,0.5070291828276651,False
primary_genecards881,KEGG,KEGG:05163,Human cytomegalovirus infection,Human cytomegalovirus infection,60,868,18,4,0.030367396829392008,0.12593538096873944,True,,KEGG:00000,1.0,False,0.523391015941874,False
primary_genecards881,KEGG,KEGG:04926,Relaxin signaling pathway,Relaxin signaling pathway,34,868,18,3,0.02996024786682118,0.12593538096873944,True,,KEGG:00000,1.0,False,0.523391015941874,False
primary_genecards881,KEGG,KEGG:04137,Mitophagy - animal,Mitophagy - animal,14,868,18,2,0.03190757372489313,0.12854193986283036,True,,KEGG:00000,1.0,False,0.5342239486510679,False
primary_genecards881,KEGG,KEGG:04066,HIF-1 signaling pathway,HIF-1 signaling pathway,36,868,18,3,0.03482525416100318,0.1363989121302978,True,,KEGG:00000,1.0,False,0.5668777482874406,False
primary_genecards881,KEGG,KEGG:04064,NF-kappa B signaling pathway,NF-kappa B signaling pathway,16,868,18,2,0.041055367586561226,0.1447648414204393,True,,KEGG:00000,1.0,False,0.6016467877485315,False
primary_genecards881,KEGG,KEGG:04136,Autophagy - other,Autophagy - other,2,868,18,1,0.04106804011935369,0.1447648414204393,True,,KEGG:00000,1.0,False,0.6016467877485315,False
primary_genecards881,KEGG,KEGG:05418,Fluid shear stress and atherosclerosis,Fluid shear stress and atherosclerosis,38,868,18,3,0.04008463103830819,0.1447648414204393,True,,KEGG:00000,1.0,False,0.6016467877485315,False
primary_genecards881,KEGG,KEGG:04920,Adipocytokine signaling pathway,Adipocytokine signaling pathway,16,868,18,2,0.041055367586561226,0.1447648414204393,True,,KEGG:00000,1.0,False,0.6016467877485315,False
primary_genecards881,KEGG,KEGG:05205,Proteoglycans in cancer,Proteoglycans in cancer,67,868,18,4,0.043487550729014834,0.14955474762879686,True,,KEGG:00000,1.0,False,0.621553773834212,False
primary_genecards881,KEGG,KEGG:05321,Inflammatory bowel disease,Inflammatory bowel disease,17,868,18,2,0.045962362306778484,0.15430221631528052,True,,KEGG:00000,1.0,False,0.6412843883755284,False
primary_genecards881,KEGG,KEGG:04933,AGE-RAGE signaling pathway in diabetic complications,AGE-RAGE signaling pathway in diabetic complications,43,868,18,3,0.0549312610705659,0.18012343746350892,True,,KEGG:00000,1.0,False,0.7485981159849213,False
primary_genecards881,KEGG,KEGG:01522,Endocrine resistance,Endocrine resistance,44,868,18,3,0.058185770072334504,0.1818218283762827,True,,KEGG:00000,1.0,False,0.7556566767988889,False
primary_genecards881,KEGG,KEGG:00232,Caffeine metabolism,Caffeine metabolism,3,868,18,1,0.0609996512948035,0.1818218283762827,True,,KEGG:00000,1.0,False,0.7556566767988889,False
primary_genecards881,KEGG,KEGG:04961,Endocrine and other factor-regulated calcium reabsorption,Endocrine and other factor-regulated calcium reabsorption,3,868,18,1,0.0609996512948035,0.1818218283762827,True,,KEGG:00000,1.0,False,0.7556566767988889,False
primary_genecards881,KEGG,KEGG:05140,Leishmaniasis,Leishmaniasis,20,868,18,2,0.06189679263881683,0.1818218283762827,True,,KEGG:00000,1.0,False,0.7556566767988889,False
primary_genecards881,KEGG,KEGG:04931,Insulin resistance,Insulin resistance,20,868,18,2,0.06189679263881683,0.1818218283762827,True,,KEGG:00000,1.0,False,0.7556566767988889,False
