background,source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,raw_hypergeom_p,gprofiler_p_value,gprofiler_significant,intersection_genes,parents,BH_FDR_global_source_family,BH_FDR_global_significant,BH_FDR_within_source,BH_FDR_within_source_significant
primary_genecards881,REAC,REAC:0000000,REACTOME root term,REACTOME root term,387,868,18,17,9.452741916971225e-06,0.0010938543284629545,True,,,0.008532166825121671,True,0.010858505163065938,True
primary_genecards881,REAC,REAC:R-HSA-556833,Metabolism of lipids,Metabolism of lipids,29,868,18,6,1.1434017370725803e-05,0.0010938543284629545,True,,REAC:R-HSA-1430728,0.009427534111278836,True,0.010858505163065938,True
primary_genecards881,REAC,REAC:R-HSA-8978868,Fatty acid metabolism,Fatty acid metabolism,8,868,18,4,8.655208348733868e-06,0.0010938543284629545,True,,REAC:R-HSA-556833,0.008072712826864078,True,0.010858505163065938,True
primary_genecards881,REAC,REAC:R-HSA-1592389,Activation of Matrix Metalloproteinases,Activation of Matrix Metalloproteinases,5,868,18,3,7.318358238185233e-05,0.004200737628702331,True,,REAC:R-HSA-1474228,0.026253202802905256,True,0.041700005241179464,True
primary_genecards881,REAC,REAC:R-HSA-383280,Nuclear Receptor transcription pathway,Nuclear Receptor transcription pathway,5,868,18,3,7.318358238185233e-05,0.004200737628702331,True,,REAC:R-HSA-212436,0.026253202802905256,True,0.041700005241179464,True
primary_genecards881,REAC,REAC:R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),Biosynthesis of specialized proresolving mediators (SPMs),6,868,18,3,0.00014446338969494152,0.0059229989774694704,True,,REAC:R-HSA-556833,0.040022080267862956,True,0.0587965996058412,False
primary_genecards881,REAC,REAC:R-HSA-9018677,Biosynthesis of DHA-derived SPMs,Biosynthesis of DHA-derived SPMs,6,868,18,3,0.00014446338969494152,0.0059229989774694704,True,,REAC:R-HSA-9018678,0.040022080267862956,True,0.0587965996058412,False
primary_genecards881,REAC,REAC:R-HSA-2142753,Arachidonate metabolism,Arachidonate metabolism,7,868,18,3,0.0002495225488494288,0.00895162143994257,True,,REAC:R-HSA-8978868,0.059674277259451854,False,0.08886121770900283,False
primary_genecards881,REAC,REAC:R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Synthesis of Prostaglandins (PG) and Thromboxanes (TX),2,868,18,2,0.0004066142586068978,0.011669829222011383,True,,REAC:R-HSA-2142753,0.07956275223831893,False,0.11584440227710517,False
primary_genecards881,REAC,REAC:R-HSA-5423646,Aflatoxin activation and detoxification,Aflatoxin activation and detoxification,2,868,18,2,0.0004066142586068978,0.011669829222011383,True,,REAC:R-HSA-211859,0.07956275223831893,False,0.11584440227710517,False
primary_genecards881,REAC,REAC:R-HSA-211945,Phase I - Functionalization of compounds,Phase I - Functionalization of compounds,9,868,18,3,0.0005833758859150271,0.015220807205197712,True,,REAC:R-HSA-211859,0.09892994341689924,False,0.151094354451992,False
primary_genecards881,REAC,REAC:R-HSA-1280215,Cytokine Signaling in Immune system,Cytokine Signaling in Immune system,86,868,18,7,0.0009493697561964037,0.018199089451611288,True,,REAC:R-HSA-168256,0.13763893859135531,False,0.18065925382473325,False
primary_genecards881,REAC,REAC:R-HSA-6783783,Interleukin-10 signaling,Interleukin-10 signaling,10,868,18,3,0.0008225531613662607,0.018199089451611288,True,,REAC:R-HSA-449147,0.12177703708036687,False,0.18065925382473325,False
primary_genecards881,REAC,REAC:R-HSA-4090294,SUMOylation of intracellular receptors,SUMOylation of intracellular receptors,3,868,18,2,0.0012048177685749146,0.018199089451611288,True,,REAC:R-HSA-3108232,0.14531037061420124,False,0.18065925382473325,False
primary_genecards881,REAC,REAC:R-HSA-1474228,Degradation of the extracellular matrix,Degradation of the extracellular matrix,11,868,18,3,0.0011162979795564375,0.018199089451611288,True,,REAC:R-HSA-1474244,0.14531037061420124,False,0.18065925382473325,False
primary_genecards881,REAC,REAC:R-HSA-9027307,Biosynthesis of maresin-like SPMs,Biosynthesis of maresin-like SPMs,3,868,18,2,0.0012048177685749146,0.018199089451611288,True,,REAC:R-HSA-9018682,0.14531037061420124,False,0.18065925382473325,False
primary_genecards881,REAC,REAC:R-HSA-9018682,Biosynthesis of maresins,Biosynthesis of maresins,3,868,18,2,0.0012048177685749146,0.018199089451611288,True,,REAC:R-HSA-9018677,0.14531037061420124,False,0.18065925382473325,False
