gene_symbol
BECN1
CRP
CXCR4
CYP1A2
CYP3A4
DKK1
ESR1
MMP2
MMP9
NEAT1
PPARD
PPARG
PTGS1
PTGS2
RELA
SIRT1
STAT3
TIMP1
