test_id,biomarker,exposure_axis,ranking_method,destination_sex,outcome_id,outcome_name,organ_system_id,organ_system_name,sex_beta,sex_se,sex_z,beta_interaction,p_interaction,bh_q_interaction_fixed406,interaction_direction_supports_destination,primary_interaction_sign,creatinine_beta,creatinine_direction_agrees,loco_successful_n,loco_min_beta,loco_max_beta,loco_sign_reversals,winsor_beta,tail_delete_beta,lod_beta,cycle_heterogeneity_p,cycle_heterogeneity_status
NHANES_URXCOP,URXCOP,DINP-related exposure axis,effect,male,obesity,Obesity,metabolic,Metabolic,0.0818071073305933,0.0216036289961423,3.786729875115027,0.0603248488081254,0.0163660616217215,0.1883645502217989,False,1.0,0.0603248488081254,True,7,0.0442709369007937,0.0766970157758214,0,0.059889138600553,0.0596639498105854,0.0660981684896605,0.477895917083985,ok
NHANES_URXCOP,URXCOP,DINP-related exposure axis,effect,female,T2D,Type 2 diabetes,metabolic,Metabolic,0.1523371119612364,0.0250648868361051,6.077709943689037,0.134691973799623,0.0005762428945575,0.0223700772825267,True,1.0,0.134691973799623,True,7,0.1144413955129605,0.1564022159065114,0,0.1375256822664484,0.1446821469242558,0.144040007780525,0.2401262978897757,ok
NHANES_URXCOP,URXCOP,DINP-related exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.0818071073305933,0.0216036289961423,3.786729875115027,0.0603248488081254,0.0163660616217215,0.1883645502217989,False,1.0,0.0603248488081254,True,7,0.0442709369007937,0.0766970157758214,0,0.059889138600553,0.0596639498105854,0.0660981684896605,0.477895917083985,ok
NHANES_URXCOP,URXCOP,DINP-related exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.1480386829901337,0.0184416337500499,8.027416930440511,0.0603248488081254,0.0163660616217215,0.1883645502217989,True,1.0,0.0603248488081254,True,7,0.0442709369007937,0.0766970157758214,0,0.059889138600553,0.0596639498105854,0.0660981684896605,0.477895917083985,ok
NHANES_URXECP,URXECP,DEHP-related exposure axis;phthalate exposure axis,effect,male,obesity,Obesity,metabolic,Metabolic,0.117740964301884,0.0227147121176094,5.183467159621462,0.0397846382018587,0.1242411283792127,0.4919225107746001,False,1.0,0.0397846382018586,True,8,0.0265704308015094,0.0546764952525473,0,0.0406875797275223,0.0413208508715187,0.0430681012453386,0.0634837716513952,ok
NHANES_URXECP,URXECP,DEHP-related exposure axis;phthalate exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,0.200018875735131,0.0213901164209957,9.350995188544196,0.0397846382018587,0.1242411283792127,0.4919225107746001,True,1.0,0.0397846382018586,True,8,0.0265704308015094,0.0546764952525473,0,0.0406875797275223,0.0413208508715187,0.0430681012453386,0.0634837716513952,ok
NHANES_URXECP,URXECP,DEHP-related exposure axis;phthalate exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.117740964301884,0.0227147121176094,5.183467159621462,0.0397846382018587,0.1242411283792127,0.4919225107746001,False,1.0,0.0397846382018586,True,8,0.0265704308015094,0.0546764952525473,0,0.0406875797275223,0.0413208508715187,0.0430681012453386,0.0634837716513952,ok
NHANES_URXECP,URXECP,DEHP-related exposure axis;phthalate exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.200018875735131,0.0213901164209957,9.350995188544196,0.0397846382018587,0.1242411283792127,0.4919225107746001,True,1.0,0.0397846382018586,True,8,0.0265704308015094,0.0546764952525473,0,0.0406875797275223,0.0413208508715187,0.0430681012453386,0.0634837716513952,ok
NHANES_URXMBP,URXMBP,phthalate exposure axis,effect,male,obesity,Obesity,metabolic,Metabolic,0.0752759243441134,0.0212560516886659,3.541387904332762,0.0739133730668309,0.0091560935115769,0.1205133826997023,False,1.0,0.0739133730668309,True,10,0.0479652830806631,0.0859230714439872,0,0.0770856600069799,0.0834147666524066,0.0846675000560927,0.0053876090120807,ok
NHANES_URXMBP,URXMBP,phthalate exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,0.1355043468864067,0.0182385503764801,7.429556850151267,0.0739133730668309,0.0091560935115769,0.1205133826997023,True,1.0,0.0739133730668309,True,10,0.0479652830806631,0.0859230714439872,0,0.0770856600069799,0.0834147666524066,0.0846675000560927,0.0053876090120807,ok
NHANES_URXMBP,URXMBP,phthalate exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.0752759243441134,0.0212560516886659,3.541387904332762,0.0739133730668309,0.0091560935115769,0.1205133826997023,False,1.0,0.0739133730668309,True,10,0.0479652830806631,0.0859230714439872,0,0.0770856600069799,0.0834147666524066,0.0846675000560927,0.0053876090120807,ok
